L,N,nmax,W,slope_vs_U,intercept,r2,n_U,mean_positive_step_fraction,monotone_decreasing_strict
7,7,3,6.0,-0.053847510505983714,0.7190239509420059,0.9508224685661342,10,0.0,1
7,7,3,7.0,-0.050144549947676066,0.6710193107764608,0.9676477357794606,10,0.0,1
7,7,3,8.0,-0.04540995019171807,0.6220253969000924,0.9756378901335493,10,0.0,1
7,7,3,9.0,-0.03892024464421608,0.5631545039097376,0.9803635162182652,10,0.0,1
7,7,3,10.0,-0.034652508198193314,0.5209127046888221,0.9888984036272407,10,0.0,1
7,7,3,11.0,-0.030894073278249806,0.4847388592603399,0.9845182171337685,10,0.0,1
7,7,3,12.0,-0.026596819997186633,0.4448856837890468,0.9920898632642166,10,0.0,1
7,7,3,13.0,-0.02370415895098149,0.4141483647873923,0.9834818869571261,10,0.0,1
7,7,3,14.0,-0.021321065181325167,0.39025346819760665,0.9797536375095951,10,0.1111111111111111,0
7,7,3,15.0,-0.01890706129139886,0.36448284160736183,0.9639425842931066,10,0.1111111111111111,0
7,7,4,1.0,-0.04891432639640468,0.8520795705818904,0.8863487820427396,10,0.0,1
7,7,4,2.0,-0.057542445405765565,0.8395016833570945,0.872066073117678,10,0.0,1
7,7,4,3.0,-0.062127748292892984,0.816115250263956,0.8733111171698412,10,0.0,1
7,7,4,4.0,-0.061898695642613126,0.774845943070954,0.8769248377431775,10,0.0,1
7,7,4,5.0,-0.05930064079581009,0.7264170362344036,0.8983189054195243,10,0.0,1
7,7,4,6.0,-0.054943609081886655,0.6728047308963051,0.9179754839790809,10,0.0,1
7,7,4,7.0,-0.050709865685242675,0.6264122007696613,0.9344273492682672,10,0.0,1
7,7,4,8.0,-0.04578795101188991,0.5781427661953366,0.9498242699976646,10,0.0,1
7,7,4,9.0,-0.04141673146742089,0.536840657030761,0.959968161098315,10,0.0,1
7,7,4,10.0,-0.036555978510509256,0.493597356588058,0.9697370611644849,10,0.0,1
7,7,4,11.0,-0.03255896240863655,0.4569344095120683,0.9756060942635864,10,0.0,1
7,7,4,12.0,-0.029712783439046223,0.4291516371368816,0.980639618471878,10,0.0,1
7,7,4,13.0,-0.026590661846323936,0.40168304513264613,0.979804010955004,10,0.1111111111111111,0
7,7,4,14.0,-0.024494693765209356,0.37938437046800155,0.9836115519456459,10,0.0,1
7,7,4,15.0,-0.02215051902010837,0.3566059131103308,0.9875923728520508,10,0.0,1
7,7,5,1.0,-0.04937559896120304,0.8302788529068347,0.8619756144220153,10,0.0,1
7,7,5,2.0,-0.056830589163001904,0.8123667802878369,0.8498116783138823,10,0.0,1
7,7,5,3.0,-0.06032727307216501,0.7828853577155125,0.8463759157104094,10,0.0,1
7,7,5,4.0,-0.06016449405886074,0.7418059243714504,0.8562960050773349,10,0.0,1
7,7,5,5.0,-0.057736296632667904,0.6959768653092002,0.8792260024974531,10,0.0,1
7,7,5,6.0,-0.053560677017323303,0.645303910414011,0.8990982045831486,10,0.0,1
7,7,5,7.0,-0.04924974618995651,0.597660242461723,0.9167161163636836,10,0.0,1
7,7,5,8.0,-0.04489574507003659,0.5558284364402403,0.9363388098316445,10,0.0,1
7,7,5,9.0,-0.04095698699939863,0.5170196080687111,0.9517316713680583,10,0.0,1
7,7,5,10.0,-0.036666731989039275,0.4785607104795132,0.9599827857144113,10,0.0,1
7,7,5,11.0,-0.03266234439725091,0.44284540536892497,0.9680457705599675,10,0.0,1
7,7,5,12.0,-0.029803160396423303,0.4160186169673116,0.9696854931729544,10,0.0,1
7,7,5,13.0,-0.0270826835838306,0.39001136580762963,0.9752150804614947,10,0.0,1
7,7,5,14.0,-0.024702476487407823,0.3682898904596214,0.9782127704006696,10,0.0,1
7,7,5,15.0,-0.023130431149308132,0.35076952882102935,0.9797679016977344,10,0.0,1
