L,N,nmax,filling,U,W,dim,observable,entropy_mean,entropy_stderr,pr_normalized_mean,pr_normalized_stderr,onsite_pair_density_mean,onsite_pair_density_stderr,n_realizations
7,7,2,1.0,2.0,12.0,393,fock_entropy_normalized,0.39784187650889996,0.005147109947266962,0.020675176138516,0.0008374199708290743,0.621911372145912,0.00024366612049050738,500
7,7,2,1.0,2.0,13.0,393,fock_entropy_normalized,0.3538720828634616,0.005015870246844032,0.0159533760601209,0.0005837070841414145,0.620589417538318,0.0002652804951791091,500
7,7,2,1.0,2.0,14.0,393,fock_entropy_normalized,0.34217773968602794,0.0048542534336988566,0.01485163732631336,0.0004960042134871381,0.6200505889018241,0.0002483164162801485,500
7,7,2,1.0,2.0,15.0,393,fock_entropy_normalized,0.31762311971735296,0.00498916867933578,0.01337975878431968,0.0005996696581020285,0.6189815160257021,0.00028431940796349746,500
7,7,2,1.0,3.0,1.0,393,fock_entropy_normalized,0.82301718345359,9.341483467438027e-05,0.205728127511938,0.0001907791297513669,0.6427311680082519,2.179065527584257e-05,500
7,7,2,1.0,3.0,2.0,393,fock_entropy_normalized,0.8100833959710719,0.00039341203826180013,0.184395221072238,0.0005778557210627102,0.6452917045512379,5.5241531701027975e-05,500
7,7,2,1.0,3.0,3.0,393,fock_entropy_normalized,0.7818752896776779,0.0011214221112472145,0.15184203348179962,0.0011251702331434431,0.645831741641774,5.9924317050492784e-05,500
7,7,2,1.0,3.0,4.0,393,fock_entropy_normalized,0.7410750676922201,0.0021347304399329265,0.1198304571268046,0.0015315210134379013,0.6440676067807001,0.00010397434259606097,500
7,7,2,1.0,3.0,5.0,393,fock_entropy_normalized,0.683441968600258,0.0031968510291405633,0.08846947141036679,0.001603497304261885,0.6407178654304521,0.00016078426289815986,500
7,7,2,1.0,3.0,6.0,393,fock_entropy_normalized,0.6360731540568679,0.0037010885955343414,0.0686868596035724,0.0014699407650122435,0.637757886978634,0.0001909447623622476,500
7,7,2,1.0,3.0,7.0,393,fock_entropy_normalized,0.5777922540548541,0.004448539495292785,0.05168583398035902,0.0013597001535993255,0.634452505360246,0.00021193475704673443,500
7,7,2,1.0,3.0,8.0,393,fock_entropy_normalized,0.531934295310364,0.004611341846593592,0.04039465864796686,0.0011398656879392328,0.631791996719244,0.00024280674124663295,500
7,7,2,1.0,3.0,9.0,393,fock_entropy_normalized,0.481916264285216,0.005049681357664993,0.032059123071119244,0.0010817913451845796,0.629356320592954,0.0002369703569385074,500
7,7,2,1.0,3.0,10.0,393,fock_entropy_normalized,0.45335479896098,0.005044667144405682,0.02712333951196128,0.0008747518981769858,0.627828577911086,0.0002353671282138184,500
7,7,2,1.0,3.0,11.0,393,fock_entropy_normalized,0.414114052971928,0.004991294722614259,0.022380782728620284,0.0008348980324642556,0.625970037993416,0.0002573612018815895,500
7,7,2,1.0,3.0,12.0,393,fock_entropy_normalized,0.37606066937693594,0.004754625685710453,0.01776134582748044,0.0005940880963165981,0.6246955873017941,0.00023541180165868224,500
7,7,2,1.0,3.0,13.0,393,fock_entropy_normalized,0.356155102393402,0.004529188983069633,0.01592534123629116,0.0006074533143717676,0.6237848947222001,0.0002328292071458119,500
7,7,2,1.0,3.0,14.0,393,fock_entropy_normalized,0.33383906445540096,0.004473836133514833,0.01386447639914676,0.00040001850977581984,0.6226395586110239,0.0002433835227351964,500
7,7,2,1.0,3.0,15.0,393,fock_entropy_normalized,0.31418590798812795,0.004356463192729396,0.01245789867110962,0.0003480109655899786,0.621647267782716,0.00026150475228034037,500
7,7,2,1.0,4.0,1.0,393,fock_entropy_normalized,0.778095199913088,0.000198965945837825,0.15842720215970602,0.00022209955000835916,0.635435561658366,3.4993495647254774e-05,500
7,7,2,1.0,4.0,2.0,393,fock_entropy_normalized,0.761938937862586,0.0004889408671215206,0.13541520933531997,0.0005475376827075483,0.6392992264741001,8.983695535480617e-05,500
7,7,2,1.0,4.0,3.0,393,fock_entropy_normalized,0.7309734539569039,0.001119549930446032,0.1074573636515258,0.0008411970218560603,0.643382503178536,9.755551247694568e-05,500
7,7,2,1.0,4.0,4.0,393,fock_entropy_normalized,0.685371025758596,0.0020341492707606026,0.08180813086677059,0.0010214690311156455,0.644720436345946,9.589701665438898e-05,500
7,7,2,1.0,4.0,5.0,393,fock_entropy_normalized,0.64116272775895,0.0028086900883978303,0.0653818856959618,0.0010480744665575781,0.64410411617579,0.00011639025785287916,500
