L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,7,5,0.875,6.0,Nres_mean_l1.0,1.0,1.6822723673794069
8,7,5,0.875,6.0,Nres_mean_l2.0,1.0,3.218923198733333
8,7,5,0.875,6.0,fres_l1.0,1.0,0.2090426997245253
8,7,5,0.875,6.0,fres_l2.0,1.0,0.3999901613538
8,4,5,0.5,7.0,onsite_pair_density,2.0,0.2814061816829867
8,4,5,0.5,7.0,onsite_pair_variance,1.0,3.0061354357564674
8,4,5,0.5,7.0,charge_fluctuation,1.0,0.27700842120751334
8,4,5,0.5,7.0,fock_entropy_normalized,1.0,0.48143213315044664
8,4,5,0.5,7.0,pr_normalized,1.0,0.035365577871568
8,4,5,0.5,7.0,Nres_mean_l1.0,1.0,0.9253737373737001
8,4,5,0.5,7.0,Nres_mean_l2.0,1.0,1.816969696969887
8,4,5,0.5,7.0,fres_l1.0,1.0,0.15904861111111
8,4,5,0.5,7.0,fres_l2.0,1.0,0.312291666666678
8,5,5,0.625,7.0,onsite_pair_density,2.0,0.48208826615400663
8,5,5,0.625,7.0,onsite_pair_variance,1.0,5.828791500858733
8,5,5,0.625,7.0,charge_fluctuation,2.0,0.4103456457382133
8,5,5,0.625,7.0,fock_entropy_normalized,2.0,0.5204782827228267
8,5,5,0.625,7.0,pr_normalized,1.0,0.029902184080271135
8,5,5,0.625,7.0,Nres_mean_l1.0,1.0,1.0867340067342133
8,5,5,0.625,7.0,Nres_mean_l2.0,1.0,2.1248989898988526
8,5,5,0.625,7.0,fres_l1.0,1.0,0.163010101010068
8,5,5,0.625,7.0,fres_l2.0,1.0,0.3187348484848953
8,6,5,0.75,7.0,onsite_pair_density,2.0,0.7332665451798266
8,6,5,0.75,7.0,onsite_pair_variance,1.0,10.454500733067535
8,6,5,0.75,7.0,charge_fluctuation,1.0,0.5864126430425066
8,6,5,0.75,7.0,fock_entropy_normalized,1.0,0.5877424214402134
8,6,5,0.75,7.0,pr_normalized,1.0,0.0351261325752668
8,6,5,0.75,7.0,Nres_mean_l1.0,1.0,1.4585948477749333
8,6,5,0.75,7.0,Nres_mean_l2.0,1.0,2.7947072599532663
8,6,5,0.75,7.0,fres_l1.0,1.0,0.19709493670886535
8,6,5,0.75,7.0,fres_l2.0,1.0,0.37763924050630665
8,7,5,0.875,7.0,onsite_pair_density,2.0,1.0245606523548398
8,7,5,0.875,7.0,onsite_pair_variance,1.0,14.348883655923068
8,7,5,0.875,7.0,charge_fluctuation,1.0,0.7050305549561467
8,7,5,0.875,7.0,fock_entropy_normalized,1.0,0.5892650065293801
8,7,5,0.875,7.0,pr_normalized,1.0,0.0286196616595896
8,7,5,0.875,7.0,Nres_mean_l1.0,1.0,1.4842003167063933
8,7,5,0.875,7.0,Nres_mean_l2.0,1.0,2.873487727632733
8,7,5,0.875,7.0,fres_l1.0,1.0,0.18442985045259136
8,7,5,0.875,7.0,fres_l2.0,1.0,0.3570656237701466
8,4,5,0.5,8.0,onsite_pair_density,3.0,0.2809527819802467
8,4,5,0.5,8.0,onsite_pair_variance,1.0,2.796388857810513
8,4,5,0.5,8.0,charge_fluctuation,1.0,0.25428475713841536
8,4,5,0.5,8.0,fock_entropy_normalized,1.0,0.44424415902732656
8,4,5,0.5,8.0,pr_normalized,1.0,0.030033878010695732
8,4,5,0.5,8.0,Nres_mean_l1.0,1.0,0.8832727272725734
8,4,5,0.5,8.0,Nres_mean_l2.0,1.0,1.6897373737371133
8,4,5,0.5,8.0,fres_l1.0,1.0,0.15181249999996402
8,4,5,0.5,8.0,fres_l2.0,1.0,0.2904236111111
8,5,5,0.625,8.0,onsite_pair_density,3.0,0.48035719267694665
8,5,5,0.625,8.0,onsite_pair_variance,1.0,5.3803393929758
8,5,5,0.625,8.0,charge_fluctuation,1.0,0.3477121182838
8,5,5,0.625,8.0,fock_entropy_normalized,1.0,0.4669315695475933
8,5,5,0.625,8.0,pr_normalized,1.0,0.021986822333159465
8,5,5,0.625,8.0,Nres_mean_l1.0,1.0,1.0301010101013133
8,5,5,0.625,8.0,Nres_mean_l2.0,1.0,2.0255387205385667
8,5,5,0.625,8.0,fres_l1.0,1.0,0.15451515151514003
8,5,5,0.625,8.0,fres_l2.0,1.0,0.3038308080807954
8,6,5,0.75,8.0,onsite_pair_density,2.0,0.7292020781053332
8,6,5,0.75,8.0,onsite_pair_variance,1.0,9.225621044173268
8,6,5,0.75,8.0,charge_fluctuation,1.0,0.4835084500616199
8,6,5,0.75,8.0,fock_entropy_normalized,1.0,0.5097942797170867
8,6,5,0.75,8.0,pr_normalized,1.0,0.02108932205040433
8,6,5,0.75,8.0,Nres_mean_l1.0,1.0,1.223208430913313
8,6,5,0.75,8.0,Nres_mean_l2.0,1.0,2.3854176424669533
8,6,5,0.75,8.0,fres_l1.0,1.0,0.16528797468356932
8,6,5,0.75,8.0,fres_l2.0,1.0,0.32233333333332
8,7,5,0.875,8.0,onsite_pair_density,3.0,1.0239067542971667
8,7,5,0.875,8.0,onsite_pair_variance,1.0,12.9262487573304
8,7,5,0.875,8.0,charge_fluctuation,1.0,0.6047408887014334
8,7,5,0.875,8.0,fock_entropy_normalized,1.0,0.5230598959746666
8,7,5,0.875,8.0,pr_normalized,1.0,0.016833299710955735
8,7,5,0.875,8.0,Nres_mean_l1.0,1.0,1.31543547110048
8,7,5,0.875,8.0,Nres_mean_l2.0,1.0,2.5816904196361867
8,7,5,0.875,8.0,fres_l1.0,1.0,0.16345877607238735
8,7,5,0.875,8.0,fres_l2.0,1.0,0.32080627705633336
8,4,5,0.5,9.0,onsite_pair_density,2.0,0.28054800125036
8,4,5,0.5,9.0,onsite_pair_variance,1.0,2.526755350248533
8,4,5,0.5,9.0,charge_fluctuation,2.0,0.22738235341784
8,4,5,0.5,9.0,fock_entropy_normalized,1.0,0.40004609376584
8,4,5,0.5,9.0,pr_normalized,1.0,0.022858570240009334
8,4,5,0.5,9.0,Nres_mean_l1.0,1.0,0.7937373737372826
8,4,5,0.5,9.0,Nres_mean_l2.0,1.0,1.511797979797946
8,4,5,0.5,9.0,fres_l1.0,1.0,0.1364236111111391
8,4,5,0.5,9.0,fres_l2.0,1.0,0.25984027777775737
8,5,5,0.625,9.0,onsite_pair_density,3.0,0.47914828928159997
8,5,5,0.625,9.0,onsite_pair_variance,1.0,5.125415674925401
8,5,5,0.625,9.0,charge_fluctuation,1.0,0.3305447308487933
8,5,5,0.625,9.0,fock_entropy_normalized,1.0,0.44597815049994
8,5,5,0.625,9.0,pr_normalized,1.0,0.01935916556506773
8,5,5,0.625,9.0,Nres_mean_l1.0,1.0,1.0066498316498453
8,5,5,0.625,9.0,Nres_mean_l2.0,1.0,1.9604377104376136
