L,N,nmax,observable,Wmin,Wmax,intercept_b,slope_c,R2,RMSE,slope_ci_low,slope_ci_high,eta_to_M,eta_ci_low,eta_ci_high,direct_intercept_q,direct_eta,direct_R2,direct_eta_ci_low,direct_eta_ci_high,bootstrap_valid
7,5,5,Sstar_mean,1.2,2.5,-0.1381093059687162,0.17176860913862696,0.9104115748786105,0.022204881553272608,0.09759256337067122,0.2146143244895172,25.833376276877882,-174.66014360904902,125.6574004410796,-0.0031715015187709205,11.114007124641041,0.3811667677739856,-6.11082453727345,26.463516081404542,554
7,5,5,Sstar_mean,1.4,2.5,-0.08716312485583635,0.14777074519001043,0.9375958299797472,0.013087434259921416,0.08229638374223208,0.17965737817986951,23.07196562453076,-58.72704639815639,103.04777721239819,0.09165104798309633,6.5030317952626095,0.24674745630360018,-4.928079184716965,21.00118809669422,607
7,6,6,Sstar_mean,0.8,2.5,-0.3774438719761218,0.2556285556103937,0.87042408402071,0.011027093749232978,0.09470889245233206,0.36905402019215794,nan,-395.2660455725916,307.8282423377539,0.22328323370830355,nan,nan,-52.407919453707585,90.5590601213343,631
7,6,6,Sstar_mean,1.0,2.5,-0.3774438719761218,0.2556285556103937,0.87042408402071,0.011027093749232978,0.09470889245233206,0.36905402019215794,nan,-395.2660455725916,307.8282423377539,0.22328323370830355,nan,nan,-52.407919453707585,90.5590601213343,631
7,6,6,Sstar_mean,1.2,2.5,-0.3774438719761218,0.2556285556103937,0.87042408402071,0.011027093749232978,0.09470889245233206,0.36905402019215794,nan,-395.2660455725916,307.8282423377539,0.22328323370830355,nan,nan,-52.407919453707585,90.5590601213343,631
7,6,6,Sstar_mean,1.4,2.5,-0.3774438719761218,0.2556285556103937,0.87042408402071,0.011027093749232978,0.09470889245233206,0.36905402019215794,nan,-395.2660455725916,307.8282423377539,0.22328323370830355,nan,nan,-52.407919453707585,90.5590601213343,631
7,7,7,M_sum,0.8,2.3,-0.0006417193519435007,0.003069339510064853,0.7718605554291846,0.0007399323174603923,0.0010519242872756597,0.007438925100836865,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,321
7,7,7,M_sum,1.0,2.3,-0.0006164623191155177,0.003055621632810038,0.7212191588819223,0.0007658153960332329,0.000891009624277732,0.007277445709992854,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,353
7,7,7,M_sum,1.2,2.3,0.00016917235888124643,0.002650294668379971,0.598710237305022,0.0007490180038775592,0.00030229719922898144,0.0077653262414569225,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,403
7,7,7,M_sum,1.4,2.3,-0.0008192191345154508,0.003156153939193478,0.657874275575594,0.0006537422664371351,0.0003673896793141567,0.008156084243516546,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,431
7,7,7,S2_sum,0.8,2.5,0.0012194268925179844,0.001972400441469914,0.24350074160612467,0.0017381575833310182,0.0019213104474361314,0.008153876272840446,3.1876524582284635,0.8854317187497149,1.5633568908788997,0.0018850673605924912,0.7137647630301154,0.5091758843025859,0.7668311077202,1.2397779033680305,296
7,7,7,S2_sum,1.0,2.5,0.001693804218147223,0.001732049263151101,0.16837868616733898,0.0017744303406813293,0.0017430208265614045,0.008257201025244585,7.788604260427105,0.8520306721140245,1.5970948949625945,0.0021159358863144977,0.6737742802444703,0.4775421836262781,0.7601040819460085,1.2302876778444582,321
7,7,7,S2_sum,1.2,2.5,0.003349572124467385,0.0009281618598243095,0.04171426889041541,0.0017933109224896545,0.0015281248424655078,0.008548191060287317,-1.0671469584498787,0.8396514453792061,1.7943182652235539,0.0026580903727899795,0.5845436821674698,0.4101184587948745,0.711581093487392,1.2370177400465092,364
7,7,7,S2_sum,1.4,2.5,0.004164093699719763,0.0005493027043908054,0.01003865595756559,0.0018830439910972213,0.0016605574383379209,0.009345371890003831,-0.32514707315079905,0.8166015629245896,2.044723404325646,0.0028950878961156567,0.5594347286706866,0.39674122225708996,0.7229601751604368,1.2544678582295088,389
7,7,7,Sstar_mean,0.8,2.1,0.0010289234180311912,0.0025788268965623927,0.6351297570834749,0.0007568679873991973,-0.002673280789961391,0.006372837505675437,0.8666414133982551,-0.9690937829728169,2.1574416512481034,0.0024556384268662624,0.6177192709564445,0.4752621359265151,-0.19738631095232592,1.1665638854571638,314
7,7,7,Sstar_mean,1.0,2.1,0.002377789616018485,0.00178950337368296,0.5274668279929919,0.0005846938041962484,-0.0034704079361600523,0.0063952351794333865,0.6103382222889108,-2.407109269455017,1.8820160964612695,0.0035348980030186364,0.39439600402110875,0.3662988955086727,-0.307367752510584,1.152804935890781,371
7,7,7,Sstar_mean,1.2,2.1,0.0030581083683622833,0.0014114665809004043,0.3109767744139499,0.0006034628333979173,-0.004760948195541586,0.006274229672411595,0.6190738961982845,-2.102387156053562,4.3252020922482375,0.004409781477988755,0.21755442581649606,0.09629176746713186,-0.5569580295897604,1.3612387624912057,392
7,7,7,Sstar_mean,1.4,2.1,0.0049812889817848795,0.00036816051776081824,0.023824633523114702,0.0005399675627461981,-0.00622238524183909,0.007432089970632534,0.1264765637514301,-3.187559085859474,2.838081332783935,0.004696367652252727,0.19860029362395804,0.12844031035606163,-0.7612667170436797,1.233069956742576,421
8,5,5,M_sum,0.8,1.5,-0.005256221706537378,0.004923713567629789,0.20972684935317176,0.000780384703381955,-0.016834709305923956,0.024881072188513834,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,400
8,5,5,M_sum,1.0,1.5,-0.005256221706537378,0.004923713567629789,0.20972684935317176,0.000780384703381955,-0.016834709305923956,0.024881072188513834,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,400
8,5,5,M_sum,1.2,1.5,-0.005256221706537378,0.004923713567629789,0.20972684935317176,0.000780384703381955,-0.016834709305923956,0.024881072188513834,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,400
8,5,5,S2_sum,0.8,1.5,-0.006764077300161247,0.006295137031132428,0.2864425333983337,0.0008112510707828678,-0.01852212044964158,0.024462529580466456,1.2785343713978115,-0.9600123191418588,2.368317991092867,0.00026534357777282445,1.089673618913433,0.9920910488200705,0.179851126013192,1.668086889106815,418
8,5,5,S2_sum,1.0,1.5,-0.006764077300161247,0.006295137031132428,0.2864425333983337,0.0008112510707828678,-0.01852212044964158,0.024462529580466456,1.2785343713978115,-0.9600123191418588,2.368317991092867,0.00026534357777282445,1.089673618913433,0.9920910488200705,0.179851126013192,1.668086889106815,418
8,5,5,S2_sum,1.2,1.5,-0.006764077300161247,0.006295137031132428,0.2864425333983337,0.0008112510707828678,-0.01852212044964158,0.024462529580466456,1.2785343713978115,-0.9600123191418588,2.368317991092867,0.00026534357777282445,1.089673618913433,0.9920910488200705,0.179851126013192,1.668086889106815,418
8,5,5,Sstar_mean,0.8,2.5,-0.10843886031147239,0.18065349621461269,0.9315668439346184,0.022625195463353474,0.1328968365238971,0.2262677014590727,331.246349864371,-71.47904026536563,161.6451797680516,0.21825684858300454,1.8644628488390917,0.009435409783754234,-3.180157403464407,75.59676357678026,375
8,5,5,Sstar_mean,1.0,2.5,-0.10843886031147239,0.18065349621461269,0.9315668439346184,0.022625195463353474,0.1328968365238971,0.2262677014590727,331.246349864371,-71.47904026536563,161.6451797680516,0.21825684858300454,1.8644628488390917,0.009435409783754234,-3.180157403464407,75.59676357678026,375
8,5,5,Sstar_mean,1.2,2.5,-0.037574824578987844,0.1465588007607364,0.9871206743541123,0.006201340312481958,0.12093780995874265,0.2086128533025517,130.6410593137907,-68.52316204861289,306.0121966140426,0.24606348915317336,2.0325753105574904,0.032770244729837694,-1.255206532265735,69.90315851559689,572
