L,N,nmax,W_over_t,observable,n_disorder,U_peak,peak_value,quality_flag
8,5,5,1.4000000000000001,Sstar_mean,100,0.14770038813909406,1.482861613821168,ok
8,5,5,1.4000000000000001,Sstar_mean,300,0.17219695718660769,1.4830289385646778,ok
8,5,5,1.5,M_per_edge,100,0.0,0.851125174297396,boundary
8,5,5,1.5,M_per_edge,300,0.0,0.8508528900477846,boundary
8,5,5,1.5,M_sum,100,0.015342192545233821,5.262604847770499,ok
8,5,5,1.5,M_sum,300,0.0015775333292116713,5.258556370228925,ok
8,5,5,1.5,S2_per_edge,100,0.0,0.6139373171187248,boundary
8,5,5,1.5,S2_per_edge,300,0.0,0.6137921240094838,boundary
8,5,5,1.5,S2_sum,100,0.016126102453649926,3.7962703688093757,ok
8,5,5,1.5,S2_sum,300,0.0021049871131419784,3.7935313117965244,ok
8,5,5,1.5,Sstar_mean,100,0.15967155853764503,1.4770792445793686,ok
8,5,5,1.5,Sstar_mean,300,0.17500000000000002,1.477313951162432,nonnegative_curvature
8,5,5,1.6,M_per_edge,100,0.0,0.8375609382909772,boundary
8,5,5,1.6,M_per_edge,300,0.0,0.8372782108847265,boundary
8,5,5,1.6,M_sum,100,0.01986597850678462,5.178894263333251,ok
8,5,5,1.6,M_sum,300,-0.015053180881633472,5.175001588702989,vertex_outside_fit_window
8,5,5,1.6,S2_per_edge,100,0.0,0.606304524773418,boundary
8,5,5,1.6,S2_per_edge,300,0.0,0.6061489240884725,boundary
8,5,5,1.6,S2_sum,100,0.02028710260945517,3.7492637086000906,ok
8,5,5,1.6,S2_sum,300,-0.012563433226599141,3.7464633211612934,vertex_outside_fit_window
8,5,5,1.6,Sstar_mean,100,0.17427790077434618,1.4710054757870423,ok
8,5,5,1.6,Sstar_mean,300,0.180152821422391,1.4712714218540952,ok
8,5,5,1.7000000000000002,M_per_edge,100,0.0,0.8241223388894399,boundary
8,5,5,1.7000000000000002,M_per_edge,300,0.0,0.8238358203656193,boundary
8,5,5,1.7000000000000002,M_sum,100,0.01996382371691838,5.095702520458658,ok
8,5,5,1.7000000000000002,M_sum,300,0.005,5.091520476017814,nonnegative_curvature
8,5,5,1.7000000000000002,S2_per_edge,100,0.0,0.5986804162030005,boundary
8,5,5,1.7000000000000002,S2_per_edge,300,0.0,0.5985171192904375,boundary
8,5,5,1.7000000000000002,S2_sum,100,0.020322281732579155,3.702041639413107,ok
8,5,5,1.7000000000000002,S2_sum,300,0.005,3.6991181984740606,nonnegative_curvature
8,5,5,1.7000000000000002,Sstar_mean,100,0.2213274287417538,1.46461031420177,ok
8,5,5,1.7000000000000002,Sstar_mean,300,0.2170872697877312,1.4650110962891612,ok
8,5,5,1.8,M_per_edge,100,0.0,0.810847025178349,boundary
8,5,5,1.8,M_per_edge,300,0.0,0.8105635837599433,boundary
8,5,5,1.8,M_sum,100,0.019639448508816968,5.013135957585923,ok
8,5,5,1.8,M_sum,300,0.0,5.009391254671519,boundary
8,5,5,1.8,S2_per_edge,100,0.0,0.5910891652340982,boundary
8,5,5,1.8,S2_per_edge,300,0.0,0.5909211131584275,boundary
8,5,5,1.8,S2_sum,100,0.0203701249628425,3.654768522798088,ok
8,5,5,1.8,S2_sum,300,0.0,3.6520607408310486,boundary
8,5,5,1.8,Sstar_mean,100,0.23890254260821162,1.4583541949028898,ok
8,5,5,1.8,Sstar_mean,300,0.2321657103911306,1.458783192460547,ok
8,5,5,1.9000000000000001,M_per_edge,100,0.0,0.7977645436782262,boundary
8,5,5,1.9000000000000001,M_per_edge,300,0.0,0.7974910858533035,boundary
8,5,5,1.9000000000000001,M_sum,100,0.02198202502348836,4.932338172801774,ok
8,5,5,1.9000000000000001,M_sum,300,0.005,4.928626158017415,nonnegative_curvature
8,5,5,1.9000000000000001,S2_per_edge,100,0.0,0.5835507371917079,boundary
8,5,5,1.9000000000000001,S2_per_edge,300,0.0,0.5833810154958573,boundary
8,5,5,1.9000000000000001,S2_sum,100,0.022677004799474664,3.6082515035829688,ok
8,5,5,1.9000000000000001,S2_sum,300,-396.2977774529,10.31743712766851,vertex_outside_fit_window
8,5,5,1.9000000000000001,Sstar_mean,100,0.24584203658901524,1.4525614469573775,ok
8,5,5,1.9000000000000001,Sstar_mean,300,0.24386324134515341,1.452683333011377,ok
8,5,5,2.0,M_per_edge,100,0.0,0.7848977079188793,boundary
8,5,5,2.0,M_per_edge,300,0.0,0.7846410342441587,boundary
8,5,5,2.0,M_sum,100,0.022649503594790857,4.853150876258706,ok
8,5,5,2.0,M_sum,300,0.0,4.849119239057192,boundary
8,5,5,2.0,S2_per_edge,100,0.0,0.5760815003265973,boundary
8,5,5,2.0,S2_per_edge,300,0.0,0.5759132654709738,boundary
8,5,5,2.0,S2_sum,100,0.023072833694665694,3.5623350337768707,ok
8,5,5,2.0,S2_sum,300,0.0,3.5592677278322573,boundary
8,5,5,2.0,Sstar_mean,100,0.26350319774920783,1.4472110314334619,ok
8,5,5,2.0,Sstar_mean,300,0.2588360451710984,1.4470139198660619,ok
8,5,5,2.1,M_per_edge,100,0.0,0.772263759560106,boundary
8,5,5,2.1,M_per_edge,300,0.0,0.7720304512823974,boundary
8,5,5,2.1,M_sum,100,0.023408272912518045,4.7746440708195115,ok
8,5,5,2.1,M_sum,300,0.0,4.771153459022873,boundary
8,5,5,2.1,S2_per_edge,100,0.0,0.568694760499983,boundary
8,5,5,2.1,S2_per_edge,300,0.0,0.5685311779443384,boundary
8,5,5,2.1,S2_sum,100,0.02386467087947136,3.516378165542409,ok
8,5,5,2.1,S2_sum,300,0.0,3.5136255173106177,boundary
8,5,5,2.1,Sstar_mean,100,0.27716384982983794,1.4424328734762988,ok
8,5,5,2.1,Sstar_mean,300,0.27208601401610516,1.4417972727434165,ok
8,5,5,2.2,M_per_edge,100,0.0,0.7598753458279173,boundary
8,5,5,2.2,M_per_edge,300,0.0,0.7596716786884775,boundary
8,5,5,2.2,M_sum,100,0.0,4.697812215373588,boundary
8,5,5,2.2,M_sum,300,0.0,4.694745796680745,boundary
8,5,5,2.2,S2_per_edge,100,0.0,0.5614012244394313,boundary
8,5,5,2.2,S2_per_edge,300,0.0,0.5612454177231267,boundary
8,5,5,2.2,S2_sum,100,0.02602184608452412,3.470989780323299,ok
8,5,5,2.2,S2_sum,300,0.0,3.4685795242371675,boundary
8,5,5,2.2,Sstar_mean,100,0.3184665744815961,1.437359149018011,ok
8,5,5,2.2,Sstar_mean,300,0.279381924956584,1.4370009237361197,ok
8,5,5,2.3,M_per_edge,100,0.0,0.7477413381920315,boundary
8,5,5,2.3,M_per_edge,300,0.0,0.7475732195837069,boundary
8,5,5,2.3,M_sum,100,0.0,4.62275618603043,boundary
8,5,5,2.3,M_sum,300,0.0,4.619948752695933,boundary
8,5,5,2.3,S2_per_edge,100,0.0,0.5542093984589811,boundary
8,5,5,2.3,S2_per_edge,300,0.0,0.5540644083029158,boundary
8,5,5,2.3,S2_sum,100,0.029386138271212565,3.4265982385124683,ok
8,5,5,2.3,S2_sum,300,0.0,3.4241818049896096,boundary
8,5,5,2.3,Sstar_mean,100,0.3361346606965191,1.4333724764392644,ok
8,5,5,2.3,Sstar_mean,300,0.3015867557241958,1.4328223599232564,ok
8,5,5,2.4000000000000004,M_per_edge,100,0.0,0.7358675156182269,boundary
8,5,5,2.4000000000000004,M_per_edge,300,0.0,0.735740441383807,boundary
8,5,5,2.4000000000000004,M_sum,100,0.028814520469651488,4.549274728709244,ok
8,5,5,2.4000000000000004,M_sum,300,0.0,4.5467954384325475,boundary
8,5,5,2.4000000000000004,S2_per_edge,100,0.0,0.5471259300127903,boundary
8,5,5,2.4000000000000004,S2_per_edge,300,0.0,0.5469946823173517,boundary
8,5,5,2.4000000000000004,S2_sum,100,0.02928207078441814,3.382840833850111,ok
8,5,5,2.4000000000000004,S2_sum,300,0.0,3.3804727225174815,boundary
8,5,5,2.4000000000000004,Sstar_mean,100,0.35429625937680564,1.430146375851474,ok
8,5,5,2.4000000000000004,Sstar_mean,300,0.3086485882340466,1.4291291191591924,ok
8,5,5,2.5,M_per_edge,100,0.0,0.7242571333408684,boundary
8,5,5,2.5,M_per_edge,300,0.0,0.7241761607899342,boundary
8,5,5,2.5,M_sum,100,0.02714746295651954,4.477509013310433,ok
8,5,5,2.5,M_sum,300,0.0,4.4753031944504285,boundary
8,5,5,2.5,S2_per_edge,100,0.0,0.5401558992934142,boundary
8,5,5,2.5,S2_per_edge,300,0.0,0.5400411808748943,boundary
8,5,5,2.5,S2_sum,100,0.028410002773072547,3.339722849773426,ok
8,5,5,2.5,S2_sum,300,0.0,3.337482797978431,boundary
8,5,5,2.5,Sstar_mean,100,0.3653979958525787,1.4282578285245986,ok
8,5,5,2.5,Sstar_mean,300,0.33108575790980993,1.4264423320456994,ok
