L,N,nmax,W_over_t,observable,U_peak,U_peak_ci_low,U_peak_ci_high,peak_value,curvature,fit_method,quality_flag,bootstrap_valid,n_samples
7,7,7,1.4000000000000001,Sstar_mean,0.004756512808994611,0.0010029289086049807,0.013089155611090144,1.5350750530933712,-2.900350655160509,local_parabola_5_points,ok,667,300
7,7,7,1.5,M_sum,0.004936983417099204,0.0018409960648039156,0.011482301331172272,6.036822976379612,-27.14512145270197,local_parabola_5_points,ok,634,300
7,7,7,1.5,M_per_edge,0.0,nan,nan,0.8804077770056644,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.5,S2_sum,0.005287847821516751,0.0020558830520097013,0.012451816639831725,4.319242707230531,-18.268118613456817,local_parabola_5_points,ok,658,300
7,7,7,1.5,S2_per_edge,0.0,nan,nan,0.6298802810808478,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.5,Sstar_mean,0.005926166970368742,0.0021928212450276286,0.010312771283149844,1.531486690547376,-5.297911182980773,local_parabola_5_points,ok,819,300
7,7,7,1.6,M_sum,0.0034659850638079654,0.0009184472143861787,0.013540526435914925,5.958738892398555,-16.39032400211082,local_parabola_5_points,ok,591,300
7,7,7,1.6,M_per_edge,0.0,nan,nan,0.8690530548842645,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.6,S2_sum,0.003833099376192387,0.0010403188686204604,0.016764985523141145,4.275787372663987,-10.543599014265489,local_parabola_5_points,ok,605,300
7,7,7,1.6,S2_per_edge,0.0,nan,nan,0.6235656211829159,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.6,Sstar_mean,0.006357512339486517,0.0024066265878911913,0.012692658580165564,1.5274100619847926,-4.473365471375954,local_parabola_5_points,ok,803,300
7,7,7,1.7000000000000002,M_sum,0.003472200082866318,0.0005071767535841925,0.01384168373259226,5.880959577407798,-15.962404137439277,local_parabola_5_points,ok,548,300
7,7,7,1.7000000000000002,M_per_edge,0.0,nan,nan,0.8577319749359283,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.7000000000000002,S2_sum,0.0040038594930016415,0.0008735363021321733,0.015508601758593856,4.232207308049968,-10.7048308124739,local_parabola_5_points,ok,579,300
7,7,7,1.7000000000000002,S2_per_edge,0.0,nan,nan,0.6172228872834555,nan,local_parabola_5_points,boundary,0,300
7,7,7,1.7000000000000002,Sstar_mean,0.005327703304926614,0.0018808408469162697,0.011638707053858669,1.5229769052729591,-4.773362249528401,local_parabola_5_points,ok,686,300
