U,W,L,N,nmax,boundary,g,n_realizations_used,source
2.0,0.5,8,8,3,periodic,1.1721721721721723,258,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,1.0,8,8,3,periodic,1.1921921921921923,272,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,2.0,8,8,3,periodic,1.1721721721721723,265,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,3.0,8,8,3,periodic,0.9019019019019021,260,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,4.0,8,8,3,periodic,0.5565565565565564,240,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,5.0,8,8,3,periodic,0.3113113113113113,216,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,6.0,8,8,3,periodic,0.26626626626626626,216,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,7.0,8,8,3,periodic,0.12112112112112118,188,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,8.0,8,8,3,periodic,0.13113113113113112,158,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,9.0,8,8,3,periodic,0.1061061061061062,149,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,10.0,8,8,3,periodic,0.06106106106106118,153,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,11.0,8,8,3,periodic,0.031031031031031043,126,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,12.0,8,8,3,periodic,0.05105105105105113,118,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,13.0,8,8,3,periodic,0.016016016016016144,117,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,14.0,8,8,3,periodic,-0.014014014014014382,121,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,15.0,8,8,3,periodic,-0.029029029029029377,111,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,0.5,8,8,4,periodic,0.7617617617617616,253,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,1.0,8,8,4,periodic,0.9169169169169171,263,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
2.0,2.0,8,8,4,periodic,0.7867867867867866,249,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L8_allU_epsilon0p03/thouless_summary.csv
