L,N,nmax,W,slope_vs_U,intercept,r2,n_U,mean_positive_step_fraction,monotone_decreasing_strict
9,8,2,11.0,-0.0162142051264948,0.35813962147664363,0.8993438175446884,10,0.2222222222222222,0
9,8,2,12.0,-0.011628668817209795,0.31212991055856254,0.8536262808891946,10,0.2222222222222222,0
9,8,2,13.0,-0.008691509865780963,0.27913765722246503,0.685991423281044,10,0.2222222222222222,0
9,8,2,14.0,-0.008612362603052337,0.26479076390991524,0.8533090945346253,10,0.2222222222222222,0
9,8,2,15.0,-0.006798143364766785,0.23943978727163098,0.83913013490499,10,0.2222222222222222,0
9,9,2,1.0,-0.016567451846783484,0.8601006655310756,0.9415498841111056,10,0.0,1
9,9,2,2.0,-0.024512872427848345,0.8591995668687457,0.9460379628953031,10,0.0,1
9,9,2,3.0,-0.036772614247821744,0.8543786945706725,0.9588701422636073,10,0.0,1
9,9,2,4.0,-0.042881425357270825,0.8175899528988211,0.9616271657981639,10,0.0,1
9,9,2,5.0,-0.04370495049946328,0.7545073416189565,0.9596649800517643,10,0.0,1
9,9,2,6.0,-0.03966097096126631,0.6749747059568427,0.9537148416313774,10,0.1111111111111111,0
9,9,2,7.0,-0.03397098163556933,0.5956524879092013,0.923625160912352,10,0.2222222222222222,0
9,9,2,8.0,-0.028211333439911546,0.5248305399731282,0.9163899017862831,10,0.1111111111111111,0
9,9,2,9.0,-0.0236597516845556,0.46320870421207455,0.9131932868155198,10,0.1111111111111111,0
9,9,2,10.0,-0.018555333934637163,0.40898362202587824,0.8790195807427554,10,0.3333333333333333,0
9,9,2,11.0,-0.016537491919825828,0.37489203935107757,0.8992634209708382,10,0.1111111111111111,0
9,9,2,12.0,-0.011958942110736946,0.32837832173952003,0.8286123619276301,10,0.2222222222222222,0
9,9,2,13.0,-0.010029937491854705,0.2998351707638569,0.807560168861723,10,0.3333333333333333,0
9,9,2,14.0,-0.008113580685962433,0.27276563914316204,0.801676627068731,10,0.3333333333333333,0
9,9,2,15.0,-0.006539947861121024,0.24884327520336172,0.7795774309402281,10,0.3333333333333333,0
9,10,2,1.0,-0.020942073703416598,0.8650174794943816,0.9242639609252368,10,0.0,1
9,10,2,2.0,-0.027076593573011214,0.8638222857206598,0.9362582856896515,10,0.0,1
9,10,2,3.0,-0.03623450496429611,0.8559191582499122,0.9476728299642412,10,0.0,1
9,10,2,4.0,-0.04196318035610285,0.825557776415201,0.9625359086903911,10,0.0,1
9,10,2,5.0,-0.04216846031521732,0.76340570198704,0.9581330266541018,10,0.1111111111111111,0
9,10,2,6.0,-0.03856289784754083,0.6888853388330369,0.9530195740671246,10,0.0,1
9,10,2,7.0,-0.03316624715533278,0.6059730029997363,0.921480265328134,10,0.2222222222222222,0
9,10,2,8.0,-0.027546603289736883,0.532159690296235,0.9034462489032756,10,0.2222222222222222,0
9,10,2,9.0,-0.024221498251996532,0.4842353452522789,0.8924479031976446,10,0.2222222222222222,0
9,10,2,10.0,-0.019487895115623866,0.4264787812294592,0.8926126155565245,10,0.2222222222222222,0
9,10,2,11.0,-0.015200735024896552,0.37759014076121405,0.8828786979311654,10,0.1111111111111111,0
9,10,2,12.0,-0.011674127560148509,0.33705671172824825,0.796504384021585,10,0.2222222222222222,0
9,10,2,13.0,-0.009588531092954093,0.3067380882266624,0.774014306808421,10,0.2222222222222222,0
9,10,2,14.0,-0.008927508534262139,0.2868532968082126,0.880887442030204,10,0.2222222222222222,0
9,10,2,15.0,-0.007282568465830251,0.2643321765805621,0.7634362570364881,10,0.1111111111111111,0
9,11,2,1.0,-0.015436418255170304,0.854121304799549,0.936683920112054,10,0.0,1
9,11,2,2.0,-0.021800893183079338,0.8522195676960407,0.9412905997785211,10,0.0,1
9,11,2,3.0,-0.03206933601245569,0.8471904588906418,0.9524969491924035,10,0.0,1
9,11,2,4.0,-0.03954166323075945,0.8208808449729178,0.9679564311990959,10,0.0,1
9,11,2,5.0,-0.03987589003868834,0.7602146738011348,0.9573779954047081,10,0.1111111111111111,0
9,11,2,6.0,-0.03682525485267311,0.686972693987804,0.9483800564297387,10,0.2222222222222222,0
9,11,2,7.0,-0.03219348160451947,0.6134938664903085,0.9291896439609579,10,0.2222222222222222,0
9,11,2,8.0,-0.026890318769522914,0.541993322136257,0.9021913845324109,10,0.1111111111111111,0
9,11,2,9.0,-0.023890234059548245,0.4926058698958109,0.9256340769579412,10,0.1111111111111111,0
9,11,2,10.0,-0.018162943700621388,0.4282388876744464,0.8569603983383672,10,0.2222222222222222,0
9,11,2,11.0,-0.014928391948407586,0.3872098023071749,0.8795883247879056,10,0.1111111111111111,0
9,11,2,12.0,-0.011599593224201808,0.34518039736147804,0.875577624731216,10,0.2222222222222222,0
9,11,2,13.0,-0.009581946571089864,0.3157182319533042,0.7942135427267342,10,0.3333333333333333,0
9,11,2,14.0,-0.008455088103795846,0.29167478711966377,0.8579622709678896,10,0.1111111111111111,0
9,11,2,15.0,-0.0060581932450588325,0.26284158849641315,0.7805473220368191,10,0.3333333333333333,0
