L,N,nmax,U,W,gamma,kappa,S2_model_over_lnD,data_entropy,data_lnPR_over_lnD_available
9,7,2,4.0,13.0,1.0,0.23214357798369015,0.9964160433252923,0.242292017018356,True
9,7,2,5.0,13.0,1.0,0.3391702754288249,0.9922637948194892,0.23929881435702743,True
9,7,2,6.0,13.0,1.0,0.461924957963106,0.9855023908985903,0.21906776102298436,True
9,7,2,7.0,13.0,1.0,0.6036548405862672,0.9750305734892313,0.20607121388545177,True
9,7,2,8.0,13.0,1.0,0.7695333153382136,0.9592129283515243,0.19887276229838596,True
9,7,2,9.0,13.0,1.0,0.9676711474665534,0.9355627625768513,0.17903728740080113,True
9,7,2,10.0,13.0,1.0,1.2111257624766556,0.9002845915882681,0.1655371823665949,True
9,7,2,1.0,14.0,1.0,-0.0,1.0,0.22809965006282454,True
9,7,2,2.0,14.0,1.0,0.055255412012096494,0.9998015607667056,0.22076467860038756,True
9,7,2,3.0,14.0,1.0,0.1269709430778703,0.9989416501849133,0.21995658083743208,True
9,7,2,4.0,14.0,1.0,0.2110109648554418,0.9970460844700791,0.22934208188887653,True
9,7,2,5.0,14.0,1.0,0.3068522416603117,0.9936877803062449,0.21622393211368154,True
9,7,2,6.0,14.0,1.0,0.41553654669762957,0.9883097450486422,0.20626492051081333,True
9,7,2,7.0,14.0,1.0,0.5392481462781329,0.9801420069091992,0.1977189882950776,True
9,7,2,8.0,14.0,1.0,0.6814428123983848,0.9680830280636532,0.183620537095106,True
9,7,2,9.0,14.0,1.0,0.8473637453680424,0.9505163485905453,0.17237929801985524,True
9,7,2,10.0,14.0,1.0,1.0450871208871804,0.9250290836994328,0.16307604146463225,True
9,7,2,1.0,15.0,1.0,-0.0,1.0,0.21294576057351888,True
9,7,2,2.0,15.0,1.0,0.05092583116432005,0.9998315470513742,0.21365865356843947,True
9,7,2,3.0,15.0,1.0,0.11671365273136461,0.9991069657490886,0.21737561438662178,True
9,7,2,4.0,15.0,1.0,0.19333762867521997,0.9975253921098759,0.2106791142405189,True
9,7,2,5.0,15.0,1.0,0.28006309072404567,0.9947562827570378,0.20570118663261516,True
9,7,2,6.0,15.0,1.0,0.37750301462117497,0.990382723854552,0.19513887840177796,True
9,7,2,7.0,15.0,1.0,0.4871577977093963,0.98384659440618,0.18676935118920895,True
9,7,2,8.0,15.0,1.0,0.6114176022792017,0.9743751054479936,0.1776643127748048,True
9,7,2,9.0,15.0,1.0,0.7538262794669239,0.9608712062014234,0.16332117380098032,True
9,7,2,10.0,15.0,1.0,0.919641262475883,0.9417458747417969,0.15306689771709392,True
9,8,2,1.0,1.0,1.0,-0.0,1.0,0.8527753301530194,True
9,8,2,2.0,1.0,1.0,0.9034923148418081,0.9415521525458475,0.8366351384245596,True
9,8,2,3.0,1.0,1.0,1.6268173029883373,0.8143263818997727,0.8055345321300466,True
9,8,2,4.0,1.0,1.0,2.1743240603255813,0.6922254230769278,0.7628695318506775,True
9,8,2,5.0,1.0,1.0,2.6083495531129026,0.5972488839611977,0.7265693834614179,True
9,8,2,6.0,1.0,1.0,2.9665119832741897,0.5274724737082358,0.7090011435421839,True
9,8,2,7.0,1.0,1.0,3.2709687373934715,0.4764072874157054,0.6988827438061149,True
9,8,2,8.0,1.0,1.0,3.5355619932499955,0.4385408687781442,0.691537702624947,True
9,8,2,9.0,1.0,1.0,3.769446788163347,0.40996115089014207,0.6840320263757966,True
9,8,2,10.0,1.0,1.0,3.9789711471841027,0.38799811856675165,0.6795819062338574,True
9,8,2,1.0,2.0,1.0,-0.0,1.0,0.8413294648976847,True
9,8,2,2.0,2.0,1.0,0.7034019527676205,0.9648970726002737,0.8235506888847437,True
9,8,2,3.0,2.0,1.0,1.492147632141352,0.8421689229873343,0.786961519145236,True
9,8,2,4.0,2.0,1.0,2.0979712795525116,0.7095409561879876,0.7337257779627288,True
9,8,2,5.0,2.0,1.0,2.563188742669635,0.6066978963058242,0.6833120693516544,True
9,8,2,6.0,2.0,1.0,2.9389949375718523,0.5324770283887668,0.6482073009165663,True
9,8,2,7.0,2.0,1.0,3.2542616328215703,0.4790014114342267,0.6338802980425895,True
9,8,2,8.0,2.0,1.0,3.5259255429715064,0.43981500991431255,0.6234043336891546,True
9,8,2,9.0,2.0,1.0,3.7646788782550913,0.41049986089425244,0.6150889761774778,True
9,8,2,10.0,2.0,1.0,3.977694855995305,0.38812207543820004,0.6108950184573477,True
9,8,2,1.0,3.0,1.0,-0.0,1.0,0.8077546185090592,True
9,8,2,2.0,3.0,1.0,0.4358313298321983,0.9868140045187609,0.7938419337103462,True
9,8,2,3.0,3.0,1.0,1.1234471010399047,0.9093752654797729,0.7535254766289218,True
9,8,2,4.0,3.0,1.0,1.8258083302493586,0.7710014354787678,0.6868918556722431,True
9,8,2,5.0,3.0,1.0,2.3580851549486366,0.651047686477723,0.6250804865851959,True
9,8,2,6.0,3.0,1.0,2.769981132694788,0.564558588388393,0.5709881772686989,True
9,8,2,7.0,3.0,1.0,3.106251418117381,0.5030431879706997,0.541848452390766,True
9,8,2,8.0,3.0,1.0,3.391163067135035,0.45845943247370086,0.5210973071815973,True
9,8,2,9.0,3.0,1.0,3.638810171495211,0.42537500019995805,0.507191547725278,True
9,8,2,10.0,3.0,1.0,3.8580903757496805,0.4002661790268977,0.5083047373953796,True
9,8,2,1.0,4.0,1.0,-0.0,1.0,0.7487526230396417,True
9,8,2,2.0,4.0,1.0,0.2873496762803279,0.9943620301263586,0.739701788585744,True
9,8,2,3.0,4.0,1.0,0.7477005630165894,0.9602345473768836,0.6999530740711611,True
9,8,2,4.0,4.0,1.0,1.402543907460171,0.859830780331754,0.635475414888126,True
9,8,2,5.0,4.0,1.0,2.044092758584343,0.7217799173825615,0.5493140955967819,True
9,8,2,6.0,4.0,1.0,2.525820852618264,0.6146107472081991,0.496182380873942,True
9,8,2,7.0,4.0,1.0,2.8999522237105255,0.5396849212070567,0.4521765068313255,True
9,8,2,8.0,4.0,1.0,3.207305607978536,0.48642244253000205,0.43112135525479034,True
9,8,2,9.0,4.0,1.0,3.469378710489382,0.44744973949409345,0.420653068040875,True
9,8,2,10.0,4.0,1.0,3.698515228347667,0.41816076429973364,0.40061227883690315,True
9,8,2,1.0,5.0,1.0,-0.0,1.0,0.6666941844956356,True
9,8,2,2.0,5.0,1.0,0.20859138744682262,0.9970584469572552,0.6502429096176782,True
9,8,2,3.0,5.0,1.0,0.5247992826580158,0.9807195069713001,0.640471224500268,True
9,8,2,4.0,5.0,1.0,0.9837813498077101,0.930569608338462,0.5831011912882498,True
9,8,2,5.0,5.0,1.0,1.6092746701692835,0.8180318474900501,0.5077905505618344,True
