L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
9,8,2,13.0,10.0,0.18205709917622925,2907,9,0.27551830639319824,0.6607804089664066
9,8,2,14.0,10.0,0.17416129791933144,2907,9,0.27551830639319824,0.6321224175600949
9,8,2,15.0,10.0,0.16764955752023025,2907,9,0.27551830639319824,0.6084879067199762
9,9,2,1.0,10.0,0.715700064505613,3139,1,0.0,nan
9,9,2,2.0,10.0,0.6458375106420442,3139,1,0.0,nan
9,9,2,3.0,10.0,0.5274552189937294,3139,1,0.0,nan
9,9,2,4.0,10.0,0.433157787005652,3139,1,0.0,nan
9,9,2,5.0,10.0,0.3559290286254809,3139,1,0.0,nan
9,9,2,6.0,10.0,0.3043219689740321,3139,1,0.0,nan
9,9,2,7.0,10.0,0.2752903083931546,3139,1,0.0,nan
9,9,2,8.0,10.0,0.24914612698515232,3139,1,0.0,nan
9,9,2,9.0,10.0,0.22395990813204675,3139,1,0.0,nan
9,9,2,10.0,10.0,0.21733239653652295,3139,1,0.0,nan
9,9,2,11.0,10.0,0.2051747374870989,3139,1,0.0,nan
9,9,2,12.0,10.0,0.20023851890607605,3139,1,0.0,nan
9,9,2,13.0,10.0,0.1929587846537979,3139,1,0.0,nan
9,9,2,14.0,10.0,0.18358404584137983,3139,1,0.0,nan
9,9,2,15.0,10.0,0.17746208196138258,3139,1,0.0,nan
9,10,2,1.0,10.0,0.6844641075328313,2907,0,nan,nan
9,10,2,2.0,10.0,0.629510979594492,2907,0,nan,nan
9,10,2,3.0,10.0,0.5381324376995462,2907,0,nan,nan
9,10,2,4.0,10.0,0.4481562050958398,2907,0,nan,nan
9,10,2,5.0,10.0,0.37801352104358876,2907,0,nan,nan
9,10,2,6.0,10.0,0.3258015286893499,2907,0,nan,nan
9,10,2,7.0,10.0,0.28666894831712997,2907,0,nan,nan
9,10,2,8.0,10.0,0.26002123204745975,2907,0,nan,nan
9,10,2,9.0,10.0,0.24141050412837406,2907,0,nan,nan
9,10,2,10.0,10.0,0.22806285414250785,2907,0,nan,nan
9,10,2,11.0,10.0,0.21815538538564638,2907,0,nan,nan
9,10,2,12.0,10.0,0.21321156252919743,2907,0,nan,nan
9,10,2,13.0,10.0,0.20198092350387958,2907,0,nan,nan
9,10,2,14.0,10.0,0.19359368655239081,2907,0,nan,nan
9,10,2,15.0,10.0,0.18559689700651955,2907,0,nan,nan
9,11,2,1.0,10.0,0.719870728798046,2304,0,nan,nan
9,11,2,2.0,10.0,0.6630022563936897,2304,0,nan,nan
9,11,2,3.0,10.0,0.5643136738686431,2304,0,nan,nan
9,11,2,4.0,10.0,0.4663943658378054,2304,0,nan,nan
9,11,2,5.0,10.0,0.39585449507895687,2304,0,nan,nan
9,11,2,6.0,10.0,0.34312177598795696,2304,0,nan,nan
9,11,2,7.0,10.0,0.3036848750628006,2304,0,nan,nan
9,11,2,8.0,10.0,0.27441145968351527,2304,0,nan,nan
9,11,2,9.0,10.0,0.2521921874407484,2304,0,nan,nan
9,11,2,10.0,10.0,0.2405862304157374,2304,0,nan,nan
9,11,2,11.0,10.0,0.23069289388941516,2304,0,nan,nan
9,11,2,12.0,10.0,0.22364169387266195,2304,0,nan,nan
9,11,2,13.0,10.0,0.21065544339233955,2304,0,nan,nan
9,11,2,14.0,10.0,0.20238190784788604,2304,0,nan,nan
9,11,2,15.0,10.0,0.19593032746990147,2304,0,nan,nan
