L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,U_S_candidate_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,peak_estimator_disagreement_over_t,peak_estimators_agree,peak_smoothing_points_used,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
7,5,5,0.7142857142857143,1.0,200,41,0.0,1.0,0.20211440580733397,0.19900758862050294,0.19132571031369666,0.20743808113464113,0.26588766902451555,0.2657326763643092,0.26588766902451555,0.0001549926602063545,True,5,0.275,0.2657910435717321,0.2617001856177363,0.2705714769214255,1.0,0.008871291303689244,0.012500000000000011,True,False,0.275,0.275,0.0,1,False,0.027479002198499206,0.0007350041521609015,37.38618634699047,-0.5331748635188326,-0.6823454989493749,-0.49844327686305523,1.0,1.287805194217238,500,,0.06367663776439814,0.31505244522301906,inconsistent
7,5,5,0.7142857142857143,1.1,200,41,0.0,1.0,0.22129167044712716,0.21786286557924844,0.20937314050372433,0.22710970299237068,0.2734257933411173,0.2738276686271196,0.2734257933411173,0.0004018752860023289,True,5,0.275,0.2733407506460634,0.2687875769188884,0.2779522222674924,1.0,0.009164645348604006,0.012500000000000011,True,False,0.275,0.275,0.0,1,False,0.02995586607927306,0.0008159761834685886,36.711691696607254,-0.6216619565086365,-0.6774580671954737,-0.570426411653292,1.0,1.335560942906213,500,,0.052049080198936226,0.2352057811022409,inconsistent
7,5,5,0.7142857142857143,1.2,200,41,0.0,1.0,0.2402289664103922,0.23643856742747232,0.22724224107240035,0.24664117576350525,0.28218168797700866,0.28287603802172845,0.28218168797700866,0.0006943500447197937,True,5,0.275,0.2821428442246555,0.27735461628105923,0.2870115851940657,1.0,0.009656968913006492,0.012500000000000011,True,False,0.275,0.275,0.0,1,False,0.032189309946408506,0.0008865434670980994,36.308778013753766,-0.700842013845546,-0.7655223216845349,-0.6378747847771465,1.0,1.3653664889702668,500,,0.04191387781426331,0.17447470403157067,inconsistent
7,5,5,0.7142857142857143,1.3,200,41,0.0,1.0,0.25892341921424955,0.2548680053411599,0.24483420939023354,0.2658185919813331,0.2901844686193943,0.2904942428286706,0.2901844686193943,0.0003097742092763034,True,5,0.3,0.29008942313023944,0.2847608259772889,0.29583779408885025,1.0,0.011076968111561336,0.012500000000000011,True,False,0.275,0.3,0.024999999999999967,2,False,0.03415076483272353,0.0009739984484425381,35.06244274550124,-0.714132316158016,-0.8009727210719354,-0.6616104684799333,1.0,1.4641587466648227,500,,0.031166003915989893,0.12036765160358545,inconsistent
7,5,5,0.7142857142857143,1.4,200,41,0.0,1.0,0.2773743724387647,0.273024812076337,0.2621343850266268,0.28467642434945917,0.2967164885608822,0.29653978831465366,0.2967164885608822,0.00017670024622851166,True,5,0.3,0.29661142769799276,0.290515930018647,0.30314238844735275,1.0,0.012626458428705745,0.012500000000000011,True,False,0.3,0.3,0.0,1,False,0.035595566909208426,0.0010382588430408184,34.283904392239315,-0.7138935536296103,-0.7937695786096962,-0.6411074609785874,1.0,1.5314116777660325,500,,0.01923705525922803,0.06935411909214846,inconsistent
7,5,5,0.7142857142857143,1.5,200,41,0.0,1.0,0.29558294998157486,0.2909223316930678,0.2793346906218987,0.3033107811485523,0.3032353992933744,0.3034710701501765,0.3032353992933744,0.00023567085680209487,True,5,0.3,0.3032345329274913,0.29668492099910154,0.3098546703395969,1.0,0.013169749340495362,0.012500000000000011,True,False,0.3,0.3,0.0,1,False,0.03677964458044159,0.0011082021631797301,33.18856956109064,-0.7482962505338028,-0.8333462537327554,-0.6623078132930931,1.0,1.634163236291906,500,,0.007651582945916446,0.025886415121012248,consistent
7,5,5,0.7142857142857143,1.6,200,41,0.0,1.0,0.3135518430372909,0.30854757822413303,0.29621026375596415,0.3217726249819943,0.3084899379135215,0.3085217961578359,0.3084899379135215,3.185824431445328e-05,True,5,0.3,0.3083431455016009,0.30150435996456953,0.3158361197099389,1.0,0.014331759745369377,0.012500000000000011,True,False,0.3,0.3,0.0,1,False,0.03757411893821503,0.0011788388944052452,31.873837143091677,-0.7699509403316748,-0.8665138845792305,-0.6679866104486126,1.0,1.7717555688325306,500,,-0.005208697535689977,0.016611918096971618,consistent
7,5,5,0.7142857142857143,1.7,200,41,0.0,1.0,0.33128480504829866,0.3260069417953546,0.31257698381988963,0.33995668086421754,0.3142762058510249,0.31391011180059686,0.3142762058510249,0.0003660940504280341,True,5,0.325,0.3141449726560698,0.3074579862070937,0.32169453856874447,1.0,0.014236552361650778,0.012500000000000011,True,False,0.325,0.325,0.0,1,False,0.03827808035313289,0.0012405282780316893,30.856273920549093,-0.7873114666289797,-0.9439196774381543,-0.7162319249940231,1.0,1.890538572331375,500,,-0.017139832392228882,0.05173745409098987,consistent
7,5,5,0.7142857142857143,1.8,200,41,0.0,1.0,0.34878644266329584,0.34324210002999755,0.32900451761425475,0.35809691974623636,0.3219349254761058,0.3220959619263959,0.3219349254761058,0.00016103645029008629,True,5,0.325,0.32175861352578006,0.313449523822767,0.330290931591607,1.0,0.016841407768840022,0.012500000000000011,True,False,0.325,0.325,0.0,1,False,0.038532108941214,0.001319212560013561,29.20841576949351,-0.7287738257665821,-0.8631758181386827,-0.6209642355063806,1.0,2.1098739066431573,500,,-0.02702782913751578,0.0774910542139602,inconsistent
7,5,5,0.7142857142857143,1.9,200,41,0.0,1.0,0.36606204990492575,0.36020768193442904,0.34509999759464444,0.37605595388762414,0.3283223656226487,0.3283941996981186,0.3283223656226487,7.183407546990095e-05,True,5,0.325,0.328331636857311,0.3205913041044839,0.3358284764476209,1.0,0.01523717234313704,0.012500000000000011,True,False,0.325,0.325,0.0,1,False,0.03833033102235142,0.0014207059000830868,26.97977886915917,-0.7709921972147689,-0.9019212358488394,-0.6437021155530814,1.0,2.47283838498157,500,,-0.037730413047614764,0.10307108605607757,inconsistent
7,5,5,0.7142857142857143,2.0,200,41,0.0,1.0,0.383117222409753,0.37695795678134997,0.36075323094540057,0.3937495047663162,0.3311993647638498,0.33077835812537465,0.3311993647638498,0.0004210066384751632,True,5,0.325,0.33123707898652643,0.32408593138537506,0.33837225064111276,1.0,0.0142863192557377,0.012500000000000011,True,False,0.325,0.35,0.024999999999999967,2,False,0.03788749584976513,0.0015266216029459299,24.817869586447245,-0.7944137184703219,-0.9195673712249913,-0.6745719212348024,1.0,2.9224259051513974,500,,-0.051880143423226555,0.1354158476533835,inconsistent
7,5,5,0.7142857142857143,2.1,200,41,0.0,1.0,0.3999579195217752,0.3935106665588485,0.3765744878334751,0.41119130619516325,0.33492516417426255,0.3354168996982039,0.33492516417426255,0.0004917355239413279,True,5,0.325,0.3349935025841555,0.3279152088870195,0.3432512680347559,1.0,0.015336059147736392,0.012500000000000011,True,False,0.325,0.35,0.024999999999999967,2,False,0.037768629727892654,0.0015660367819820768,24.117332467817423,-0.8102495100687069,-0.9350593551491696,-0.5949869846465627,1.0,3.094667288882578,500,,-0.06496441693761967,0.16242812997751574,inconsistent
7,5,5,0.7142857142857143,2.2,200,41,0.0,1.0,0.416590126627881,0.40985067475399223,0.392151363898418,0.4285179973152988,0.3397152842561887,0.33817023688677067,0.3397152842561887,0.0015450473694180178,True,5,0.325,0.3398668283366988,0.3311623541938328,0.3492674562787832,1.0,0.01810510208495042,0.012500000000000011,True,False,0.325,0.35,0.024999999999999967,2,False,0.037878076403696344,0.001598719616180791,23.692757642008505,-0.7362500763065659,-0.8712164970867172,-0.5594403318651843,1.0,3.206574105787599,500,,-0.07672329829118218,0.18416974716185544,inconsistent
7,5,5,0.7142857142857143,2.3,200,41,0.0,1.0,0.4330199517764401,0.42605006315681127,0.40735124815084517,0.44555699782140906,0.355793986769409,0.3558012707065339,0.355793986769409,7.283937124902273e-06,True,5,0.35,0.3558523048444686,0.3452330203619152,0.36631420715863705,1.0,0.02108118679672183,0.012500000000000011,True,False,0.35,0.375,0.025000000000000022,2,False,0.03828452867244815,0.0016486823907309147,23.221288034425704,-0.6455793658892587,-0.8278931170351782,-0.5179374779971141,1.0,3.3381042385920385,500,,-0.07716764693197148,0.17820806319753982,inconsistent
