L,N,nmax,W_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
7,5,5,2.1,0.3999579195217752,0.3935106665588485,0.3765744878334751,0.4111913061951632
7,5,5,2.2,0.416590126627881,0.4098506747539922,0.392151363898418,0.4285179973152988
7,5,5,2.3,0.4330199517764401,0.4260500631568112,0.4073512481508451,0.445556997821409
7,5,5,2.4,0.4492533712395831,0.4419664772477313,0.422508822608656,0.4621999394524242
7,5,5,2.5,0.4652962279969733,0.4577078183864896,0.4372692185063504,0.479127420058533
7,6,6,0.1,0.0184899588468008,0.0182018872712814,0.0174875885093539,0.0189511260975496
7,6,6,0.2,0.0369474113556483,0.0364373652090618,0.0350164031149061,0.0379562871622099
7,6,6,0.3,0.055340841562279,0.0545950898286653,0.0524649459312866,0.0568300297335465
7,6,6,0.4,0.0736405143638597,0.072661048200973,0.0698219817493493,0.0756640156832203
7,6,6,0.5,0.0918194959015558,0.0905875732125847,0.0869938783731405,0.0943479872539496
7,6,6,0.6,0.1098538038314133,0.1083351625000485,0.1041072296030746,0.1128534106332252
7,6,6,0.7,0.1277231512324117,0.1259644091383717,0.1210328439256544,0.1312468026299917
7,6,6,0.8,0.1454108507294114,0.1433854793128988,0.1377530115706093,0.1494621967960954
7,6,6,0.9,0.1629038620791948,0.1605430605237179,0.154339391530661,0.1674482301661403
7,6,6,1.0,0.1801925885982207,0.1776145886494649,0.1706625919181466,0.1851731917109688
7,6,6,1.1,0.1972705720191158,0.1944347508528379,0.1866827400600053,0.2027739826187171
7,6,6,1.2,0.2141339832688799,0.2109603757761252,0.2026775299241839,0.2201008460410251
7,6,6,1.3,0.2307815408802832,0.2273813398820653,0.2184107651354727,0.2371844918678889
7,6,6,1.4,0.2472137397801111,0.2435298185962323,0.2338371098013627,0.2541990274597811
7,6,6,1.5,0.2634327089339179,0.2594841969896012,0.2491101943140927,0.270979206298196
7,6,6,1.6,0.2794417757172145,0.2752881395105276,0.2640491926821582,0.2874433136721479
7,6,6,1.7,0.2952451848989456,0.2908286978482493,0.2788579686275518,0.3039004142781474
7,6,6,1.8,0.3108478060065222,0.3061838734837732,0.2934932811215496,0.3200836741602575
7,6,6,1.9,0.3262549628394946,0.3213933766988098,0.3079039015624819,0.3360093784034816
7,6,6,2.0,0.3414722616397165,0.3363163716955231,0.3221650593112322,0.3518805337478624
7,6,6,2.1,0.3565054205084624,0.3511604004974319,0.3361091715150633,0.3675401221028899
7,6,6,2.2,0.3713602262803963,0.3657447774669073,0.350045160086524,0.3829638945355987
7,6,6,2.3,0.3860423049780054,0.380227861534586,0.3636428921091988,0.3983175433202037
7,6,6,2.4,0.4005572659205896,0.3945276102562001,0.3772709482544387,0.4133559175355705
7,6,6,2.5,0.4149105590594554,0.4086409349297147,0.3904285897287676,0.4284263330603193
7,7,7,0.1,0.0167074273346495,0.0164337011269357,0.0157712736987565,0.0171098252763697
7,7,7,0.2,0.0333845737866188,0.0329491780318164,0.0316346564017813,0.0342872959524151
7,7,7,0.3,0.0500020647880445,0.0493843232495021,0.0474178754498218,0.0513817099929629
7,7,7,0.4,0.0665325285618224,0.0657063202455286,0.0630596218977176,0.0683707036689271
7,7,7,0.5,0.0829509969651889,0.0818841860712668,0.0786003402980683,0.0852041119784454
7,7,7,0.6,0.0992358107760681,0.0979898814173831,0.0940400931429457,0.1019811517417261
7,7,7,0.7,0.1153686627275682,0.113879950033433,0.1092486899471022,0.1185853026676944
7,7,7,0.8,0.1313348131867235,0.1296240425238234,0.124372124868116,0.1349509109339633
7,7,7,0.9,0.1471230293294735,0.1452214180221517,0.1392592773007541,0.1512399915995344
7,7,7,1.0,0.1627252375999614,0.160521706947455,0.1539664831807028,0.1672595336141545
7,7,7,1.1,0.1781363625439028,0.1757606075569842,0.1685128047633734,0.1830614627960588
7,7,7,1.2,0.1933537628136613,0.1907301010749236,0.1828374536375096,0.1987909297482962
7,7,7,1.3,0.2083769441252359,0.2055491463220787,0.1970610783036626,0.2142359222480857
7,7,7,1.4,0.2232071276060517,0.2201835724311967,0.2109171619715833,0.2295648290100915
7,7,7,1.5,0.2378468933027137,0.2345465548688945,0.2247072306458676,0.2446458586726513
7,7,7,1.6,0.2522998372487109,0.2488221479069977,0.2381791117189929,0.2594993936855133
7,7,7,1.7,0.2665703204400556,0.2627670269296547,0.251576931126975,0.2744136192268184
7,7,7,1.8,0.2806631686091092,0.2767315453443217,0.2647185122215549,0.2889685347534096
7,7,7,1.9,0.2945836419132408,0.2904177072033407,0.2777904205750331,0.3033750097601201
7,7,7,2.0,0.3083370495064272,0.3040150050496678,0.2905678001467824,0.317634705051841
7,7,7,2.1,0.3219288402251856,0.3174045857255515,0.3032345981691017,0.3317175848540962
7,7,7,2.2,0.3353644059273801,0.3306833388442746,0.3157088826809892,0.34578539753363
7,7,7,2.3,0.348649094039027,0.3437869549333853,0.328235149673122,0.3595197771470373
7,7,7,2.4,0.3617880238416828,0.356732953141027,0.3401467783151094,0.3733308146115159
7,7,7,2.5,0.3747862535417746,0.369561866400231,0.3522246481511453,0.3866640816144087
