U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file,epsilon,curve_file
2.0,10.0,7,7,2,periodic,0.9749649183484086,0.09119582245032837,68.89773169820195,67.17287135952803,0.011011011011011117,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_10/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W10_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W10_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,11.0,7,7,2,periodic,0.9310413487069076,0.09833509321305284,63.89565618823826,59.489497914010215,0.031031031031031085,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_11/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W11_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W11_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,12.0,7,7,2,periodic,0.9749649183484086,0.10531950269406132,59.65832677193109,58.16477568999847,0.011011011011011117,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_12/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W12_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W12_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,13.0,7,7,2,periodic,0.9310413487069076,0.11638593739820628,53.98577738547665,50.262990987965054,0.031031031031031085,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_13/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W13_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W13_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,14.0,7,7,2,periodic,1.069126339173477,0.1214935996233829,51.71618362330843,55.29113407321107,-0.029029029029029343,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_14/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W14_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W14_L7_N7_nmax2_boundaryperiodic_nreal300.txt
2.0,15.0,7,7,2,periodic,0.9310413487069076,0.13003182008068603,48.320367301486726,44.988259942389355,0.031031031031031085,300,300,150,pbs_bose_midpoint_L7/data/U_2/W_15/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W15_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U2_W15_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,0.5,7,7,2,periodic,0.2105345242766706,0.04071786680465169,154.31027704186562,32.48764076801042,0.6766766766766765,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W0.5_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,1.0,7,7,2,periodic,0.16527920614648955,0.040730152931570715,154.26372981549426,25.496586801101444,0.7817817817817816,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W1_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,2.0,7,7,2,periodic,0.13904108340900698,0.04222366882644214,148.80718520709894,20.690312250239792,0.8568568568568571,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_2/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W2_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W2_L7_N7_nmax2_boundaryperiodic_nreal300.txt
3.0,3.0,7,7,2,periodic,0.17916503273639015,0.04549000100555463,138.12233827852342,24.7466932592984,0.7467467467467466,300,300,150,pbs_bose_midpoint_L7/data/U_3/W_3/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W3_boundaryperiodic_nreal300.txt,0.03,results_multi_nmax_L7_allU/curves/SFF_U3_W3_L7_N7_nmax2_boundaryperiodic_nreal300.txt
