U,W,L,N,nmax,boundary,tau_Th,mean_spacing,t_H,t_Th,g,n_realizations_used,n_realizations_total,n_levels,file
3.0,2.0,9,9,2,periodic,0.059261518124755524,0.00617411695703798,1017.6654169171962,60.30839754957531,1.2272272272272273,300,300,100,pbs_bose_midpoint_L9/data/U_3/W_2/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W2_boundaryperiodic_nreal300.txt
3.0,3.0,9,9,2,periodic,0.05994842503189409,0.006294080885392014,998.268916715431,59.84464931538514,1.2222222222222223,299,299,100,pbs_bose_midpoint_L9/data/U_3/W_3/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W3_boundaryperiodic_nreal300.txt
3.0,4.0,9,9,2,periodic,0.1267952846786434,0.006959709724380017,902.7941618268144,114.47004275504818,0.8968968968968971,300,300,100,pbs_bose_midpoint_L9/data/U_3/W_4/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W4_boundaryperiodic_nreal300.txt
3.0,5.0,9,9,2,periodic,0.18979216428391013,0.007785347695044593,807.0526267155493,153.17226471535872,0.7217217217217217,297,297,100,pbs_bose_midpoint_L9/data/U_3/W_5/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W5_boundaryperiodic_nreal300.txt
3.0,6.0,9,9,2,periodic,0.4717084690917017,0.008912243737262635,705.0059998818485,332.5573009047312,0.3263263263263263,295,295,100,pbs_bose_midpoint_L9/data/U_3/W_6/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W6_boundaryperiodic_nreal300.txt
3.0,7.0,9,9,2,periodic,0.46096044868284336,0.009875241988094089,636.2563383008535,293.2890071804644,0.3363363363363363,289,289,100,pbs_bose_midpoint_L9/data/U_3/W_7/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W7_boundaryperiodic_nreal300.txt
3.0,8.0,9,9,2,periodic,0.5607234882852032,0.010992221575778251,571.6028615202597,320.511150425444,0.25125125125125125,290,290,100,pbs_bose_midpoint_L9/data/U_3/W_8/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W8_boundaryperiodic_nreal300.txt
3.0,9.0,9,9,2,periodic,0.6078323128297229,0.011993258590779059,523.8930904075039,318.43914881790425,0.21621621621621626,287,287,100,pbs_bose_midpoint_L9/data/U_3/W_9/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W9_boundaryperiodic_nreal300.txt
3.0,10.0,9,9,2,periodic,0.6513490946272803,0.013196490896670274,476.1254606529493,310.1238877252953,0.1861861861861862,289,289,100,pbs_bose_midpoint_L9/data/U_3/W_10/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W10_boundaryperiodic_nreal300.txt
3.0,11.0,9,9,2,periodic,0.658898955079995,0.01440508938321745,436.17815481934934,287.39733043918955,0.18118118118118123,290,290,100,pbs_bose_midpoint_L9/data/U_3/W_11/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W11_boundaryperiodic_nreal300.txt
3.0,12.0,9,9,2,periodic,0.7060717714137773,0.01528833770475861,410.9789715872052,290.18065048239043,0.15115115115115116,285,285,100,pbs_bose_midpoint_L9/data/U_3/W_12/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W12_boundaryperiodic_nreal300.txt
3.0,13.0,9,9,2,periodic,0.7479522515621821,0.016637688580549193,377.6477289354448,282.4624691546106,0.1261261261261261,280,280,100,pbs_bose_midpoint_L9/data/U_3/W_13/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W13_boundaryperiodic_nreal300.txt
3.0,14.0,9,9,2,periodic,0.7393819919175866,0.017143331783228404,366.5089952541505,270.9901509667271,0.13113113113113117,280,280,100,pbs_bose_midpoint_L9/data/U_3/W_14/L_9/N_9_nmax_2/boundary_periodic/energies_polfed_U3_L9_N9_nmax2_W14_boundaryperiodic_nreal300.txt
