U,W,L,N,nmax,boundary,g,n_realizations_used,source
2.0,0.5,7,7,2,periodic,0.7417417417417416,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,1.0,7,7,2,periodic,1.0620620620620622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,2.0,7,7,2,periodic,1.0970970970970972,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,3.0,7,7,2,periodic,0.7067067067067065,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,4.0,7,7,2,periodic,0.4464464464464464,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,5.0,7,7,2,periodic,0.2762762762762762,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,6.0,7,7,2,periodic,0.23623623623623624,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,7.0,7,7,2,periodic,0.14614614614614618,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,8.0,7,7,2,periodic,0.09109109109109112,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
2.0,9.0,7,7,2,periodic,0.10110110110110114,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/epsilon_scan_L7_allU/epsilon_0p03/thouless_summary.csv
