L,N,nmax,W_over_t,U_M_star_over_t,mixing_max,search_U_max_over_t,local_maxima,U_small_W_over_t,U_large_W_over_t,small_W_regime,large_W_regime,beta_eff
9,9,9,0.6212944772390209,0.09940423258465335,0.989568493882533,4.0,2,0.09933423917367595,0.37032655891088256,True,False,0.9786635299508362
9,9,9,0.683990378670679,0.10919176796383413,0.9874521716291046,4.0,2,0.10908035437046806,0.3885627011341341,True,False,0.9747789262886357
9,9,9,0.7,0.11168107021105454,0.986884516820413,4.0,2,0.11155651608088316,0.3930837885496576,True,False,0.9737428009719
9,9,9,0.75,0.11942837639614522,0.9850426331010141,4.0,2,0.11925490682840134,0.4068803766208967,True,False,0.9704460927444529
9,9,9,0.7530130320699326,0.11989391100271563,0.9849283608105777,4.0,2,0.11971706993180808,0.4076968531684148,True,False,0.9702410917036006
9,9,9,0.8290008809322168,0.13158290904884645,0.9819275779819213,4.0,2,0.13130320127182418,0.42777323607818185,True,False,0.9648815607445691
9,9,9,0.9,0.142412746493736,0.9789261068273424,4.0,2,0.14200009849177453,0.4457151209629255,True,False,0.9599162160441779
9,9,9,0.9126567951915167,0.1443338079021918,0.9783719569650764,4.0,2,0.14389311636207214,0.4488382485238583,True,False,0.9590027830636054
9,9,9,1.0,0.15751077084969692,0.9743989660518515,4.0,2,0.15683467714153015,0.4698249899401021,True,False,0.9526894425146679
9,9,9,1.004754572603832,0.1582240312599351,0.9741754940015557,4.0,2,0.15753281589859391,0.47094057399408157,True,False,0.9523413672078499
9,9,9,1.1,0.17242270043724495,0.9695523293351009,4.0,2,0.17137139997921658,0.4927566065406315,True,False,0.9453250059099219
9,9,9,1.1061460961965053,0.17333306490481126,0.9692447875768897,4.0,2,0.1722544575024503,0.49413129331843464,True,False,0.9448733148860599
9,9,9,1.21776921398815,0.18974239753633415,0.9634803729280187,4.0,2,0.1880687789992819,0.5184640027206858,True,False,0.9366351289691437
9,9,9,1.3,0.2016801695462527,0.9590338147351248,4.0,2,0.1994321358935539,0.5356829076271541,True,False,0.9307513630530551
9,9,9,1.3406564138647656,0.20753539665681553,0.9567787191126833,4.0,2,0.20495469113831216,0.5439949376853744,True,False,0.9278439211025331
9,9,9,1.475944373852617,0.22679753779648168,0.9490349036123362,4.0,2,0.22284506343124388,0.5707831029240082,True,False,0.9184279999850276
9,9,9,1.5,0.23018722859384966,0.9476229341926892,4.0,2,0.22594402158513113,0.5754157468807449,True,False,0.9167957987996189
9,9,9,1.6248844761256884,0.24761690746383128,0.9401459096247362,4.0,2,0.24160739736564021,0.5988904087412393,True,False,0.9085093182974653
9,9,9,1.7,0.2579672968051591,0.9355438133385857,4.0,2,0.25066877240429286,0.6125768408883647,True,False,0.9037273461446116
9,9,9,1.7888543819998324,0.2700849126146552,0.9300144139530807,4.0,2,0.2610176413846012,0.6283818141161767,True,False,0.8982449202969658
9,9,9,1.9,0.28505566539444427,0.9229886295552825,4.0,2,0.27336810370138365,0.6476090566284665,True,False,0.8916842036610397
9,9,9,1.9693707749796208,0.2942971961326647,0.9185528622538426,4.0,2,0.2807248147735863,0.659325476829509,True,False,0.887748681455939
9,9,9,2.0,0.2983531110860002,0.9165838777366544,4.0,2,0.2838837730761352,0.6644328727150953,False,False,0.8860495517779734
9,9,9,2.1,0.3114931063405044,0.9101180048038502,4.2,2,0.2938037308267482,0.6808410933996683,False,False,0.8806702323441762
