L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
6,6,4,0.5,1.8,200,0.37309985694936887,0.0008120326043564019
6,6,4,0.5,1.9,200,0.3496439049666612,0.0007541445733983455
6,6,4,0.5,2.0,200,0.3280394576189009,0.0006997775948801135
6,6,4,1.0,0.0,200,0.9452495559359206,0.0019102988458641157
6,6,4,1.0,0.1,200,0.9672422163479634,0.00136646121404219
6,6,4,1.0,0.2,200,0.974279576568849,0.0008116329003063164
6,6,4,1.0,0.3,200,0.9663488727458696,0.0005728626502972954
6,6,4,1.0,0.4,200,0.9452939065518681,0.0009038907701330057
6,6,4,1.0,0.5,200,0.9140478015977125,0.0013489766114571928
6,6,4,1.0,0.6,200,0.8757672415874912,0.0017295190045063615
6,6,4,1.0,0.7,200,0.8332424435386749,0.0020191747133786937
6,6,4,1.0,0.8,200,0.7886577736551342,0.002222309875212636
6,6,4,1.0,0.9,200,0.7435936068610134,0.002350682768887708
6,6,4,1.0,1.0,200,0.6991351882653598,0.0024168459611383928
6,6,4,1.0,1.1,200,0.6560008421089859,0.0024322560923675817
6,6,4,1.0,1.2,200,0.6146503929937218,0.002407011114263338
6,6,4,1.0,1.3,200,0.5753643654207073,0.0023500194761746076
6,6,4,1.0,1.4,200,0.5382978113914674,0.0022691570629704825
6,6,4,1.0,1.5,200,0.5035162044155562,0.002171319341101208
6,6,4,1.0,1.6,200,0.4710200172215555,0.002062410143312854
6,6,4,1.0,1.7,200,0.4407625072006912,0.001947328925473939
6,6,4,1.0,1.8,200,0.41266332924887733,0.0018299948190604951
6,6,4,1.0,1.9,200,0.38661931894219265,0.0017134169636608535
6,6,4,1.0,2.0,200,0.3625130947141417,0.0015998015937979968
6,6,4,1.5,0.0,200,0.8933862620750529,0.0034610463110610243
6,6,4,1.5,0.1,200,0.9239021972983441,0.002899168854571119
6,6,4,1.5,0.2,200,0.9421209755152711,0.002216851436473546
6,6,4,1.5,0.3,200,0.9470102286869152,0.0015408400140463536
6,6,4,1.5,0.4,200,0.939124145453885,0.0011219916505758368
6,6,4,1.5,0.5,200,0.9202529479334248,0.0012322401029998778
6,6,4,1.5,0.6,200,0.8928227442806719,0.0016587907532734636
6,6,4,1.5,0.7,200,0.8593296587795856,0.0021145711131810496
6,6,4,1.5,0.8,200,0.8219716314599599,0.0025060601085741658
6,6,4,1.5,0.9,200,0.7824962380861752,0.0028145499324538385
6,6,4,1.5,1.0,200,0.7421989519911817,0.0030428909850504244
6,6,4,1.5,1.1,200,0.7019946579899412,0.003199553906602763
6,6,4,1.5,1.2,200,0.6625091622380737,0.0032935669485544498
6,6,4,1.5,1.3,200,0.6241630619470698,0.003333175899562797
6,6,4,1.5,1.4,200,0.587237063233897,0.0033258412037427605
6,6,4,1.5,1.5,200,0.5519172870226958,0.0032785742751709175
6,6,4,1.5,1.6,200,0.5183239061975615,0.0031981953199381914
6,6,4,1.5,1.7,200,0.48652811786999195,0.0030913939094479037
6,6,4,1.5,1.8,200,0.45656215047507315,0.0029646210021924586
6,6,4,1.5,1.9,200,0.42842579433417727,0.0028238949641248992
6,6,4,1.5,2.0,200,0.4020915846088928,0.0026746038588580535
6,6,4,2.0,0.0,200,0.8383226584207025,0.004881221483048824
6,6,4,2.0,0.1,200,0.8732965202418538,0.004402345663500238
6,6,4,2.0,0.2,200,0.8984746072623375,0.003746163458577804
6,6,4,2.0,0.3,200,0.9124290009097645,0.00299017382532148
6,6,4,2.0,0.4,200,0.9149455502210067,0.0022628304547467684
6,6,4,2.0,0.5,200,0.9068916299037636,0.001755371890359298
6,6,4,2.0,0.6,200,0.8898688749540631,0.0016650981349751808
6,6,4,2.0,0.7,200,0.8658128137354576,0.0019438176099006224
6,6,4,2.0,0.8,200,0.8366541387071135,0.0023609968486858453
6,6,4,2.0,0.9,200,0.8040984086568698,0.002775091686407613
6,6,4,2.0,1.0,200,0.7695286945037685,0.003135451534334603
6,6,4,2.0,1.1,200,0.7339987543095478,0.0034295557007261966
6,6,4,2.0,1.2,200,0.6982740370230772,0.0036584461172125974
6,6,4,2.0,1.3,200,0.6628892395758723,0.003827247247390606
6,6,4,2.0,1.4,200,0.6282064291768917,0.0039415975475812085
6,6,4,2.0,1.5,200,0.5944665105480588,0.004006550316303285
6,6,4,2.0,1.6,200,0.561830433231054,0.004026531984344917
6,6,4,2.0,1.7,200,0.5304088283883387,0.00400567229020612
6,6,4,2.0,1.8,200,0.5002808710473491,0.003948164422225135
6,6,4,2.0,1.9,200,0.4715046078017446,0.0038585054729182388
6,6,4,2.0,2.0,200,0.44412148445899313,0.0037415723555096815
6,6,4,2.5,0.0,200,0.7849429262152003,0.006065358265912396
6,6,4,2.5,0.1,200,0.8217592847940435,0.005704526538040842
6,6,4,2.5,0.2,200,0.8507807030054658,0.005140851961970378
6,6,4,2.5,0.3,200,0.8705172190247344,0.004424191294143453
6,6,4,2.5,0.4,200,0.8804032067413219,0.0036403088105104965
6,6,4,2.5,0.5,200,0.8807390339743496,0.0029051748649016893
6,6,4,2.5,0.6,200,0.8724790889705464,0.0023622420248551788
6,6,4,2.5,0.7,200,0.8569760741480335,0.002146235220239513
6,6,4,2.5,0.8,200,0.8357428272080111,0.002265032011914346
6,6,4,2.5,0.9,200,0.8102604975386276,0.002579482860980252
6,6,4,2.5,1.0,200,0.7818477814611002,0.002952574149140059
6,6,4,2.5,1.1,200,0.751595726193161,0.0033121606029464204
6,6,4,2.5,1.2,200,0.7203583303564701,0.003629502580824899
6,6,4,2.5,1.3,200,0.6887766773473644,0.0038961473139890756
6,6,4,2.5,1.4,200,0.657314655181172,0.004112060807292363
6,6,4,2.5,1.5,200,0.6262947500426056,0.004280165513315005
6,6,4,2.5,1.6,200,0.5959312840283687,0.004403915287429944
6,6,4,2.5,1.7,200,0.5663608526537502,0.004486391251690257
6,6,4,2.5,1.8,200,0.5376687761641906,0.004530156745513638
6,6,4,2.5,1.9,200,0.5099099429375975,0.004537428374014862
6,6,4,2.5,2.0,200,0.48312330495973127,0.004510328297177547
6,6,4,3.0,0.0,200,0.7353189074295006,0.007012832702406641
6,6,4,3.0,0.1,200,0.7724515491201678,0.006772147808763077
6,6,4,3.0,0.2,200,0.803301177671523,0.006321216949800606
6,6,4,3.0,0.3,200,0.8264473225060843,0.005691719201520343
6,6,4,3.0,0.4,200,0.8412038699296747,0.004945314040650223
6,6,4,3.0,0.5,200,0.847578598320276,0.00416470809423643
6,6,4,3.0,0.6,200,0.8461148621366789,0.003447053079713019
6,6,4,3.0,0.7,200,0.8377136111671258,0.0028986240894570002
6,6,4,3.0,0.8,200,0.8234760524384244,0.002611829598834774
6,6,4,3.0,0.9,200,0.8045730624122007,0.002607059606216574
6,6,4,3.0,1.0,200,0.7821408469474112,0.0028075354779511707
6,6,4,3.0,1.1,200,0.7572032451872645,0.0031068478513742387
6,6,4,3.0,1.2,200,0.7306243960134663,0.0034298277280422535
6,6,4,3.0,1.3,200,0.7030951160523226,0.003737276843535979
6,6,4,3.0,1.4,200,0.6751467767738152,0.004012093460929658
6,6,4,3.0,1.5,200,0.6471774727907663,0.004248465171216492
6,6,4,3.0,1.6,200,0.6194773381733586,0.004445858898124473
6,6,4,3.0,1.7,200,0.5922488600360686,0.004605834332768273
6,6,4,3.0,1.8,200,0.5656243002604807,0.004730422305296972
6,6,4,3.0,1.9,200,0.5396827143863351,0.004821460083253507
6,6,4,3.0,2.0,200,0.5144666329023603,0.004880470440139185
6,6,4,3.5,0.0,200,0.6900688837712705,0.007756590069338391
6,6,4,3.5,0.1,200,0.7266751873314586,0.0076250820494431866
6,6,4,3.5,0.2,200,0.7581285409236187,0.00728538562634131
6,6,4,3.5,0.3,200,0.7831129374808999,0.006757063253436009
6,6,4,3.5,0.4,200,0.8009249721261119,0.006085979853314579
6,6,4,3.5,0.5,200,0.8114393068522833,0.005335342715565423
6,6,4,3.5,0.6,200,0.8149691278741171,0.004577861684510573
6,6,4,3.5,0.7,200,0.8121200156358352,0.003891300836540131
6,6,4,3.5,0.8,200,0.803676429637841,0.003354031777785662
6,6,4,3.5,0.9,200,0.7905162838749917,0.003030611602403744
6,6,4,3.5,1.0,200,0.7735431955817872,0.002941205492069074
6,6,4,3.5,1.1,200,0.753631907583992,0.0030436045081816848
6,6,4,3.5,1.2,200,0.73158342890104,0.0032623171458989377
6,6,4,3.5,1.3,200,0.7080897371971246,0.003530990337507899
6,6,4,3.5,1.4,200,0.6837149130024506,0.00380752942357428
6,6,4,3.5,1.5,200,0.6588981513107137,0.004069471646627009
6,6,4,3.5,1.6,200,0.6339731523722008,0.004306258812727023
6,6,4,3.5,1.7,200,0.6091912268669997,0.00451388910445028
6,6,4,3.5,1.8,200,0.5847388463406485,0.004691720243208002
6,6,4,3.5,1.9,200,0.5607484197579964,0.004840513116559631
6,6,4,3.5,2.0,200,0.5373060661530562,0.004961308366528642
6,6,4,4.0,0.0,200,0.649143132428207,0.00833473289926192
6,6,4,4.0,0.1,200,0.6847812682602649,0.008297727217498881
6,6,4,4.0,0.2,200,0.7161200135939876,0.008059085117788623
6,6,4,4.0,0.3,200,0.7419459808694989,0.00763019429879312
6,6,4,4.0,0.4,200,0.7615755781056629,0.00704614835680983
6,6,4,4.0,0.5,200,0.7748286580463559,0.006357283520803944
6,6,4,4.0,0.6,200,0.781898737284435,0.005621252620459437
6,6,4,4.0,0.7,200,0.7832164501947131,0.004898398005943996
6,6,4,4.0,0.8,200,0.7793535613794017,0.004249444656350665
6,6,4,4.0,0.9,200,0.7709635759111362,0.0037322671775048676
6,6,4,4.0,1.0,200,0.7587397230582138,0.0033928866633013617
6,6,4,4.0,1.1,200,0.743380656707606,0.003248474376667621
6,6,4,4.0,1.2,200,0.7255629691127463,0.0032753683842060392
6,6,4,4.0,1.3,200,0.7059174549059903,0.0034212919689411083
6,6,4,4.0,1.4,200,0.6850047045880625,0.003632066805858898
6,6,4,4.0,1.5,200,0.6632937336714876,0.003867786024155297
6,6,4,4.0,1.6,200,0.6411538764759587,0.00410406869162826
6,6,4,4.0,1.7,200,0.6188643549610997,0.004327508962938489
6,6,4,4.0,1.8,200,0.5966346607815929,0.004531438076612447
6,6,4,4.0,1.9,200,0.5746244260553285,0.004713190342710738
6,6,4,4.0,2.0,200,0.5529558651531427,0.004872297731417072
6,6,4,4.5,0.0,200,0.6122188182879632,0.008781256492268083
6,6,4,4.5,0.1,200,0.6466752854546601,0.00882425957028414
6,6,4,4.5,0.2,200,0.6774899014481488,0.008674032011460551
6,6,4,4.5,0.3,200,0.7035398676946774,0.008336324068420003
6,6,4,4.5,0.4,200,0.7241698664130121,0.007838663866398303
6,6,4,4.5,0.5,200,0.7391776249147496,0.007222506372891293
6,6,4,4.5,0.6,200,0.7486955036254648,0.0065354401935429785
6,6,4,4.5,0.7,200,0.7530568141426329,0.0058264447123594085
6,6,4,4.5,0.8,200,0.7527020220185894,0.005144009477058158
6,6,4,4.5,0.9,200,0.7481296762345638,0.00453501237962009
6,6,4,4.5,1.0,200,0.7398716660221126,0.004042354736324468
6,6,4,4.5,1.1,200,0.7284744553394372,0.0036994350848947397
6,6,4,4.5,1.2,200,0.7144811928408521,0.003520409148539185
6,6,4,4.5,1.3,200,0.6984179501035868,0.0034920213727526956
6,6,4,4.5,1.4,200,0.6807832828970619,0.003578071729156805
6,6,4,4.5,1.5,200,0.6620342596822512,0.0037356296213542878
6,6,4,4.5,1.6,200,0.6425671485626004,0.003929031700763382
6,6,4,4.5,1.7,200,0.622701526371856,0.004134170517036984
6,6,4,4.5,1.8,200,0.6026782093310349,0.004336465127480653
6,6,4,4.5,1.9,200,0.5826722744278799,0.00452763597342961
6,6,4,4.5,2.0,200,0.5628130370677492,0.0047034335831851815
6,6,4,5.0,0.0,200,0.5788864495360981,0.00912399523200294
6,6,4,5.0,0.1,200,0.6120759455489868,0.00923407953244567
6,6,4,5.0,0.2,200,0.6421414588334713,0.009159843973092921
6,6,4,5.0,0.3,200,0.6680385148208734,0.008903058131201331
