L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,U_S_candidate_over_t,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
6,6,4,1.0,0.5,200,21,0.0,2.0,0.09656388702334841,0.10089484556915486,0.09636865955504427,0.10580169251946218,0.3388871305351179,0.3,0.3386509479696781,0.32778433145169467,0.34912650514506327,1.0,0.021342173693368605,0.049999999999999996,True,False,0.3,0.4,0.10000000000000003,2,False,0.00543567346494035,0.00044223220899594943,12.291446336035957,-0.12656018179250275,-0.14306746235055812,-0.1118530695362136,1.0,11.91424499514103,500,,0.2420870609463297,2.5070144586018466,inconsistent
6,6,4,1.0,1.0,200,21,0.0,2.0,0.18959745988166068,0.19950642008191904,0.19080894290810196,0.20887932394035444,0.17430492595207445,0.2,0.17780325843199518,0.14996825066332892,0.217982582345784,1.0,0.06801433168245508,0.049999999999999996,True,False,0.1,0.3,0.19999999999999998,3,False,0.000833115793852735,0.0002730631040355693,3.051000964759461,-0.067708918748582,-0.10941614696287177,-0.03139137562928158,1.0,193.36942915925755,500,,-0.011794201449665503,0.06220653724489232,consistent
6,6,4,1.0,1.5,200,21,0.0,2.0,0.2773963323741866,0.2918036620417332,0.2783901262103158,0.30607826102306845,0.24698140814590516,0.3,0.24584170419807747,0.19840746568323278,0.2657507857777346,1.0,0.06734332009450181,0.049999999999999996,True,False,0.2,0.3,0.09999999999999998,2,False,0.0022346234030952068,0.0006214375418823315,3.5958937986374986,-0.15593754014502112,-0.1842214292146846,-0.06625799826855079,1.0,139.20626832042637,500,,-0.03155462817610913,0.11375286726410042,consistent
6,6,4,1.0,2.0,200,21,0.0,2.0,0.35992651408326426,0.3781458602599637,0.3596539283207959,0.397670566490155,0.29220003853515997,0.3,0.29255784180124944,0.25502178919299257,0.32200310415224687,1.0,0.0669813149592543,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.005847092450414256,0.001199761412282215,4.873546015529684,-0.18701563380829814,-0.2408162869377395,-0.13248764055641282,1.0,75.78484437740931,500,,-0.06736867228201482,0.1871734080319239,consistent
6,6,4,1.0,2.5,200,21,0.0,2.0,0.4378213223978653,0.45887377165195,0.4354837899810264,0.4845658028119898,0.2897860690266708,0.3,0.2896901921656349,0.22365631016675036,0.3500879182063833,0.9995,0.12643160803963294,0.049999999999999996,True,False,0.3,0.3,0.0,1,False,0.007733519461107289,0.001987051878281459,3.891956493755853,-0.1833576822526519,-0.31439057470499887,-0.09148058927315524,0.9995,118.83286048811034,500,,-0.1481311302322304,0.33833694855459295,inconsistent
6,6,4,1.0,3.0,200,21,0.0,2.0,0.5117706506490798,0.5356929894289322,0.507591068832529,0.5667460282118915,0.28887813403691653,0.3,,0.18872262521851002,0.3716530971583692,0.9725,0.18293047193985917,0.049999999999999996,False,False,0.3,0.3,0.0,1,False,0.00434253206256675,0.0022998578242935798,1.8881741369819651,-0.15581165095366067,-0.28263227928528806,-0.05751977861747458,0.9725,504.8802890571361,500,low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,4,1.0,3.5,200,21,0.0,2.0,0.5823381359152616,0.6100665235911595,0.5751885934495846,0.6453497776930464,0.2654023870067375,0.3,,0.13711967380869955,0.3548321939997085,0.9585,0.21771252019100895,0.049999999999999996,False,False,0.2,0.3,0.09999999999999998,2,False,0.0035657803416390167,0.0023029809073231546,1.5483325677170565,-0.15566290503928357,-0.316522633079301,-0.04606031662892336,0.9585,750.8341328436894,500,low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,4,1.0,4.0,200,21,0.0,2.0,0.6499525340849793,0.6803816759400749,0.6385754203109955,0.722971135487866,0.26166783987373826,0.2,,0.10407532426628932,0.3530684864188085,0.9525,0.24899316215251918,0.049999999999999996,False,False,0.1,0.4,0.30000000000000004,4,False,0.00308119308980988,0.00219581313319707,1.4032127976772368,-0.0823348985315619,-0.36385100715761776,-0.04249733224153491,0.9525,914.1667713493424,500,wide_plateau;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,4,1.0,4.5,200,21,0.0,2.0,0.714940117279243,0.7469156073285469,0.7009095217864159,0.7975415601123308,0.15117817753231383,0.2,,0.056056908612554676,0.3500296030413882,0.6675,0.2939726944288335,0.049999999999999996,False,False,0.0,0.2,0.2,2,True,0.0011438600706740701,0.002279100972739306,0.5018909141613139,-0.054636980888406496,-0.32001452243971884,-0.01921756498991294,0.6675,7145.8490498042265,500,plateau_includes_U0;low_peak_significance;realization_limit_exceeded,,,unresolved
6,6,4,1.0,5.0,200,21,0.0,2.0,0.7775561846085528,0.8134117698527092,0.7580770454417569,0.8693143509733529,0.0,0.0,,0.059680086272686075,0.32510119482142225,0.374,0.2654211085487362,0.049999999999999996,False,True,0.0,0.3,0.3,4,True,0.0,0.0,,0.11178539211397394,-0.37099936102516684,-0.03994697301038877,0.374,,500,local_fit_rejected;scan_boundary;plateau_includes_U0;wide_plateau;low_peak_significance;low_bootstrap_valid_fraction,,,unresolved
