L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,5,2,0.625,4.0,fock_entropy_normalized,1.0,0.746557105563714
8,5,2,0.625,4.0,pr_normalized,1.0,0.126542200649478
8,5,2,0.625,4.0,Nres_mean_l1.0,1.0,1.818023809524022
8,5,2,0.625,4.0,Nres_mean_l2.0,1.0,3.43272222222234
8,5,2,0.625,4.0,fres_l1.0,1.0,0.27141113744078177
8,5,2,0.625,4.0,fres_l2.0,1.0,0.5124680094786679
8,6,2,0.75,4.0,onsite_pair_density,10.0,0.427846977616732
8,6,2,0.75,4.0,onsite_pair_variance,1.0,1.64571498605592
8,6,2,0.75,4.0,charge_fluctuation,2.0,0.5243825462026939
8,6,2,0.75,4.0,fock_entropy_normalized,1.0,0.7788736248887781
8,6,2,0.75,4.0,pr_normalized,1.0,0.1362903772682088
8,6,2,0.75,4.0,Nres_mean_l1.0,1.0,2.0235816326531757
8,6,2,0.75,4.0,Nres_mean_l2.0,1.0,3.8128367346938403
8,6,2,0.75,4.0,fres_l1.0,1.0,0.2785266853932668
8,6,2,0.75,4.0,fres_l2.0,1.0,0.52480056179779
8,7,2,0.875,4.0,onsite_pair_density,5.0,0.5281755158743159
8,7,2,0.875,4.0,onsite_pair_variance,1.0,1.7471007933938398
8,7,2,0.875,4.0,charge_fluctuation,2.0,0.5691077943573759
8,7,2,0.875,4.0,fock_entropy_normalized,1.0,0.80076866881133
8,7,2,0.875,4.0,pr_normalized,1.0,0.14698631178785657
8,7,2,0.875,4.0,Nres_mean_l1.0,1.0,2.186704724409716
8,7,2,0.875,4.0,Nres_mean_l2.0,1.0,4.113484251968633
8,7,2,0.875,4.0,fres_l1.0,1.0,0.287486024844741
8,7,2,0.875,4.0,fres_l2.0,1.0,0.540799689441064
8,8,2,1.0,4.0,onsite_pair_density,10.0,0.6586774442901319
8,8,2,1.0,4.0,onsite_pair_variance,1.0,1.79445942429962
8,8,2,1.0,4.0,charge_fluctuation,2.0,0.593172871661394
8,8,2,1.0,4.0,fock_entropy_normalized,1.0,0.813788544082354
8,8,2,1.0,4.0,pr_normalized,1.0,0.159233248154178
8,8,2,1.0,4.0,Nres_mean_l1.0,1.0,2.327056910569088
8,8,2,1.0,4.0,Nres_mean_l2.0,1.0,4.331327913278879
8,8,2,1.0,4.0,fres_l1.0,1.0,0.3015042134831064
8,8,2,1.0,4.0,fres_l2.0,1.0,0.5611867977527161
8,4,2,0.5,5.0,onsite_pair_density,10.0,0.23909426462071598
8,4,2,0.5,5.0,onsite_pair_variance,1.0,1.1577869952558781
8,4,2,0.5,5.0,charge_fluctuation,1.0,0.31630519150268005
8,4,2,0.5,5.0,fock_entropy_normalized,1.0,0.627248648543652
8,4,2,0.5,5.0,pr_normalized,1.0,0.0831962230887346
8,4,2,0.5,5.0,Nres_mean_l1.0,1.0,1.303578947368366
8,4,2,0.5,5.0,Nres_mean_l2.0,1.0,2.46487218045098
8,4,2,0.5,5.0,fres_l1.0,1.0,0.2211428571428574
8,4,2,0.5,5.0,fres_l2.0,1.0,0.41814795918365805
8,5,2,0.625,5.0,onsite_pair_density,4.0,0.306469746523684
8,5,2,0.625,5.0,onsite_pair_variance,1.0,1.397045330760394
8,5,2,0.625,5.0,charge_fluctuation,2.0,0.40369815089567396
8,5,2,0.625,5.0,fock_entropy_normalized,1.0,0.662965502539126
8,5,2,0.625,5.0,pr_normalized,1.0,0.07910182316288591
8,5,2,0.625,5.0,Nres_mean_l1.0,1.0,1.460825396825308
8,5,2,0.625,5.0,Nres_mean_l2.0,1.0,2.832206349206448
