L,N,nmax,W_over_t,U_M_star_over_t,mixing_max,search_U_max_over_t,local_maxima,U_small_W_over_t,U_large_W_over_t,small_W_regime,large_W_regime,beta_eff
7,7,7,1.475944373852617,0.23434241179548773,0.9490266307344949,4.0,2,0.2302996148603069,0.5799628390813735,True,False,0.9188807787449544
7,7,7,1.6248844761256884,0.2558678498807439,0.9401131023563071,4.0,2,0.2497192972705239,0.6085221864011906,True,False,0.9090547255208552
7,7,7,1.7888543819998324,0.2791010751401189,0.9299471091302889,4.0,2,0.26982149662299126,0.6384878933433344,True,False,0.8988748447191481
7,7,7,1.9693707749796208,0.3041419057655828,0.9184389316947362,4.0,2,0.29024811760846975,0.6699292138499613,True,False,0.8884847015208521
7,7,7,2.0,0.30833704950642726,0.9164611853372581,4.0,2,0.2935244390946179,0.6751187504759456,False,False,0.8868012383421044
7,7,7,2.168103389728117,0.33109556480499336,0.9055127124770717,4.336206779456234,2,0.31046218780709256,0.7029188121634296,False,False,0.8779728682289001
7,7,7,2.3868904567242772,0.3600736911514564,0.8911104699973815,4.7737809134485545,2,0.3296820867821854,0.7375329307611076,False,False,0.8674935788454228
7,7,7,2.627755705467474,0.3911951068180976,0.8751956280892809,5.255511410934948,2,0.3467931846978759,0.7738515665598641,False,False,0.8571271425803797
7,7,7,2.8929270835048237,0.4245861194711583,0.8577558207897797,5.7858541670096475,2,0.3602292773913647,0.8119586557974676,False,False,0.8469170748720636
7,7,7,3.0,0.43782757745043593,0.8507677875358243,6.0,2,0.36392573653019644,0.8268482272257123,False,False,0.8431167370988346
7,7,7,3.18485736442798,0.4603808182481027,0.8388047889837489,6.36971472885596,2,0.36781365355298906,0.851942268018178,False,False,0.8369587352021273
7,7,7,3.506246835458556,0.4987204975989644,0.818383251590598,7.012493670917112,2,0.3665462248467872,0.8938948096108473,False,False,0.8272321859096428
7,7,7,3.860068274477082,0.5397532220827349,0.7965587045572775,7.720136548954164,2,0.3523186060288472,0.9379132373699338,False,False,0.8176853864240634
7,7,7,4.0,0.5556657650032572,0.7881367680551755,8.0,2,0.3426939274316983,0.9547620931354597,False,False,0.8141996201436621
7,7,7,4.249594447527195,0.5836325256544561,0.773424169758744,8.49918889505439,2,0.31953296855482716,0.9840992825729847,False,False,0.8083378251034883
7,7,7,4.67842838114059,0.6305161207415982,0.7490959791257198,9.35685676228118,2,0.26059239965125813,1.0325596860924617,False,False,0.799106325550087
7,7,7,5.0,0.6647748824771159,0.731647026564123,10.0,2,0.1992846429544315,1.0674564712954366,False,False,0.7927543330733808
7,7,7,5.150536689494692,0.6805640598160542,0.7237107334476224,10.301073378989384,2,0.16521970130522723,1.0834064450852707,False,False,0.7899238458797953
7,7,7,5.6702862646715335,0.73393705499271,0.697421617044019,11.340572529343067,2,0.019547155361809287,1.1367570718301292,False,False,0.7807318988448557
7,7,7,6.0,0.7669311983325444,0.6816106791156398,12.0,2,-0.09684648574629606,1.1693399769667527,False,False,0.7752991750057081
7,7,7,6.242484669394137,0.790794275099409,0.6703942761022136,12.484969338788273,2,-0.1950994453095356,1.1927348653109628,False,False,0.7714598419630245
7,7,7,6.872424605863914,0.8512917831786913,0.6428024783745008,13.744849211727828,2,-0.5038248546250887,1.2514691961739992,False,False,0.7620532020122699
7,7,7,7.0,0.8632936438831075,0.6374740718692243,14.0,2,-0.5762438275151769,1.2630315298339576,False,False,0.7602333094286211
7,7,7,7.56593287202541,0.9155808353919811,0.6148237652806042,15.13186574405082,2,-0.9403331082466004,1.3130958057171167,False,False,0.7524462852821651
7,7,7,8.0,0.9546815119536648,0.5984812988041657,16.0,2,-1.269451751196903,1.3502375009518912,False,False,0.7467882131196137
7,7,7,8.3294242580925,0.9838069066323479,0.5866352863195985,16.658848516185,2,-1.5498232030186314,1.3777571196024512,False,False,0.7426407479531012
7,7,7,9.0,1.0417136607463795,0.5638975348482467,18.0,2,-2.207014625636167,1.4321431397031894,False,False,0.7345901350687787
7,7,7,9.169960881866357,1.0561094844013035,0.5584099737027398,18.339921763732715,2,-2.3928549400901753,1.445602577017278,False,False,0.732622824192431
7,7,7,10.0,1.1248817062507641,0.5330754916952796,20.0,2,-3.4194768196776595,1.509611418948933,False,False,0.7234215755566336
7,7,7,10.095317511683094,1.1326226855801629,0.5303131768740297,20.190635023366188,2,-3.550509481552916,1.5167889760438997,False,False,0.7224053130276422
7,7,7,11.114053481213176,1.2134764055300151,0.5024998368187654,22.228106962426352,2,-5.131277692847432,1.5914808360367256,False,False,0.7120165928455342
7,7,7,12.0,1.2811773031207336,0.4806101707805966,24.0,2,-6.791276641946103,1.6536964544514245,False,False,0.703678822298917
7,7,7,12.235591861307682,1.2987990650969723,0.47511224268946356,24.471183722615365,2,-7.280254148150348,1.669850777844029,False,False,0.7015583456785843
7,7,7,13.470306621212796,1.3887202154048763,0.44827838063955594,26.94061324242559,2,-10.191407893380338,1.7520799227531283,False,False,0.6910781942273212
7,7,7,14.829618585373169,1.483373278800036,0.42211085753460004,29.659237170746337,2,-14.12395887646982,1.838358311080978,False,False,0.680652025520728
7,7,7,16.0,1.5616001101416048,0.4019704479724032,32.0,2,-18.177620350876204,1.9095241862709194,False,False,0.6724858675488896
7,7,7,16.326101073402686,1.582898358266086,0.3967063601913556,32.65220214680537,2,-19.424232963179534,1.9288853413776001,False,False,0.6703412140371953
7,7,7,17.97359620036734,1.6874446131694274,0.37214559375743655,35.94719240073468,2,-26.554827474859668,2.0238702312573764,False,False,0.6602796577889887
7,7,7,19.787342913131276,1.797172154573919,0.34849363090046065,39.57468582626255,2,-36.13353166160538,2.123532500923259,False,False,0.6504503869872478
7,7,7,21.784117947071937,1.9122531545392387,0.32580059680406637,43.568235894143875,2,-48.98526376376559,2.2281024805013434,False,False,0.6409262904846047
7,7,7,23.98239100698168,2.032872918980916,0.3041026134156961,47.96478201396336,2,-66.21137677176236,2.337821842358347,False,False,0.6316417330377817
7,7,7,24.0,2.0338155466864625,0.30394085366680235,48.0,2,-66.3632226475203,2.3386799539335055,False,False,0.6315729878603853
7,7,7,26.402495607542527,2.159230724078434,0.28342292931172125,52.80499121508505,2,-89.28214000904563,2.4529441596321937,False,True,0.6229236772656841
7,7,7,29.06681715360941,2.2915402974260135,0.2637731679082669,58.13363430721882,2,-120.16014511243242,2.5737354922665667,False,True,0.6144862037321115
7,7,7,32.0,2.430030481306703,0.24515463536490054,64.0,2,-161.4649754896116,2.7004750019037824,False,True,0.6103639930038628
