L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
6,6,5,1.1,0.4,200,0.9373943651249524,0.0009186512309033908
6,6,5,1.1,0.425,200,0.9299978708420572,0.001030555383668374
6,6,5,1.1,0.45,200,0.9220189068299328,0.001144840063751653
6,6,5,1.1,0.475,200,0.9135147078593708,0.0012582694796238118
6,6,5,1.1,0.5,200,0.9045406724559357,0.0013688062102854514
6,6,5,1.1,0.525,200,0.895149876026152,0.0014751690676110985
6,6,5,1.1,0.55,200,0.8853927159139688,0.0015765635432064588
6,6,5,1.1,0.575,200,0.8753166727084288,0.0016725164776721913
6,6,5,1.1,0.6,200,0.8649661709698386,0.0017627720010858592
6,6,5,1.1,0.625,200,0.8543825225983869,0.00184722387009354
6,6,5,1.1,0.65,200,0.8436039369770783,0.0019258700050314224
6,6,5,1.1,0.675,200,0.8326655834656224,0.001998781027613369
6,6,5,1.1,0.7,200,0.8215996935487112,0.002066077947906929
6,6,5,1.1,0.725,200,0.8104356917588256,0.0021279160424580333
6,6,5,1.1,0.75,200,0.7992003462661462,0.0021844730590611138
6,6,5,1.1,0.775,200,0.7879179316713085,0.00223594053202672
6,6,5,1.1,0.8,200,0.7766103980042159,0.00228251738716449
6,6,5,1.1,0.825,200,0.7652975412059384,0.0023244052639616835
6,6,5,1.1,0.85,200,0.7539971714521414,0.002361805143032423
6,6,5,1.1,0.875,200,0.7427252765787202,0.002394914973947087
6,6,5,1.1,0.9,200,0.731496178612715,0.0024239280720618323
6,6,5,1.1,0.925,200,0.7203226820158366,0.002449032105010336
6,6,5,1.1,0.95,200,0.7092162127352392,0.002470408527512473
6,6,5,1.1,0.975,200,0.6981869475459714,0.002488232351754733
6,6,5,1.1,1.0,200,0.6872439334786401,0.00250267216277556
6,6,5,1.2,0.0,200,0.9273414901079126,0.0024689435650377092
6,6,5,1.2,0.025,200,0.9352395131687712,0.0023320613615223904
6,6,5,1.2,0.05,200,0.9422379704782535,0.0021861465131312956
6,6,5,1.2,0.075,200,0.9482901222591977,0.0020325341286379786
6,6,5,1.2,0.1,200,0.9533584960936201,0.0018728834092348195
6,6,5,1.2,0.125,200,0.9574157302954027,0.0017092177194369532
6,6,5,1.2,0.15,200,0.9604450825051432,0.0015439969553266157
6,6,5,1.2,0.175,200,0.9624405847113908,0.0013802483873981068
6,6,5,1.2,0.2,200,0.9634068496433605,0.0012217934737168952
6,6,5,1.2,0.225,200,0.963358555391533,0.001073610146389369
6,6,5,1.2,0.25,200,0.9623196531154801,0.0009423157307498208
6,6,5,1.2,0.275,200,0.9603223554314562,0.0008365082981495308
6,6,5,1.2,0.3,200,0.9574059699688304,0.0007660839922873506
6,6,5,1.2,0.325,200,0.953615643810836,0.0007391861594790376
6,6,5,1.2,0.35,200,0.9490010808374663,0.0007574693860588825
6,6,5,1.2,0.375,200,0.9436152864933547,0.0008144096872224718
6,6,5,1.2,0.4,200,0.9375133845139126,0.0008990851225887727
6,6,5,1.2,0.425,200,0.9307515389557366,0.0010009863136388446
6,6,5,1.2,0.45,200,0.9233860036409653,0.0011121382237297426
6,6,5,1.2,0.475,200,0.9154723107463536,0.0012270923694626952
6,6,5,1.2,0.5,200,0.907064601366611,0.0013422715180063482
6,6,5,1.2,0.525,200,0.8982150937930706,0.0014553549844857295
6,6,5,1.2,0.55,200,0.8889736800585197,0.0015648452119486752
6,6,5,1.2,0.575,200,0.8793876379003116,0.0016697867142042248
6,6,5,1.2,0.6,200,0.8695014434526798,0.0017695868480319037
6,6,5,1.2,0.625,200,0.8593566693956077,0.0018639002816124126
6,6,5,1.2,0.65,200,0.84899195364604,0.0019525528584313483
6,6,5,1.2,0.675,200,0.8384430246819307,0.0020354901248528447
6,6,5,1.2,0.7,200,0.8277427709864079,0.002112741656512757
6,6,5,1.2,0.725,200,0.8169213436847517,0.00218439578772555
6,6,5,1.2,0.75,200,0.8060062830695293,0.002250581391006376
6,6,5,1.2,0.775,200,0.7950226612647486,0.0023114545698082033
6,6,5,1.2,0.8,200,0.7839932347037312,0.0023671888645424477
