L,N,nmax,filling,U,threshold,Wstar,Wstar_bootstrap_std,bootstrap_valid,bootstrap_total
6,7,2,1.1666666666666667,1.0,0.45849718055994526,6.868144432541753,0.12056982856231961,500,500
6,7,2,1.1666666666666667,2.0,0.45849718055994526,7.462286850623465,0.14081134958162989,500,500
6,7,2,1.1666666666666667,3.0,0.45849718055994526,7.881980965991903,0.17363182827194953,500,500
6,7,2,1.1666666666666667,4.0,0.45849718055994526,7.7718017421261525,0.14537089785069865,500,500
6,7,2,1.1666666666666667,5.0,0.45849718055994526,6.93700802668305,0.24905210720359783,500,500
6,7,2,1.1666666666666667,6.0,0.45849718055994526,5.547990276010637,0.15890316148825961,500,500
6,7,2,1.1666666666666667,7.0,0.45849718055994526,4.418884144936153,0.1533196805259748,500,500
6,7,2,1.1666666666666667,8.0,0.45849718055994526,3.9736324285338784,0.11623424339427985,500,500
6,7,2,1.1666666666666667,9.0,0.45849718055994526,4.009618382515829,0.10036261287030657,500,500
6,7,2,1.1666666666666667,10.0,0.45849718055994526,3.8306587552571365,0.10204802442822761,500,500
6,8,2,1.3333333333333333,1.0,0.45849718055994526,7.296363834194938,0.21610230593585844,500,500
6,8,2,1.3333333333333333,2.0,0.45849718055994526,7.624589986086278,0.08747800734265035,500,500
6,8,2,1.3333333333333333,3.0,0.45849718055994526,8.016199858492616,0.14106540259874376,500,500
6,8,2,1.3333333333333333,4.0,0.45849718055994526,8.045709547467967,0.19788172526638673,500,500
6,8,2,1.3333333333333333,5.0,0.45849718055994526,7.223998198262935,0.2480622532465431,500,500
6,8,2,1.3333333333333333,6.0,0.45849718055994526,6.4416683364262965,0.33334541499028414,500,500
6,8,2,1.3333333333333333,7.0,0.45849718055994526,5.011051278153828,0.13841200056993597,500,500
6,8,2,1.3333333333333333,8.0,0.45849718055994526,5.178390921613303,0.1423850489922156,500,500
6,8,2,1.3333333333333333,9.0,0.45849718055994526,4.498035754155127,0.09381910143952198,500,500
6,8,2,1.3333333333333333,10.0,0.45849718055994526,4.488185414066506,0.07347204678552191,500,500
6,9,2,1.5,1.0,0.45849718055994526,7.043363773243455,0.331667363513026,500,500
6,9,2,1.5,2.0,0.45849718055994526,7.72690499018287,0.22484753264307883,500,500
6,9,2,1.5,3.0,0.45849718055994526,8.730673218325466,0.3048436409262179,500,500
6,9,2,1.5,4.0,0.45849718055994526,8.562891157800653,0.3159459444880654,500,500
6,9,2,1.5,5.0,0.45849718055994526,8.741078559355167,0.32441682988981796,500,500
6,9,2,1.5,6.0,0.45849718055994526,4.979415275777403,1.1042005036024054,500,500
6,9,2,1.5,7.0,0.45849718055994526,2.9610800263471546,0.25154938312280567,500,500
6,9,2,1.5,8.0,0.45849718055994526,2.618025842075614,0.12667271073457076,500,500
6,9,2,1.5,9.0,0.45849718055994526,3.2865457009489747,0.10633110672447173,500,500
6,9,2,1.5,10.0,0.45849718055994526,2.361709218600932,0.4603767109133189,423,500
