L,N,nmax,observable,Wmin,Wmax,n_points,intercept_b,slope_c,cov_bb,cov_bc,cov_cc,slope_ci_low,slope_ci_high,R2,RMSE,eta_to_M,eta_ci_low,eta_ci_high,bootstrap_valid
7,6,6,S2_existing,1.0,2.5,16,0.023021535981997666,0.1598713939005838,2.784102427174582e-06,-1.4876883198642803e-06,8.501076113510173e-07,0.15294653452263954,0.16673905806405528,0.9995345658614253,0.0015903050473947684,1.0245675696343066,1.0215939977390953,1.0276100790984957,1000
7,6,6,S2_existing,1.2,2.5,14,0.026536347149180396,0.15815680250682942,2.6088644846966846e-06,-1.3462759544459882e-06,7.277167321329666e-07,0.15117851418159994,0.16502321917114154,0.9996510073646533,0.0011912378551990719,1.0263604750405977,1.0231273852945908,1.0296543823188848,1000
7,6,6,S2_existing,1.4,2.5,12,0.030095022624011772,0.15647546197537193,2.385644360166606e-06,-1.186232002292787e-06,6.083241037398908e-07,0.1494928140317291,0.1634101065917983,0.9997516096884902,0.0008514220792043769,1.0281072615177502,1.02464428236508,1.0316595155442752,1000
7,6,6,M_graph_sum,0.8,2.5,4,-0.000892990613243466,0.00975175202967117,1.6619307083517826e-05,-7.0560743715026e-06,3.0025848389372764e-06,0.003422626000134611,0.013822696547180014,0.9406027641366519,0.00027397923456610877,0.06715616970976311,0.023768227570014303,0.09537212761515013,933
7,6,6,M_graph_sum,1.0,2.5,4,-0.000892990613243466,0.00975175202967117,1.6619307083517826e-05,-7.0560743715026e-06,3.0025848389372764e-06,0.003422626000134611,0.013822696547180014,0.9406027641366519,0.00027397923456610877,0.06715616970976311,0.023768227570014303,0.09537212761515013,933
7,6,6,M_graph_sum,1.2,2.5,4,-0.000892990613243466,0.00975175202967117,1.6619307083517826e-05,-7.0560743715026e-06,3.0025848389372764e-06,0.003422626000134611,0.013822696547180014,0.9406027641366519,0.00027397923456610877,0.06715616970976311,0.023768227570014303,0.09537212761515013,933
7,6,6,M_graph_sum,1.4,2.5,4,-0.000892990613243466,0.00975175202967117,1.6619307083517826e-05,-7.0560743715026e-06,3.0025848389372764e-06,0.003422626000134611,0.013822696547180014,0.9406027641366519,0.00027397923456610877,0.06715616970976311,0.023768227570014303,0.09537212761515013,933
7,6,6,S2_graph_sum,0.8,2.5,4,-0.0011548698003496127,0.009818374594689526,1.5860825049040403e-05,-6.734044962103875e-06,2.8655510477037765e-06,0.0038240351096405726,0.0136198791788472,0.9438851137357479,0.00026765421011557694,0.06761497098662693,0.026946152170606873,0.09481734019292998,934
7,6,6,S2_graph_sum,1.0,2.5,4,-0.0011548698003496127,0.009818374594689526,1.5860825049040403e-05,-6.734044962103875e-06,2.8655510477037765e-06,0.0038240351096405726,0.0136198791788472,0.9438851137357479,0.00026765421011557694,0.06761497098662693,0.026946152170606873,0.09481734019292998,934
7,6,6,S2_graph_sum,1.2,2.5,4,-0.0011548698003496127,0.009818374594689526,1.5860825049040403e-05,-6.734044962103875e-06,2.8655510477037765e-06,0.0038240351096405726,0.0136198791788472,0.9438851137357479,0.00026765421011557694,0.06761497098662693,0.026946152170606873,0.09481734019292998,934
7,6,6,S2_graph_sum,1.4,2.5,4,-0.0011548698003496127,0.009818374594689526,1.5860825049040403e-05,-6.734044962103875e-06,2.8655510477037765e-06,0.0038240351096405726,0.0136198791788472,0.9438851137357479,0.00026765421011557694,0.06761497098662693,0.026946152170606873,0.09481734019292998,934
7,7,7,M_existing,0.8,2.5,18,0.020407827490632368,0.14268442301096995,2.9534341790685355e-06,-1.6289135583720616e-06,9.8722033840731e-07,0.13672131054070824,0.14846356726992346,0.9992247457947445,0.002061947847079103,1.0,1.0,1.0,1000
7,7,7,M_existing,1.0,2.5,16,0.023901019180233244,0.14092309940499181,2.7959958973336355e-06,-1.4940436092622479e-06,8.537392052927131e-07,0.1349549128122976,0.14669367259226848,0.9993985111422767,0.0015936982574332639,1.0,1.0,1.0,1000
7,7,7,M_existing,1.2,2.5,14,0.02744442342128805,0.13919452693400067,2.5854997567507774e-06,-1.3342188423957988e-06,7.211993742679995e-07,0.13309041830593538,0.14506284476450831,0.9995535237897806,0.0011858915548323122,1.0,1.0,1.0,1000
7,7,7,M_existing,1.4,2.5,12,0.03100479015756338,0.13751236231118785,2.3319898340209595e-06,-1.1595529561430182e-06,5.946425416118042e-07,0.13129348394513585,0.14343124962594433,0.9996856337305523,0.0008417931428924413,1.0,1.0,1.0,1000
7,7,7,S2_existing,0.8,2.5,18,0.01774916560549971,0.14587552568981044,2.3235572683113304e-06,-1.2815162649739372e-06,7.766765242266284e-07,0.14000164408939686,0.15159016935179015,0.9994163644343481,0.0018289031952701453,1.0223647586155578,1.0200608951607264,1.0250501285398166,1000
7,7,7,S2_existing,1.0,2.5,16,0.020833088531987117,0.14432058083499952,2.2185041372116486e-06,-1.1854602259909571e-06,6.77405843423404e-07,0.13839044867454484,0.1501185607482875,0.9995448833348278,0.0014196064187600122,1.024108761759801,1.021602655294045,1.0270502545621543,1000
7,7,7,S2_existing,1.2,2.5,14,0.0239787701455307,0.14278604251071716,2.0668941585281444e-06,-1.0665981013325154e-06,5.765395142337921e-07,0.13680440266209237,0.14858235618028603,0.9996607721806496,0.0010603075274447007,1.025802132137131,1.0230782489688528,1.0289631084791162,1000
7,7,7,S2_existing,1.4,2.5,12,0.027152899270710504,0.14128637536045338,1.8792222158556955e-06,-9.344198863370859e-07,4.791896853010697e-07,0.13529406477151418,0.14708049791776506,0.9997600047463806,0.000755668164595926,1.0274449001226886,1.024490729576471,1.0307942202573985,1000
