L,N,nmax,filling,U,threshold,Wstar,Wstar_bootstrap_std,bootstrap_valid,bootstrap_total
6,8,2,1.3333333333333333,5.0,0.45849718055994526,7.223998198262935,0.22959567281609916,500,500
6,8,2,1.3333333333333333,6.0,0.45849718055994526,6.4416683364262965,0.3417320640339084,500,500
6,8,2,1.3333333333333333,7.0,0.45849718055994526,5.011051278153828,0.12664571630190596,500,500
6,8,2,1.3333333333333333,8.0,0.45849718055994526,5.178390921613303,0.15009144659403198,500,500
6,8,2,1.3333333333333333,9.0,0.45849718055994526,4.498035754155127,0.09292143416097728,500,500
6,8,2,1.3333333333333333,10.0,0.45849718055994526,4.488185414066506,0.07108440483128325,500,500
6,9,2,1.5,1.0,0.45849718055994526,7.043363773243455,0.3258594928166291,500,500
6,9,2,1.5,2.0,0.45849718055994526,7.72690499018287,0.24767173645191579,500,500
6,9,2,1.5,3.0,0.45849718055994526,8.730673218325466,0.2873760771289811,500,500
6,9,2,1.5,4.0,0.45849718055994526,8.562891157800653,0.3362676844193132,500,500
6,9,2,1.5,5.0,0.45849718055994526,8.741078559355167,0.3202122156243779,500,500
6,9,2,1.5,6.0,0.45849718055994526,4.979415275777403,1.106636412605601,500,500
6,9,2,1.5,7.0,0.45849718055994526,2.9610800263471546,0.26412366858613806,500,500
6,9,2,1.5,8.0,0.45849718055994526,2.618025842075614,0.11986774401347561,500,500
6,9,2,1.5,9.0,0.45849718055994526,3.2865457009489747,0.09507277101141948,500,500
6,9,2,1.5,10.0,0.45849718055994526,2.361709218600932,0.48071294497923456,419,500
