L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
6,6,6,4.0,1.0,300,0.7388471892878326,0.0025923190362109293
6,6,6,4.0,2.0,300,0.5206050712834629,0.0038401161441016167
6,6,6,4.0,3.0,300,0.3399085843943598,0.004273987951472854
6,6,6,4.0,4.0,300,0.20857496003754059,0.0031706162822526997
6,6,6,4.0,5.0,300,0.1272298288707399,0.001732288405890451
6,6,6,4.0,6.0,300,0.08293194960425868,0.0009317507148116516
6,6,6,4.0,7.0,300,0.05781666428602361,0.0005412827590058787
6,6,6,4.0,8.0,300,0.042465091698357896,0.0003382432874623171
6,6,6,4.0,9.0,300,0.03245887725838742,0.00022419903976743166
6,6,6,4.0,10.0,300,0.025594392956294457,0.00015576461986106392
6,6,6,5.0,0.0,300,0.5919684573110703,0.007702784362674477
6,6,6,5.0,1.0,300,0.7068872802107495,0.003628881588588989
6,6,6,5.0,2.0,300,0.5359930133126686,0.003520759311102031
6,6,6,5.0,3.0,300,0.3750373531804735,0.004402322106431051
6,6,6,5.0,4.0,300,0.2525320973613824,0.004231722868960455
6,6,6,5.0,5.0,300,0.15960535993064115,0.0029874766300539454
6,6,6,5.0,6.0,300,0.10063745618792201,0.001645164861076766
6,6,6,5.0,7.0,300,0.06757177442976522,0.0009076961621055584
6,6,6,5.0,8.0,300,0.04826231541277366,0.0005406916795896266
6,6,6,5.0,9.0,300,0.03614908928492226,0.00034532959191662364
6,6,6,5.0,10.0,300,0.02807714098386995,0.00023318913365311927
6,6,6,6.0,0.0,300,0.5349335404936579,0.008078952017269889
6,6,6,6.0,1.0,300,0.6688425154611393,0.00472052312988079
6,6,6,6.0,2.0,300,0.5383618142975807,0.0032990540215539236
6,6,6,6.0,3.0,300,0.3948686352851721,0.004169554218339921
6,6,6,6.0,4.0,300,0.28445851615858414,0.004540209449403209
6,6,6,6.0,5.0,300,0.1957146278251608,0.004044443002958304
6,6,6,6.0,6.0,300,0.12659215297763468,0.002784014326067363
6,6,6,6.0,7.0,300,0.08192599101783171,0.0015473442498766844
6,6,6,6.0,8.0,300,0.05632233614654635,0.0008717223070077249
6,6,6,6.0,9.0,300,0.04102568572158978,0.0005300243544072747
6,6,6,6.0,10.0,300,0.031230301398273694,0.00034469942782355454
6,6,6,7.0,0.0,300,0.4874419770230645,0.008282042122635728
6,6,6,7.0,1.0,300,0.6298160252443862,0.005642548746210584
6,6,6,7.0,2.0,300,0.5328588563521109,0.0032729321939231875
6,6,6,7.0,3.0,300,0.4056427898793698,0.003931937146400643
6,6,6,7.0,4.0,300,0.3042436569452344,0.004461244450368776
6,6,6,7.0,5.0,300,0.22395170901428083,0.004447467731903848
6,6,6,7.0,6.0,300,0.15664492607826078,0.0038146347440768833
6,6,6,7.0,7.0,300,0.10321765975558671,0.002587420846407811
6,6,6,7.0,8.0,300,0.0682152564929889,0.0014508569434476617
6,6,6,7.0,9.0,300,0.047809086881216496,0.0008316520872414034
6,6,6,7.0,10.0,300,0.0353962709296078,0.0005143753113789771
6,6,6,8.0,0.0,300,0.44741345032549984,0.008375654117157108
6,6,6,8.0,1.0,300,0.5923213188802631,0.006363432303605037
6,6,6,8.0,2.0,300,0.522128500043984,0.0034446489448687802
6,6,6,8.0,3.0,300,0.40992155393752056,0.00374714668047794
6,6,6,8.0,4.0,300,0.31612947782249656,0.0042066578218871685
6,6,6,8.0,5.0,300,0.24318152810619562,0.00454006625213714
6,6,6,8.0,6.0,300,0.18135227339501614,0.0042613133409627624
6,6,6,8.0,7.0,300,0.12857914787284377,0.0035815587232292012
6,6,6,8.0,8.0,300,0.086017249949358,0.0024066165680583147
6,6,6,8.0,9.0,300,0.057838818814155306,0.0013602690062305255
6,6,6,8.0,10.0,300,0.04119271123223988,0.0007911963338779516
6,6,6,9.0,0.0,300,0.41327944820656054,0.00839854346973496
6,6,6,9.0,1.0,300,0.5574234669266419,0.00690806785503026
6,6,6,9.0,2.0,300,0.5081943979051584,0.0037664632773422423
6,6,6,9.0,3.0,300,0.41024749355325063,0.0036127103047274805
6,6,6,9.0,4.0,300,0.32375520861296747,0.004041311004478036
6,6,6,9.0,5.0,300,0.2552780525705312,0.004397858930164119
6,6,6,9.0,6.0,300,0.19928166418501045,0.00443664474472804
6,6,6,9.0,7.0,300,0.15021643717170227,0.0040546812712194714
6,6,6,9.0,8.0,300,0.10769614794669005,0.0033595736069851057
6,6,6,9.0,9.0,300,0.07296154504273943,0.002243519669152194
6,6,6,9.0,10.0,300,0.04977629198838089,0.0012770052883381668
6,6,6,10.0,0.0,300,0.3838612060727556,0.008374972166278612
6,6,6,10.0,1.0,300,0.5254321679947876,0.007312089832137917
6,6,6,10.0,2.0,300,0.4924219677029595,0.004146448003098507
6,6,6,10.0,3.0,300,0.4083018776432272,0.0035398011635121534
6,6,6,10.0,4.0,300,0.32769628196824496,0.003936078597989352
6,6,6,10.0,5.0,300,0.26279443121525875,0.004144200676923028
6,6,6,10.0,6.0,300,0.2118561273031944,0.004469958680512418
6,6,6,10.0,7.0,300,0.16649335887877523,0.004249846171104116
6,6,6,10.0,8.0,300,0.12676573469209293,0.0038538259967401257
6,6,6,10.0,9.0,300,0.0917042615452306,0.003153700918315255
6,6,6,10.0,10.0,300,0.06279656526289848,0.0020973978039595786
