L,nmax,U,W,N0,A,B,n_N
7,4,7.0,11.0,6.0,0.21684727771974535,-0.004227450731203994,3
7,4,7.0,12.0,6.0,0.21124687873132397,-0.00186687450472299,3
7,4,7.0,13.0,6.0,0.20492193332019468,-0.003051460806340986,3
7,4,7.0,14.0,6.0,0.1979987426309767,-0.0016989749269190058,3
7,4,7.0,15.0,6.0,0.19170453148409464,3.3826841724010626e-05,3
7,4,8.0,1.0,6.0,0.49494860053324535,-0.03929259063739601,3
7,4,8.0,2.0,6.0,0.404397166955452,-0.03073474305396401,3
7,4,8.0,3.0,6.0,0.3355401646025946,-0.023187943724728016,3
7,4,8.0,4.0,6.0,0.2901809824203527,-0.018656511991067992,3
7,4,8.0,5.0,6.0,0.257391461253752,-0.018072086294450992,3
7,4,8.0,6.0,6.0,0.2366858166203707,-0.014593230341579999,3
7,4,8.0,7.0,6.0,0.21974862719349667,-0.010838065230795002,3
7,4,8.0,8.0,6.0,0.21151072020224135,-0.011130970555145975,3
7,4,8.0,9.0,6.0,0.20489106348929198,-0.011516560136400997,3
7,4,8.0,10.0,6.0,0.20050635904875402,-0.009289262812232996,3
7,4,8.0,11.0,6.0,0.19655905739629867,-0.006986820529210999,3
7,4,8.0,12.0,6.0,0.190713784366262,-0.006734459016172006,3
7,4,8.0,13.0,6.0,0.1864900761255127,-0.002415397450813997,3
7,4,8.0,14.0,6.0,0.18158691498023335,-0.003420751531981986,3
7,4,8.0,15.0,6.0,0.17717343858020798,-0.0028277371016909997,3
7,4,9.0,1.0,6.0,0.4800700763264513,-0.04317185401751597,3
7,4,9.0,2.0,6.0,0.3906886868480066,-0.033748448659073005,3
7,4,9.0,3.0,6.0,0.32555102463686136,-0.029460323973300978,3
7,4,9.0,4.0,6.0,0.27898724816830933,-0.023691521003988997,3
7,4,9.0,5.0,6.0,0.24534184848233997,-0.01645468488489199,3
7,4,9.0,6.0,6.0,0.2213137300472847,-0.015396019291763999,3
7,4,9.0,7.0,6.0,0.20481088378942466,-0.012051251006979014,3
7,4,9.0,8.0,6.0,0.19098775284615135,-0.011726161453589998,3
7,4,9.0,9.0,6.0,0.18673836776357067,-0.009950767631884003,3
7,4,9.0,10.0,6.0,0.18166116861909598,-0.007544178938747995,3
7,4,9.0,11.0,6.0,0.17636273610634934,-0.00653147781176,3
7,4,9.0,12.0,6.0,0.1733141065620313,-0.005301894749312017,3
7,4,9.0,13.0,6.0,0.16955481224260935,-0.004020209770640007,3
7,4,9.0,14.0,6.0,0.16566361258484677,-0.004584343192984189,3
7,4,9.0,15.0,6.0,0.16170073184209205,-0.0032429581762590948,3
7,4,10.0,1.0,6.0,0.466536109699562,-0.04526735492173703,3
7,4,10.0,2.0,6.0,0.38188017517170736,-0.03765619119506297,3
7,4,10.0,3.0,6.0,0.315861652507068,-0.03147906856881,3
7,4,10.0,4.0,6.0,0.27144662460403407,-0.020767978600090026,3
7,4,10.0,5.0,6.0,0.23502380572901463,-0.019417021870492976,3
7,4,10.0,6.0,6.0,0.21108002500584866,-0.015796561849794,3
7,4,10.0,7.0,6.0,0.19440938194189802,-0.01426601774700599,3
7,4,10.0,8.0,6.0,0.18276020531977225,-0.0126178358650572,3
7,4,10.0,9.0,6.0,0.17129758303248588,-0.00904651656486019,3
7,4,10.0,10.0,6.0,0.16436200582119026,-0.007926919371570612,3
7,4,10.0,11.0,6.0,0.16125587739501138,-0.006671934079784891,3
7,4,10.0,12.0,6.0,0.15830590680329146,-0.00884304908070499,3
7,4,10.0,13.0,6.0,0.15643531864017055,-0.005817862608425997,3
7,4,10.0,14.0,6.0,0.1538862122037512,-0.0073079290697093124,3
7,4,10.0,15.0,6.0,0.1494928020063183,-0.0043919979192521,3
7,5,1.0,1.0,6.0,0.8666503512733247,0.009507589236445013,3
7,5,1.0,2.0,6.0,0.8529547869049853,0.011801598758044984,3
7,5,1.0,3.0,6.0,0.8199208671266126,0.017721589449542052,3
7,5,1.0,4.0,6.0,0.7634735833766673,0.025191241962305044,3
7,5,1.0,5.0,6.0,0.7024871548120767,0.026835332433921,3
7,5,1.0,6.0,6.0,0.6271653080573213,0.02930616916530493,3
7,5,1.0,7.0,6.0,0.5705298960444792,0.03598229043581502,3
7,5,1.0,8.0,6.0,0.5169152028251481,0.02886112965638707,3
7,5,1.0,9.0,6.0,0.47891536599320944,0.02858663841311898,3
7,5,1.0,10.0,6.0,0.43127768278193934,0.026560777211496994,3
7,5,1.0,11.0,6.0,0.39989523637037133,0.021753040331601997,3
7,5,1.0,12.0,6.0,0.3735553139902033,0.020285382205604996,3
7,5,1.0,13.0,6.0,0.3486219194499727,0.01708889416252299,3
7,5,1.0,14.0,6.0,0.3234597255593965,0.02036459390078202,3
7,5,1.0,15.0,6.0,0.30567615020194805,0.024457153245347085,3
7,5,2.0,1.0,6.0,0.7868791457794274,-0.0039424074836619805,3
7,5,2.0,2.0,6.0,0.7587338620798133,0.0026032078108839674,3
7,5,2.0,3.0,6.0,0.721266553691064,0.006568922260702992,3
7,5,2.0,4.0,6.0,0.6759544443114347,0.0075392857933999635,3
7,5,2.0,5.0,6.0,0.622283791183374,0.012752245135864038,3
