L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
7,7,5,1.0,10.0,0.414826491258491,1667,1,0.0,nan
7,7,5,2.0,10.0,0.33968874873823296,1667,1,0.0,nan
7,7,5,3.0,10.0,0.28372111631587704,1667,1,0.0,nan
7,7,5,4.0,10.0,0.243454100563315,1667,1,0.0,nan
7,7,5,5.0,10.0,0.211539599552028,1667,1,0.0,nan
7,7,5,6.0,10.0,0.19311037659236002,1667,1,0.0,nan
7,7,5,7.0,10.0,0.176311813389902,1667,1,0.0,nan
7,7,5,8.0,10.0,0.1663629341170895,1667,1,0.0,nan
7,7,5,9.0,10.0,0.1574676150719225,1667,1,0.0,nan
7,7,5,10.0,10.0,0.1540578080855554,1667,1,0.0,nan
7,7,5,11.0,10.0,0.1513769882924795,1667,1,0.0,nan
7,7,5,12.0,10.0,0.1505382573654186,1667,1,0.0,nan
7,7,5,13.0,10.0,0.14530419056477178,1667,1,0.0,nan
7,7,5,14.0,10.0,0.14442393008726867,1667,1,0.0,nan
7,7,5,15.0,10.0,0.14172482584307072,1667,1,0.0,nan
7,8,3,1.0,10.0,0.517089911408914,1554,0,nan,nan
7,8,3,2.0,10.0,0.440716519162128,1554,0,nan,nan
7,8,3,3.0,10.0,0.37415713269428497,1554,0,nan,nan
7,8,3,4.0,10.0,0.321619663847372,1554,0,nan,nan
7,8,3,5.0,10.0,0.287808323080438,1554,0,nan,nan
7,8,3,6.0,10.0,0.258364708485732,1554,0,nan,nan
7,8,3,7.0,10.0,0.24213597542891602,1554,0,nan,nan
7,8,3,8.0,10.0,0.22804009558638,1554,0,nan,nan
7,8,3,9.0,10.0,0.21649499775055,1554,0,nan,nan
7,8,3,10.0,10.0,0.21058163814156,1554,0,nan,nan
7,8,3,11.0,10.0,0.206969184483719,1554,0,nan,nan
7,8,3,12.0,10.0,0.204030216228409,1554,0,nan,nan
7,8,3,13.0,10.0,0.199815674268547,1554,0,nan,nan
7,8,3,14.0,10.0,0.197054454612754,1554,0,nan,nan
7,8,3,15.0,10.0,0.190816672212255,1554,0,nan,nan
7,9,3,1.0,10.0,0.518148009382361,1918,0,nan,nan
7,9,3,2.0,10.0,0.441006507304729,1918,0,nan,nan
7,9,3,3.0,10.0,0.379463554950468,1918,0,nan,nan
7,9,3,4.0,10.0,0.331158277013543,1918,0,nan,nan
7,9,3,5.0,10.0,0.297418746713517,1918,0,nan,nan
7,9,3,6.0,10.0,0.273864801967243,1918,0,nan,nan
7,9,3,7.0,10.0,0.25523249925631697,1918,0,nan,nan
7,9,3,8.0,10.0,0.24400228819813097,1918,0,nan,nan
7,9,3,9.0,10.0,0.22961497723597898,1918,0,nan,nan
7,9,3,10.0,10.0,0.223231912239778,1918,0,nan,nan
7,9,3,11.0,10.0,0.219001596943609,1918,0,nan,nan
7,9,3,12.0,10.0,0.218658592860914,1918,0,nan,nan
7,9,3,13.0,10.0,0.212798739814752,1918,0,nan,nan
7,9,3,14.0,10.0,0.20904259865931202,1918,0,nan,nan
7,9,3,15.0,10.0,0.204592382129105,1918,0,nan,nan
