L,N,nmax,W_over_t,U_over_t,observable,mean,stderr,n_disorder
7,6,6,0.4,0.49,S2_sum,3.812644557891636,0.01099818403248868,30
7,6,6,0.4,0.495,S2_sum,3.806428956203632,0.011287999955462966,30
7,6,6,0.4,0.5,S2_sum,3.7987290845027317,0.011444369903452099,30
7,6,6,0.4,0.505,S2_sum,3.7918018199473775,0.011376112559633557,30
7,6,6,0.4,0.51,S2_sum,3.786686552749718,0.011297928991658107,30
7,6,6,0.4,0.515,S2_sum,3.78121602561281,0.011227627543569046,30
7,6,6,0.4,0.52,S2_sum,3.775974719055233,0.010967298829389419,30
7,6,6,0.4,0.525,S2_sum,3.7694555921754263,0.010996339761638064,30
7,6,6,0.4,0.53,S2_sum,3.764584421798479,0.011088631139162386,30
7,6,6,0.4,0.535,S2_sum,3.758824683622215,0.010936984667171851,30
7,6,6,0.4,0.54,S2_sum,3.753189268229914,0.010819335959634002,30
7,6,6,0.4,0.545,S2_sum,3.747485854720135,0.010919540210718707,30
7,6,6,0.4,0.55,S2_sum,3.7422950288272676,0.010913861505679391,30
7,6,6,0.4,0.555,S2_sum,3.737322673851268,0.011082814777372395,30
7,6,6,0.4,0.56,S2_sum,3.732544014262374,0.010988878215713515,30
7,6,6,0.4,0.5650000000000001,S2_sum,3.7282280221259967,0.011105295322752456,30
7,6,6,0.4,0.5700000000000001,S2_sum,3.722349586940276,0.010985821163676331,30
7,6,6,0.4,0.5750000000000001,S2_sum,3.7174614026286017,0.01089196600752176,30
7,6,6,0.4,0.58,S2_sum,3.712803365064916,0.010771781625619604,30
7,6,6,0.4,0.585,S2_sum,3.7068152448569105,0.0108144766992913,30
7,6,6,0.4,0.59,S2_sum,3.700142387604493,0.010657307792114304,30
7,6,6,0.4,0.595,S2_sum,3.694521639993541,0.010621587015016011,30
7,6,6,0.4,0.6,S2_sum,3.6887644722879216,0.010719819828076904,30
7,6,6,0.4,0.0,Sstar,1.526776957106024,0.0025050934263038138,30
7,6,6,0.4,0.005,Sstar,1.5272658575883713,0.002451732155398283,30
7,6,6,0.4,0.01,Sstar,1.527241130380976,0.0024881509326265382,30
7,6,6,0.4,0.015,Sstar,1.5263627823833825,0.0026766519343356067,30
7,6,6,0.4,0.02,Sstar,1.5252309938558675,0.002769035131715492,30
7,6,6,0.4,0.025,Sstar,1.5251274370113512,0.002851983419637216,30
7,6,6,0.4,0.03,Sstar,1.525290793503409,0.002914023594708475,30
7,6,6,0.4,0.035,Sstar,1.52376514300087,0.0028883729695797725,30
7,6,6,0.4,0.04,Sstar,1.5222722505266948,0.0030676087731410662,30
7,6,6,0.4,0.045,Sstar,1.521161936753439,0.0031140494033803645,30
7,6,6,0.4,0.05,Sstar,1.5195981516679562,0.002939907249108605,30
7,6,6,0.4,0.055,Sstar,1.5179421403743483,0.0032904896922006195,30
7,6,6,0.4,0.06,Sstar,1.5169260544137735,0.0031885000816005813,30
7,6,6,0.4,0.065,Sstar,1.5163722829408133,0.003163320376395751,30
7,6,6,0.4,0.07,Sstar,1.5158921406801158,0.002922727679812779,30
7,6,6,0.4,0.075,Sstar,1.515277924265102,0.002819736503162831,30
7,6,6,0.4,0.08,Sstar,1.513189734220821,0.0028150286416452927,30
7,6,6,0.4,0.085,Sstar,1.5123130010000343,0.0028397031202107344,30
7,6,6,0.4,0.09,Sstar,1.511877626299988,0.002605629047058861,30
7,6,6,0.4,0.095,Sstar,1.510753819934058,0.002691729159929123,30
7,6,6,0.4,0.1,Sstar,1.5100001167432462,0.0025402960115333347,30
7,6,6,0.4,0.105,Sstar,1.508667936038826,0.0025346983709306037,30
7,6,6,0.4,0.11,Sstar,1.5082546277770328,0.0023848718973229184,30
7,6,6,0.4,0.115,Sstar,1.5072493776867784,0.0023508710992926323,30
7,6,6,0.4,0.12,Sstar,1.506525581076144,0.002490752872530218,30
7,6,6,0.4,0.125,Sstar,1.5065899013349493,0.0025634355385200603,30
7,6,6,0.4,0.13,Sstar,1.5059947240866,0.002453098584010769,30
7,6,6,0.4,0.135,Sstar,1.5056914550848046,0.002364338096090333,30
7,6,6,0.4,0.14,Sstar,1.5046378376417053,0.0020851492720275686,30
