L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,4,4,1.8000000000000003,S2_sum,0.06002753801082325,3.04647642680712,-23.990936814525863,0.065,ok,local_polynomial_smoothing_then_quadratic,0.014085456175991898,0.06920918342495913,196,30
7,4,4,1.8000000000000003,Sstar,0.21832940419517646,1.3627872647009804,-5.723994500520672,0.22,ok,local_polynomial_smoothing_then_quadratic,0.1963479901710384,0.22881449232198342,199,30
7,4,4,1.9000000000000001,M_sum,0.059574824436143536,4.130856718269764,-32.31691407211348,0.065,ok,local_polynomial_smoothing_then_quadratic,0.01614039889770125,0.07315751597885169,198,30
7,4,4,1.9000000000000001,S2_sum,0.06043968534127224,3.0103672120261935,-22.982886848136566,0.065,ok,local_polynomial_smoothing_then_quadratic,0.016394956314377887,0.13484437735353802,198,30
7,4,4,1.9000000000000001,Sstar,0.22457853879133344,1.356154990954754,-2.3163211403134665,0.23,wide_ci,local_polynomial_smoothing_then_quadratic,0.14042757944398981,0.3451770270526352,199,30
7,4,4,2.0,M_sum,0.06346678887482696,4.06953525003612,-35.27382409177606,0.065,ok,local_polynomial_smoothing_then_quadratic,0.01641072824696333,0.07037141223698075,197,30
7,4,4,2.0,S2_sum,0.06423470964030577,2.9748587051725393,-25.384141652522253,0.065,ok,local_polynomial_smoothing_then_quadratic,0.01641128484110336,0.07141333062510874,198,30
7,4,4,2.0,Sstar,0.22999539891322243,1.3505545351326347,-3.252725870587066,0.225,wide_ci,local_polynomial_smoothing_then_quadratic,0.13392228662838984,0.4265024714470472,200,30
7,4,4,2.1,M_sum,0.028567781582540287,4.008423821997016,-25.551229950231793,0.03,ok,local_polynomial_smoothing_then_quadratic,0.01728651012962742,0.07399602789695374,198,30
7,4,4,2.1,S2_sum,0.06784331156702357,2.9392217242511456,-25.76417162190762,0.07,ok,local_polynomial_smoothing_then_quadratic,0.016825791163189014,0.07640730421282435,199,30
7,4,4,2.1,Sstar,0.27829184891782455,1.3466198094123272,-1.1558236965900777,0.28500000000000003,wide_ci,local_polynomial_smoothing_then_quadratic,0.17453883051695837,0.36876660133140987,200,30
7,4,4,2.2,M_sum,0.07020658682305621,3.949219259678544,-29.312842584298462,0.07,ok,local_polynomial_smoothing_then_quadratic,0.015774722733005328,0.07772444365626521,194,30
7,4,4,2.2,S2_sum,0.07190773457570471,2.9043260135688214,-25.22205588928702,0.075,ok,local_polynomial_smoothing_then_quadratic,0.0172969305048044,0.08040703833149344,196,30
7,4,4,2.2,Sstar,0.29523662594180466,1.3439052598305727,-1.9519166239053107,0.3,wide_ci,local_polynomial_smoothing_then_quadratic,0.18632331409975908,0.39911004492277496,200,30
7,4,4,2.3000000000000003,M_sum,0.07382362386909934,3.891006452931724,-33.746805035687686,0.075,ok,local_polynomial_smoothing_then_quadratic,0.020252773162178914,0.08174367142952371,197,30
7,4,4,2.3000000000000003,S2_sum,0.074674988259527,2.869751058577278,-24.234826196647223,0.075,ok,local_polynomial_smoothing_then_quadratic,0.020457732059157102,0.08703733168127796,197,30
7,4,4,2.3000000000000003,Sstar,0.33109772434953644,1.341256155744088,-2.857411602170265,0.335,wide_ci,local_polynomial_smoothing_then_quadratic,0.16199728634740673,0.4197284920246274,200,30
7,4,4,2.4000000000000004,M_sum,0.07544957804457364,3.8341171414998954,-33.92446101377847,0.075,ok,local_polynomial_smoothing_then_quadratic,0.02194350245992649,0.08290169070361336,197,30
7,4,4,2.4000000000000004,S2_sum,0.07621373543646857,2.835764427326525,-24.071471245741215,0.075,ok,local_polynomial_smoothing_then_quadratic,0.022119913349497533,0.08540386828758004,199,30
7,4,4,2.4000000000000004,Sstar,0.36126478633319264,1.3388250347600419,-2.6039767765823925,0.365,wide_ci,local_polynomial_smoothing_then_quadratic,0.09859400685595707,0.48953206820985873,200,30
7,4,4,2.5000000000000004,M_sum,0.07954386486602305,3.7779654026928955,-28.703252408717358,0.08,ok,local_polynomial_smoothing_then_quadratic,0.020948210167870393,0.08730802580478163,195,30
7,4,4,2.5000000000000004,S2_sum,0.08041114117112524,2.8021019255225657,-20.729053319665425,0.08,ok,local_polynomial_smoothing_then_quadratic,0.021270639774753648,0.08868867362789755,196,30
7,4,4,2.5000000000000004,Sstar,0.2693452510172409,1.3383932316396463,-3.5278489005623475,0.27,wide_ci,local_polynomial_smoothing_then_quadratic,0.09436377759670021,0.4671071032029579,200,30
7,5,5,0.1,M_sum,nan,5.808998744265525,nan,0.0,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.1,S2_sum,nan,4.027776306275919,nan,0.0,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.1,Sstar,nan,1.4965212894713336,nan,0.0,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.2,M_sum,nan,5.797394777367282,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.2,S2_sum,nan,4.023537860047822,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.2,Sstar,nan,1.4952021362548682,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.30000000000000004,M_sum,nan,5.767802502633613,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.30000000000000004,S2_sum,nan,4.009165433775052,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.30000000000000004,Sstar,nan,1.4932117995774208,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.4,M_sum,0.011216398251601315,5.721394872026954,-119.91268517365845,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.010615639304905822,0.01738321234462614,81,30
7,5,5,0.4,S2_sum,0.011349118543850878,3.9850850982203725,-82.58860319701274,0.015,unstable_bootstrap,local_polynomial_smoothing_then_quadratic,0.010106094727700155,0.017552373148892894,88,30
7,5,5,0.4,Sstar,nan,1.4905937434085483,nan,0.005,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.5,M_sum,nan,5.669586350373994,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
7,5,5,0.5,S2_sum,nan,3.958903202935563,nan,0.01,boundary,local_polynomial_smoothing_then_quadratic,nan,nan,0,30
