L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
9,9,9,0.9,0.875,179,0.7080633627990881,0.0017472494364883689
9,9,9,0.9,0.9,179,0.6965656115909309,0.0017574366524061393
9,9,9,0.9,0.925,179,0.6851796434162121,0.0017651125317125899
9,9,9,0.9,0.95,179,0.673913328713762,0.0017704152637725503
9,9,9,0.9,0.975,179,0.6627735183248645,0.001773477677817426
9,9,9,0.9,1.0,179,0.6517661474553407,0.0017744275264473138
9,9,9,1.1,0.0,76,0.9487278588006983,0.0023808059954271137
9,9,9,1.1,0.025,76,0.9554875810859026,0.002208093454045032
9,9,9,1.1,0.05,76,0.9611546477940855,0.00202781538363953
9,9,9,1.1,0.075,76,0.9656868793922836,0.001842646087790814
9,9,9,1.1,0.1,76,0.9690571306516628,0.0016559233264874977
9,9,9,1.1,0.125,76,0.9712538415965363,0.0014718398886961683
9,9,9,1.1,0.15,76,0.9722808593312985,0.0012957760025034864
9,9,9,1.1,0.175,76,0.97215658809672,0.0011348080108756166
9,9,9,1.1,0.2,76,0.9709125841546661,0.0009982656176780117
9,9,9,1.1,0.225,76,0.9685917488035939,0.0008976577152900425
9,9,9,1.1,0.25,76,0.9652462849952995,0.00084437899488769
9,9,9,1.1,0.275,76,0.9609355738051025,0.0008443364951839553
9,9,9,1.1,0.3,76,0.9557241026897364,0.00089349669417363
9,9,9,1.1,0.325,76,0.9496795452391888,0.000980084874425424
9,9,9,1.1,0.35,76,0.9428710583449681,0.0010908570222169197
9,9,9,1.1,0.375,76,0.935367831947452,0.0012151082378534577
9,9,9,1.1,0.4,76,0.9272379013930886,0.0013453787022657518
9,9,9,1.1,0.425,76,0.9185472138442773,0.0014767722889000294
9,9,9,1.1,0.45,76,0.9093589278713673,0.001606139522836339
9,9,9,1.1,0.475,76,0.8997329183741649,0.0017314700167806992
9,9,9,1.1,0.5,76,0.8897254561222736,0.001851494799105221
9,9,9,1.1,0.525,76,0.8793890312714739,0.001965434282799368
9,9,9,1.1,0.55,76,0.8687722921688127,0.0020728377753903298
9,9,9,1.1,0.575,76,0.8579200737822305,0.0021734792341072165
9,9,9,1.1,0.6,76,0.8468734935819682,0.0022672878466366586
9,9,9,1.1,0.625,76,0.835670096253196,0.0023543006346401735
9,9,9,1.1,0.65,76,0.8243440319776256,0.00243462936109883
9,9,9,1.1,0.675,76,0.8129262560449575,0.0025084369946639525
9,9,9,1.1,0.7,76,0.8014447401805068,0.0025759207376592334
9,9,9,1.1,0.725,76,0.7899246881929812,0.002637299677591788
9,9,9,1.1,0.75,76,0.7783887503775205,0.0026928057688859856
9,9,9,1.1,0.775,76,0.7668572325925896,0.002742677258600187
9,9,9,1.1,0.8,76,0.7553482971116066,0.0027871539325059523
9,9,9,1.1,0.825,76,0.7438781532789853,0.00282647373163347
9,9,9,1.1,0.85,76,0.7324612367207508,0.0028608704071864345
9,9,9,1.1,0.875,76,0.721110376412347,0.002890571963597892
9,9,9,1.1,0.9,76,0.7098369493253678,0.002915799697819116
9,9,9,1.1,0.925,76,0.6986510226894064,0.002936767685531268
9,9,9,1.1,0.95,76,0.687561484138223,0.0029536825968761006
9,9,9,1.1,0.975,76,0.6765761601792776,0.0029667437487994916
9,9,9,1.1,1.0,76,0.6657019235464882,0.002976143320354069
9,9,9,1.3,0.0,105,0.9304909969344403,0.0031032741002810374
9,9,9,1.3,0.025,105,0.9381364717402847,0.002934646243146852
9,9,9,1.3,0.05,105,0.9447727142754611,0.0027541885050109613
9,9,9,1.3,0.075,105,0.9503516123774577,0.0025637417752710427
9,9,9,1.3,0.1,105,0.9548384155037225,0.002365574654450404
9,9,9,1.3,0.125,105,0.9582125364323625,0.00216240242655627
9,9,9,1.3,0.15,105,0.9604677060978629,0.0019574367503539503
9,9,9,1.3,0.175,105,0.9616115082969222,0.0017544955781081326
9,9,9,1.3,0.2,105,0.961664375903462,0.0015582119395522501
9,9,9,1.3,0.225,105,0.9606581682412089,0.0013743780293548294
9,9,9,1.3,0.25,105,0.9586344674543152,0.001210404959296153
9,9,9,1.3,0.275,105,0.9556427313926065,0.0010756531637056727
9,9,9,1.3,0.3,105,0.9517384258765963,0.000980844395123312
