L,N,nmax,W_over_t,U_over_t,quantity,k,mean,stderr,n_disorder
7,4,4,1.2,0.38,S2_k,-1,0.6124286971853498,0.00495396902318965,100
7,4,4,1.2,0.38,S2_k,0,1.244301594186778,0.007302636569997588,100
7,4,4,1.2,0.38,S2_k,1,0.36994219011689244,0.007745890891428608,100
7,4,4,1.2,0.38,S2_k,2,0.16008438006593476,0.0028514258388528937,100
7,4,4,1.2,0.38,S2_k,3,0.04096760763688198,0.0012590754344796022,100
7,4,4,1.2,0.385,S2_k,-3,0.03450947771943874,0.0014731962538542664,100
7,4,4,1.2,0.385,S2_k,-2,0.22639427260062603,0.004646222844998095,100
7,4,4,1.2,0.385,S2_k,-1,0.6118287404751253,0.004944670590362391,100
7,4,4,1.2,0.385,S2_k,0,1.2402158690402496,0.007192106411619141,100
7,4,4,1.2,0.385,S2_k,1,0.36594823656908276,0.0077192246774063205,100
7,4,4,1.2,0.385,S2_k,2,0.1593326197504205,0.0028643415716247027,100
7,4,4,1.2,0.385,S2_k,3,0.04116565681241057,0.0012654323343034828,100
7,4,4,1.2,0.39,S2_k,-3,0.034379781512985,0.0014632466411427225,100
7,4,4,1.2,0.39,S2_k,-2,0.22768476192591322,0.004625512939558129,100
7,4,4,1.2,0.39,S2_k,-1,0.6109732628358551,0.004938633040659119,100
7,4,4,1.2,0.39,S2_k,0,1.2372792790283862,0.007064544397310196,100
7,4,4,1.2,0.39,S2_k,1,0.36254482536497795,0.007811395670877218,100
7,4,4,1.2,0.39,S2_k,2,0.15811089055739028,0.002828883903252584,100
7,4,4,1.2,0.39,S2_k,3,0.04114391434786374,0.0012642375460045826,100
7,4,4,1.2,0.395,S2_k,-3,0.03413124733152049,0.001450671149848501,100
7,4,4,1.2,0.395,S2_k,-2,0.22870881427981857,0.00453098170942656,100
7,4,4,1.2,0.395,S2_k,-1,0.6104891989854645,0.004905726284178137,100
7,4,4,1.2,0.395,S2_k,0,1.2334241817720002,0.006980050023001066,100
7,4,4,1.2,0.395,S2_k,1,0.3591466563664018,0.007688115759228703,100
7,4,4,1.2,0.395,S2_k,2,0.15714636416358854,0.002826382448180844,100
7,4,4,1.2,0.395,S2_k,3,0.041348812569819315,0.0012784747321402587,100
7,4,4,1.2,0.4,S2_k,-3,0.034311779919215836,0.0014276821009134254,100
7,4,4,1.2,0.4,S2_k,-2,0.22922534488511082,0.004556634191555761,100
7,4,4,1.2,0.4,S2_k,-1,0.6101485115271426,0.004934271568395174,100
7,4,4,1.2,0.4,S2_k,0,1.229894726201312,0.006983834639845586,100
7,4,4,1.2,0.4,S2_k,1,0.3554204722375903,0.00769734652344128,100
7,4,4,1.2,0.4,S2_k,2,0.1565744834941622,0.00281460525144761,100
7,4,4,1.2,0.4,S2_k,3,0.04155713789084369,0.001287643539946626,100
7,4,4,1.2,0.405,S2_k,-3,0.03470391006237374,0.0014477742779071211,100
7,4,4,1.2,0.405,S2_k,-2,0.23076789238564369,0.004513742901748794,100
7,4,4,1.2,0.405,S2_k,-1,0.6092368078355325,0.0048886969731227825,100
7,4,4,1.2,0.405,S2_k,0,1.226051689775403,0.006967179310119387,100
7,4,4,1.2,0.405,S2_k,1,0.35066854467633773,0.007761389461106454,100
7,4,4,1.2,0.405,S2_k,2,0.15538209217747562,0.0027871266980593083,100
7,4,4,1.2,0.405,S2_k,3,0.04164083915482141,0.0012743059676978015,100
7,4,4,1.2,0.41000000000000003,S2_k,-3,0.03482029805835727,0.001449859225333541,100
7,4,4,1.2,0.41000000000000003,S2_k,-2,0.23068420796133754,0.004469663693527417,100
7,4,4,1.2,0.41000000000000003,S2_k,-1,0.6085352108219753,0.004870000898464696,100
7,4,4,1.2,0.41000000000000003,S2_k,0,1.224399680134857,0.006950816522893773,100
7,4,4,1.2,0.41000000000000003,S2_k,1,0.3488260624454656,0.007704666235846614,100
7,4,4,1.2,0.41000000000000003,S2_k,2,0.1549218571077661,0.002783472988869956,100
7,4,4,1.2,0.41000000000000003,S2_k,3,0.04144929025972146,0.0012685001014153025,100
7,4,4,1.2,0.41500000000000004,S2_k,-3,0.03518484375156057,0.001429259736833344,100
7,4,4,1.2,0.41500000000000004,S2_k,-2,0.2312068490260903,0.0044124227690212955,100
7,4,4,1.2,0.41500000000000004,S2_k,-1,0.6087389925358871,0.004835673515800855,100
7,4,4,1.2,0.41500000000000004,S2_k,0,1.2202700063459246,0.006806387396844628,100
7,4,4,1.2,0.41500000000000004,S2_k,1,0.3449727876516496,0.007749642120232316,100
7,4,4,1.2,0.41500000000000004,S2_k,2,0.1539577859003988,0.0027709264532257754,100
7,4,4,1.2,0.41500000000000004,S2_k,3,0.04153044160320005,0.001271565302499864,100
7,4,4,1.2,0.42,S2_k,-3,0.03525254135603564,0.0013927705802841775,100
7,4,4,1.2,0.42,S2_k,-2,0.23177529783023165,0.004404700177098097,100
7,4,4,1.2,0.42,S2_k,-1,0.6079838464546349,0.004844571596449384,100
7,4,4,1.2,0.42,S2_k,0,1.2173051343765988,0.006688672856155533,100
7,4,4,1.2,0.42,S2_k,1,0.34166689171028947,0.007649195217253641,100
7,4,4,1.2,0.42,S2_k,2,0.15311212539719335,0.0027609557912325134,100
7,4,4,1.2,0.42,S2_k,3,0.04150123684136482,0.0012601730139996064,100
7,4,4,1.2,0.425,S2_k,-3,0.035239282763814356,0.0013769769302082316,100
7,4,4,1.2,0.425,S2_k,-2,0.2328704227160757,0.004349208556625166,100
7,4,4,1.2,0.425,S2_k,-1,0.6082416521206984,0.004815457927389871,100
7,4,4,1.2,0.425,S2_k,0,1.2125477515374559,0.006510842398546742,100
7,4,4,1.2,0.425,S2_k,1,0.3364830970688355,0.0075383239846192555,100
7,4,4,1.2,0.425,S2_k,2,0.1522403226891815,0.002783261621137981,100
7,4,4,1.2,0.425,S2_k,3,0.04193895198815958,0.001240371772773217,100
