L,N,nmax,W_over_t,observable,U_peak,peak_value,curvature,grid_argmax,fit_window_spread,quality_flag,fit_method,U_peak_ci_low,U_peak_ci_high,bootstrap_valid,n_disorder
7,7,7,1.7,M_existing,0.26310195189162655,0.9341878299824936,-1.4438714584420407,0.265,3.388477399030032e-05,ok,local_smooth_quadratic_3_5_7_stability,0.24731063910700662,0.27946806988302364,500,100
7,7,7,1.7,S2_existing,0.26589370758141423,0.6590673987383162,-0.7644594012550456,0.265,2.863130620600618e-05,ok,local_smooth_quadratic_3_5_7_stability,0.2503446071291667,0.2820344342608342,500,100
7,7,7,1.7,Sstar,nan,0.9320220443853042,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.7,M_graph_sum,nan,2.237438522104087,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.7,S2_graph_sum,nan,1.6046612677382033,nan,0.01,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,1.7,M_graph_per_edge,0.02349279418673905,0.7868294159419688,-57.306837748739504,0.025,0.001249155640439776,ok,local_smooth_quadratic_3_5_7_stability,0.018654914956960384,0.03453145942320291,369,100
7,7,7,1.7,S2_graph_per_edge,0.024523979197029054,0.5631405059743878,-35.27303622309761,0.03,0.003570295592237354,ok,local_smooth_quadratic_3_5_7_stability,0.018749221057005713,0.03575628625637571,390,100
7,7,7,2.1,M_existing,0.3171067288474582,0.9083338675351114,-1.2651668412738766,0.315,3.661710245944638e-05,ok,local_smooth_quadratic_3_5_7_stability,0.2970252333422551,0.3380971363655666,500,100
7,7,7,2.1,S2_existing,0.3215455129853116,0.645111778892604,-0.6780984276740454,0.32,3.1553220283420114e-05,ok,local_smooth_quadratic_3_5_7_stability,0.3016346119145005,0.342059081061536,500,100
7,7,7,2.1,Sstar,0.02350539653941371,0.9164150986582629,-151.63036836102046,0.02,0.005245261058920245,ok,local_smooth_quadratic_3_5_7_stability,0.01935217184950265,0.03974192833458989,444,100
7,7,7,2.1,M_graph_sum,nan,2.1067622093524228,nan,0.015,nan,boundary,local_smooth_quadratic_3_5_7_stability,nan,nan,0,100
7,7,7,2.1,S2_graph_sum,0.0195385159508122,1.5279469888681543,-258.3633880543147,0.02,0.003708684145996219,unstable_bootstrap,local_smooth_quadratic_3_5_7_stability,0.017050212217062752,0.044107047481851236,302,100
7,7,7,2.1,M_graph_per_edge,0.02862813138399202,0.7501702743765293,-57.43094890695159,0.03,0.0011712961547488618,ok,local_smooth_quadratic_3_5_7_stability,0.021653585405747362,0.03954270187101735,442,100
7,7,7,2.1,S2_graph_per_edge,0.029095966197257447,0.5433217706217909,-40.84124063467905,0.03,0.0008505756070518525,ok,local_smooth_quadratic_3_5_7_stability,0.02112399705610467,0.040302304599626186,463,100
7,7,7,2.5,M_existing,0.3684222249606522,0.8817445733976556,-1.0936765586078772,0.37,3.8985292370508073e-05,ok,local_smooth_quadratic_3_5_7_stability,0.343529136812591,0.3940964597379077,500,100
7,7,7,2.5,S2_existing,0.3747749608392137,0.6304658104997599,-0.5976609505997964,0.375,3.360844536831609e-05,ok,local_smooth_quadratic_3_5_7_stability,0.3505737878254249,0.40000894395162134,500,100
7,7,7,2.5,Sstar,0.025587790958194585,0.9038409640683488,-43.81903990888249,0.02,0.003089863612374587,ok,local_smooth_quadratic_3_5_7_stability,0.0166141902896562,0.053423067478610246,368,100
7,7,7,2.5,M_graph_sum,0.015665462357435447,2.0162839056040385,-224.2621085136915,0.02,0.003749860832068505,unstable_bootstrap,local_smooth_quadratic_3_5_7_stability,0.014289184613982386,0.05229100572476513,225,100
7,7,7,2.5,S2_graph_sum,0.016164221344864997,1.4800180953142485,-156.59524207879835,0.02,0.003291555501410061,unstable_bootstrap,local_smooth_quadratic_3_5_7_stability,0.015237511298190032,0.05283834501152872,232,100
7,7,7,2.5,M_graph_per_edge,0.03719707458282032,0.7143928712477172,-52.60699806854354,0.04,0.0010693154438655497,ok,local_smooth_quadratic_3_5_7_stability,0.02416631288873682,0.04744772103261739,447,100
7,7,7,2.5,S2_graph_per_edge,0.03685794274710792,0.5231788474755856,-34.86061792541051,0.04,0.0012721148885500855,ok,local_smooth_quadratic_3_5_7_stability,0.025011870031319265,0.05132486066650019,465,100
