L,N,nmax,W_over_t,U_over_t,bin_left,bin_right,count,probability
7,7,7,1.7,0.56,0.1709966238307691,0.2564949357461537,25,0.0125
7,7,7,1.7,0.56,0.2564949357461537,0.3419932476615382,249,0.1245
7,7,7,1.7,0.56,0.3419932476615382,0.42749155957692275,171,0.0855
7,7,7,1.7,0.56,0.42749155957692275,0.5129898714923073,88,0.044
7,7,7,1.7,0.56,0.5129898714923073,0.5984881834076918,160,0.08
7,7,7,1.7,0.56,0.5984881834076918,0.6839864953230764,93,0.0465
7,7,7,1.7,0.56,0.6839864953230764,0.769484807238461,47,0.0235
7,7,7,1.7,0.56,0.769484807238461,0.8549831191538455,31,0.0155
7,7,7,1.7,0.56,0.8549831191538455,0.9404814310692301,122,0.061
7,7,7,1.7,0.56,0.9404814310692301,1.0259797429846147,90,0.045
7,7,7,1.7,0.56,1.0259797429846147,1.1114780548999992,13,0.0065
7,7,7,1.7,0.56,1.1114780548999992,1.1969763668153837,4,0.002
7,7,7,1.7,0.56,1.1969763668153837,1.2824746787307684,0,0.0
7,7,7,1.7,0.56,1.2824746787307684,1.3679729906461529,0,0.0
7,7,7,1.7,0.56,1.3679729906461529,1.4534713025615373,0,0.0
7,7,7,1.7,0.56,1.4534713025615373,1.538969614476922,0,0.0
7,7,7,1.7,0.56,1.538969614476922,1.6244679263923065,0,0.0
7,7,7,1.7,0.56,1.6244679263923065,1.709966238307691,0,0.0
7,7,7,1.7,0.56,1.709966238307691,1.7954645502230757,0,0.0
7,7,7,1.7,0.56,1.7954645502230757,1.8809628621384602,0,0.0
7,7,7,1.7,0.56,1.8809628621384602,1.9664611740538447,0,0.0
7,7,7,1.7,0.56,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,1.7,0.56,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,1.7,0.56,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,1.7,0.56,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,1.7,0.56,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,1.7,0.56,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,1.7,0.56,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,1.7,0.5650000000000001,0.0,0.08549831191538455,910,0.455
7,7,7,1.7,0.5650000000000001,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,1.7,0.5650000000000001,0.1709966238307691,0.2564949357461537,28,0.014
