L,N,nmax,W_over_t,predictor,estimate_over_t,ci95_low,ci95_high,mean_cov,mean_var,fraction_cov_negative,fraction_U_positive,fraction_U_negative,valid_states,total_states
4,4,4,0.5,U_pool,-0.000834208412857371,-0.002569230030046667,0.0008507290747257457,0.008786173015403005,10.532347648363052,0.493,0.493,0.507,1000.0,1000.0
4,4,4,0.5,U_edge_mean,0.00013681904862056896,-0.0014612068465430774,0.0016939444203091718,0.008786173015403005,10.532347648363052,0.493,0.493,0.507,1000.0,1000.0
4,4,4,0.5,U_edge_pool,-0.00012364868521221677,-0.0008134486796911283,0.0005545211854544616,0.008786173015403005,10.532347648363052,0.493,0.493,0.507,1000.0,1000.0
4,4,4,0.6,U_mean,-0.0007647618234311127,-0.0030462189663422474,0.0016433312181160485,0.01382921673938245,10.437129279307582,0.49,0.49,0.51,1000.0,1000.0
4,4,4,0.6,U_pool,-0.001325001958804893,-0.0036990992412381804,0.0010190741300052342,0.01382921673938245,10.437129279307582,0.49,0.49,0.51,1000.0,1000.0
4,4,4,0.6,U_edge_mean,-3.393849029404672e-05,-0.00175109582972798,0.0016770801744129156,0.01382921673938245,10.437129279307582,0.49,0.49,0.51,1000.0,1000.0
4,4,4,0.6,U_edge_pool,-0.0002670453502736438,-0.0010718518912255749,0.0005270428434144209,0.01382921673938245,10.437129279307582,0.49,0.49,0.51,1000.0,1000.0
4,4,4,0.7,U_mean,-0.0015620055275191963,-0.004640880617726933,0.0015311830094077942,0.02347797889451911,10.294830803333143,0.488,0.488,0.512,1000.0,1000.0
4,4,4,0.7,U_pool,-0.0022805599570337454,-0.005790954648184109,0.0009574464736437266,0.02347797889451911,10.294830803333143,0.488,0.488,0.512,1000.0,1000.0
4,4,4,0.7,U_edge_mean,-0.0003903619856221347,-0.002234302901716083,0.0014034459826042758,0.02347797889451911,10.294830803333143,0.488,0.488,0.512,1000.0,1000.0
4,4,4,0.7,U_edge_pool,-0.0005917448804425788,-0.0014950556536191513,0.0002544946069199846,0.02347797889451911,10.294830803333143,0.488,0.488,0.512,1000.0,1000.0
4,4,4,0.8,U_mean,-0.002087681467909551,-0.006085436288890554,0.0018363763694891253,0.029234801765230047,10.150708611881951,0.486,0.486,0.514,1000.0,1000.0
4,4,4,0.8,U_pool,-0.0028800749664914167,-0.007509741473428099,0.001421867899839923,0.029234801765230047,10.150708611881951,0.486,0.486,0.514,1000.0,1000.0
4,4,4,0.8,U_edge_mean,-0.00047294857669885344,-0.0025712632190435527,0.0015744231253521693,0.029234801765230047,10.150708611881951,0.486,0.486,0.514,1000.0,1000.0
4,4,4,0.8,U_edge_pool,-0.0007176824639020872,-0.0016981500980638932,0.00032128488015881196,0.029234801765230047,10.150708611881951,0.486,0.486,0.514,1000.0,1000.0
4,4,4,0.9,U_mean,-0.0030035509192611913,-0.008094071505427299,0.0019471914120602271,0.03891506079948157,10.016127534597807,0.487,0.487,0.513,1000.0,1000.0
4,4,4,0.9,U_pool,-0.0038852401454614856,-0.009817884213934557,0.00202722117255975,0.03891506079948157,10.016127534597807,0.487,0.487,0.513,1000.0,1000.0
4,4,4,0.9,U_edge_mean,-0.0009117255318952797,-0.0032563270248543753,0.0013048002985818626,0.03891506079948157,10.016127534597807,0.487,0.487,0.513,1000.0,1000.0
4,4,4,0.9,U_edge_pool,-0.0011317729660224106,-0.0023474441958660983,3.737228249377444e-05,0.03891506079948157,10.016127534597807,0.487,0.487,0.513,1000.0,1000.0
4,4,4,1.0,U_mean,-0.003514766368147149,-0.009433092886332413,0.0027669432750210498,0.044025417370883585,9.856055017893084,0.479,0.479,0.521,1000.0,1000.0
4,4,4,1.0,U_pool,-0.0044668396524733325,-0.011598776244343845,0.002798441394388046,0.044025417370883585,9.856055017893084,0.479,0.479,0.521,1000.0,1000.0
4,4,4,1.0,U_edge_mean,-0.0010696130497510798,-0.0035532963529818704,0.001394988455633156,0.044025417370883585,9.856055017893084,0.479,0.479,0.521,1000.0,1000.0
4,4,4,1.0,U_edge_pool,-0.00138437078621871,-0.002835576389716729,-1.4811632307870986e-05,0.044025417370883585,9.856055017893084,0.479,0.479,0.521,1000.0,1000.0
4,4,4,1.1,U_mean,-0.004377378216339041,-0.01151737470251161,0.0030813838349606154,0.0511768582216158,9.694165122829148,0.476,0.476,0.524,1000.0,1000.0
4,4,4,1.1,U_pool,-0.005279140346093087,-0.01362441100576914,0.003119387821528931,0.0511768582216158,9.694165122829148,0.476,0.476,0.524,1000.0,1000.0
4,4,4,1.1,U_edge_mean,-0.0010042276549708468,-0.00362636766543892,0.001557027245524115,0.0511768582216158,9.694165122829148,0.476,0.476,0.524,1000.0,1000.0
4,4,4,1.1,U_edge_pool,-0.00154108258860127,-0.0029675713011804656,-6.132246908734622e-05,0.0511768582216158,9.694165122829148,0.476,0.476,0.524,1000.0,1000.0
4,4,4,1.2,U_mean,-0.005094209028663638,-0.014056590771386832,0.0037236115082191702,0.05565951266910691,9.51754239354309,0.481,0.481,0.519,1000.0,1000.0
4,4,4,1.2,U_pool,-0.00584809716286292,-0.015648440062066858,0.00426756016283029,0.05565951266910691,9.51754239354309,0.481,0.481,0.519,1000.0,1000.0
4,4,4,1.2,U_edge_mean,-0.00044383438103889097,-0.0033100395379744413,0.002361085632602759,0.05565951266910691,9.51754239354309,0.481,0.481,0.519,1000.0,1000.0
4,4,4,1.2,U_edge_pool,-0.0013984998740713891,-0.0031026554649149023,0.00023094092900149355,0.05565951266910691,9.51754239354309,0.481,0.481,0.519,1000.0,1000.0
4,4,4,1.3,U_mean,-0.0040253140441881404,-0.014197760520153245,0.006457406054546529,0.04434494809637092,9.356249503474308,0.489,0.489,0.511,1000.0,1000.0
4,4,4,1.3,U_pool,-0.004739607262493809,-0.01567735474768199,0.006922309386738478,0.04434494809637092,9.356249503474308,0.489,0.489,0.511,1000.0,1000.0
4,4,4,1.3,U_edge_mean,9.290342923786471e-05,-0.0032928180708600855,0.003348996515457532,0.04434494809637092,9.356249503474308,0.489,0.489,0.511,1000.0,1000.0
4,4,4,1.3,U_edge_pool,-0.00101459051674445,-0.003199010182866377,0.0012243847105757768,0.04434494809637092,9.356249503474308,0.489,0.489,0.511,1000.0,1000.0
4,4,4,1.4,U_mean,-0.004681801463993621,-0.015875044680694773,0.007074143762031643,0.046557719274670145,9.201437803281943,0.491,0.491,0.509,1000.0,1000.0
4,4,4,1.4,U_pool,-0.005059830894913409,-0.017159499722719383,0.007774805699150803,0.046557719274670145,9.201437803281943,0.491,0.491,0.509,1000.0,1000.0
4,4,4,1.4,U_edge_mean,-0.000936272941140973,-0.004905481138483364,0.002565989570133715,0.046557719274670145,9.201437803281943,0.491,0.491,0.509,1000.0,1000.0
4,4,4,1.4,U_edge_pool,-0.0018924987738015563,-0.004545342214655667,0.0007469712586343565,0.046557719274670145,9.201437803281943,0.491,0.491,0.509,1000.0,1000.0
4,4,4,1.5,U_mean,-0.004929333849199025,-0.016596270690477713,0.007306598597432862,0.043335744717650566,9.04832431244613,0.498,0.498,0.502,1000.0,1000.0
4,4,4,1.5,U_pool,-0.004789366872940383,-0.01759207584361137,0.008436772951981102,0.043335744717650566,9.04832431244613,0.498,0.498,0.502,1000.0,1000.0
4,4,4,1.5,U_edge_mean,-0.0005756540634649236,-0.004753758559144938,0.0031997814241828213,0.043335744717650566,9.04832431244613,0.498,0.498,0.502,1000.0,1000.0
4,4,4,1.5,U_edge_pool,-0.001740020468930788,-0.004972042152702223,0.0014319028473322895,0.043335744717650566,9.04832431244613,0.498,0.498,0.502,1000.0,1000.0
4,4,4,1.6,U_mean,-0.004391423965573343,-0.01707903041542423,0.008370155528502586,0.03451847659317619,8.890444524339243,0.497,0.497,0.503,1000.0,1000.0
4,4,4,1.6,U_pool,-0.0038826491182387397,-0.01698995678127311,0.00977195748254307,0.03451847659317619,8.890444524339243,0.497,0.497,0.503,1000.0,1000.0
4,4,4,1.6,U_edge_mean,-0.00023591008273005253,-0.005046779743852236,0.003945690994186541,0.03451847659317619,8.890444524339243,0.497,0.497,0.503,1000.0,1000.0
4,4,4,1.6,U_edge_pool,-0.0015672261754395209,-0.0052774990345368904,0.0019959663346073952,0.03451847659317619,8.890444524339243,0.497,0.497,0.503,1000.0,1000.0
4,4,4,1.7,U_mean,-0.003451155619012651,-0.016890468465173964,0.01046468090918778,0.022462052422036662,8.710487472595949,0.496,0.496,0.504,1000.0,1000.0
4,4,4,1.7,U_pool,-0.0025787365509340886,-0.016350706906044433,0.011915883875405934,0.022462052422036662,8.710487472595949,0.496,0.496,0.504,1000.0,1000.0
4,4,4,1.7,U_edge_mean,-0.00010044849686037887,-0.00545400491795737,0.004782160860223312,0.022462052422036662,8.710487472595949,0.496,0.496,0.504,1000.0,1000.0
4,4,4,1.7,U_edge_pool,-0.0014824522985363148,-0.0058629522566080545,0.0026716444437012905,0.022462052422036662,8.710487472595949,0.496,0.496,0.504,1000.0,1000.0
4,4,4,1.8,U_mean,-0.004095617509581518,-0.01839187467137527,0.010353384674464046,0.022537258673979012,8.546305737277988,0.502,0.502,0.498,1000.0,1000.0
4,4,4,1.8,U_pool,-0.002637076108297193,-0.01700186866561649,0.01197374521945527,0.022537258673979012,8.546305737277988,0.502,0.502,0.498,1000.0,1000.0
4,4,4,1.8,U_edge_mean,-0.0007039566527130942,-0.0068184030314726,0.004730569938616052,0.022537258673979012,8.546305737277988,0.502,0.502,0.498,1000.0,1000.0
4,4,4,1.8,U_edge_pool,-0.0022322238291360755,-0.007229586016754209,0.0027077066087013695,0.022537258673979012,8.546305737277988,0.502,0.502,0.498,1000.0,1000.0
4,4,4,1.9,U_mean,-0.002839292772714239,-0.01647965816801535,0.012054982562608823,0.011315368271755001,8.389925818556408,0.507,0.507,0.493,1000.0,1000.0
4,4,4,1.9,U_pool,-0.0013486851393522752,-0.016257132863684944,0.013267623195083598,0.011315368271755001,8.389925818556408,0.507,0.507,0.493,1000.0,1000.0
4,4,4,1.9,U_edge_mean,-0.001388924968938565,-0.007361596556192028,0.004240837389582122,0.011315368271755001,8.389925818556408,0.507,0.507,0.493,1000.0,1000.0
4,4,4,1.9,U_edge_pool,-0.0026866276461455546,-0.008610602730186174,0.002583708278494314,0.011315368271755001,8.389925818556408,0.507,0.507,0.493,1000.0,1000.0
4,4,4,2.0,U_mean,-0.00447033872355514,-0.018148590868426656,0.00991107713878515,0.021991916919943892,8.235626538905583,0.501,0.501,0.499,1000.0,1000.0
4,4,4,2.0,U_pool,-0.002670339265149141,-0.017310157793583875,0.012317450964429762,0.021991916919943892,8.235626538905583,0.501,0.501,0.499,1000.0,1000.0
4,4,4,2.0,U_edge_mean,-0.0024951935397356196,-0.009012006042557391,0.0035540746344431178,0.021991916919943892,8.235626538905583,0.501,0.501,0.499,1000.0,1000.0
4,4,4,2.0,U_edge_pool,-0.003923469428422704,-0.010098794777155534,0.0022833386393747578,0.021991916919943892,8.235626538905583,0.501,0.501,0.499,1000.0,1000.0
4,4,4,2.1,U_mean,-0.0034177605919380447,-0.017683954648405158,0.01155485043192164,0.012861765847823255,8.079118773530086,0.5,0.5,0.5,1000.0,1000.0
4,4,4,2.1,U_pool,-0.0015919763291465316,-0.01646239536275376,0.013649719182648797,0.012861765847823255,8.079118773530086,0.5,0.5,0.5,1000.0,1000.0
4,4,4,2.1,U_edge_mean,-0.0011806049710122641,-0.0080122111516099,0.005198493372394568,0.012861765847823255,8.079118773530086,0.5,0.5,0.5,1000.0,1000.0
4,4,4,2.1,U_edge_pool,-0.003039647809942425,-0.009970926566543846,0.003656019671627634,0.012861765847823255,8.079118773530086,0.5,0.5,0.5,1000.0,1000.0
4,4,4,2.2,U_mean,-0.004775532119319637,-0.018932234879289474,0.009405040806799004,0.017347715353054155,7.940179098022303,0.497,0.497,0.503,1000.0,1000.0
4,4,4,2.2,U_pool,-0.002184801518819019,-0.016081106071795703,0.012287186581154514,0.017347715353054155,7.940179098022303,0.497,0.497,0.503,1000.0,1000.0
4,4,4,2.2,U_edge_mean,-0.002066573533296668,-0.009834243799084418,0.004889858326904283,0.017347715353054155,7.940179098022303,0.497,0.497,0.503,1000.0,1000.0
4,4,4,2.2,U_edge_pool,-0.0039825250616271225,-0.01195266167613951,0.0034768908397423306,0.017347715353054155,7.940179098022303,0.497,0.497,0.503,1000.0,1000.0
4,4,4,2.3,U_mean,-0.00421979615324626,-0.019051907532092047,0.010624347931945865,0.009894878273352994,7.790998324961354,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.3,U_pool,-0.0012700398409342586,-0.015784456355438098,0.013370792406025596,0.009894878273352994,7.790998324961354,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.3,U_edge_mean,-0.001255056323440684,-0.009541628145716954,0.006266648093684977,0.009894878273352994,7.790998324961354,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.3,U_edge_pool,-0.0029533044244245787,-0.011417414642018276,0.005303229935894769,0.009894878273352994,7.790998324961354,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.4,U_mean,-0.004062659887542638,-0.018013118555909046,0.01008725046830064,0.011750474878468968,7.64835737315248,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.4,U_pool,-0.0015363396746752285,-0.01660397545545693,0.013201265157080366,0.011750474878468968,7.64835737315248,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.4,U_edge_mean,-0.0015045334828742742,-0.010577541050022928,0.00645826099850106,0.011750474878468968,7.64835737315248,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.4,U_edge_pool,-0.004179101531280026,-0.014773206398381183,0.0050960587199165375,0.011750474878468968,7.64835737315248,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.5,U_mean,-0.004419662446545626,-0.017890984914875136,0.009435831999109084,0.016829999787337367,7.4952805377172185,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.5,U_pool,-0.002245412923858772,-0.01717411039334284,0.012797285951300932,0.016829999787337367,7.4952805377172185,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.5,U_edge_mean,-0.0021023521279078155,-0.011766110829514053,0.006544239024745171,0.016829999787337367,7.4952805377172185,0.495,0.495,0.505,1000.0,1000.0
4,4,4,2.5,U_edge_pool,-0.004892561146012137,-0.016367876910325405,0.00496641873164196,0.016829999787337367,7.4952805377172185,0.495,0.495,0.505,1000.0,1000.0
