L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value
8,4,1,0.5,4.0,fres_l2.0,1.0,0.443375
8,5,1,0.625,4.0,onsite_pair_density,1.0,0.0
8,5,1,0.625,4.0,onsite_pair_variance,1.0,0.0
8,5,1,0.625,4.0,charge_fluctuation,1.0,0.14965559126718322
8,5,1,0.625,4.0,fock_entropy_normalized,1.0,0.582603338751146
8,5,1,0.625,4.0,pr_normalized,1.0,0.13110119551567867
8,5,1,0.625,4.0,Nres_mean_l1.0,1.0,1.002857142857236
8,5,1,0.625,4.0,Nres_mean_l2.0,1.0,1.9023214285719459
8,5,1,0.625,4.0,fres_l1.0,1.0,0.234
8,5,1,0.625,4.0,fres_l2.0,1.0,0.443875
8,6,1,0.75,4.0,onsite_pair_density,1.0,0.0
8,6,1,0.75,4.0,onsite_pair_variance,1.0,0.0
8,6,1,0.75,4.0,charge_fluctuation,1.0,0.12006619124579189
8,6,1,0.75,4.0,fock_entropy_normalized,1.0,0.571618424001481
8,6,1,0.75,4.0,pr_normalized,1.0,0.1797290089298306
8,6,1,0.75,4.0,Nres_mean_l1.0,1.0,0.7958571428565999
8,6,1,0.75,4.0,Nres_mean_l2.0,1.0,1.5240000000006197
8,6,1,0.75,4.0,fres_l1.0,1.0,0.232125
8,6,1,0.75,4.0,fres_l2.0,1.0,0.4445
8,7,1,0.875,4.0,onsite_pair_density,1.0,0.0
8,7,1,0.875,4.0,onsite_pair_variance,1.0,0.0
8,7,1,0.875,4.0,charge_fluctuation,1.0,0.07475547991595231
8,7,1,0.875,4.0,fock_entropy_normalized,1.0,0.590677500314154
8,7,1,0.875,4.0,pr_normalized,1.0,0.350653771621144
8,7,1,0.875,4.0,Nres_mean_l1.0,1.0,0.4615
8,7,1,0.875,4.0,Nres_mean_l2.0,1.0,0.8625
8,7,1,0.875,4.0,fres_l1.0,1.0,0.23075
8,7,1,0.875,4.0,fres_l2.0,1.0,0.43125
8,8,1,1.0,4.0,onsite_pair_density,1.0,0.0
8,8,1,1.0,4.0,onsite_pair_variance,1.0,0.0
8,8,1,1.0,4.0,charge_fluctuation,1.0,0.0
8,8,1,1.0,4.0,pr_normalized,1.0,1.0
8,8,1,1.0,4.0,Nres_mean_l1.0,1.0,0.0
8,8,1,1.0,4.0,Nres_mean_l2.0,1.0,0.0
8,4,1,0.5,5.0,onsite_pair_density,1.0,0.0
8,4,1,0.5,5.0,onsite_pair_variance,1.0,0.0
8,4,1,0.5,5.0,charge_fluctuation,1.0,0.13797220551217898
8,4,1,0.5,5.0,fock_entropy_normalized,1.0,0.503083562549555
8,4,1,0.5,5.0,pr_normalized,1.0,0.08544104638028989
8,4,1,0.5,5.0,Nres_mean_l1.0,1.0,0.8622857142871281
8,4,1,0.5,5.0,Nres_mean_l2.0,1.0,1.641142857143703
8,4,1,0.5,5.0,fres_l1.0,1.0,0.188625
8,4,1,0.5,5.0,fres_l2.0,1.0,0.359
8,5,1,0.625,5.0,onsite_pair_density,1.0,0.0
8,5,1,0.625,5.0,onsite_pair_variance,1.0,0.0
8,5,1,0.625,5.0,charge_fluctuation,1.0,0.1313252533527652
8,5,1,0.625,5.0,fock_entropy_normalized,1.0,0.506443997282494
8,5,1,0.625,5.0,pr_normalized,1.0,0.09953033934824129
8,5,1,0.625,5.0,Nres_mean_l1.0,1.0,0.831428571428598
8,5,1,0.625,5.0,Nres_mean_l2.0,1.0,1.5262500000001942
8,5,1,0.625,5.0,fres_l1.0,1.0,0.194
8,5,1,0.625,5.0,fres_l2.0,1.0,0.356125
8,6,1,0.75,5.0,onsite_pair_density,1.0,0.0
8,6,1,0.75,5.0,onsite_pair_variance,1.0,0.0
8,6,1,0.75,5.0,charge_fluctuation,1.0,0.1049655556124271
8,6,1,0.75,5.0,fock_entropy_normalized,1.0,0.492498041835589
8,6,1,0.75,5.0,pr_normalized,1.0,0.14147141046510342
8,6,1,0.75,5.0,Nres_mean_l1.0,1.0,0.642428571428035
8,6,1,0.75,5.0,Nres_mean_l2.0,1.0,1.220142857142765
8,6,1,0.75,5.0,fres_l1.0,1.0,0.187375
8,6,1,0.75,5.0,fres_l2.0,1.0,0.355875
8,7,1,0.875,5.0,onsite_pair_density,1.0,0.0
8,7,1,0.875,5.0,onsite_pair_variance,1.0,0.0
8,7,1,0.875,5.0,charge_fluctuation,1.0,0.06587283348704968
8,7,1,0.875,5.0,fock_entropy_normalized,1.0,0.511695139226414
8,7,1,0.875,5.0,pr_normalized,1.0,0.301577972055801
8,7,1,0.875,5.0,Nres_mean_l1.0,1.0,0.37625
8,7,1,0.875,5.0,Nres_mean_l2.0,1.0,0.7075
8,7,1,0.875,5.0,fres_l1.0,1.0,0.188125
8,7,1,0.875,5.0,fres_l2.0,1.0,0.35375
8,8,1,1.0,5.0,onsite_pair_density,1.0,0.0
8,8,1,1.0,5.0,onsite_pair_variance,1.0,0.0
8,8,1,1.0,5.0,charge_fluctuation,1.0,0.0
8,8,1,1.0,5.0,pr_normalized,1.0,1.0
8,8,1,1.0,5.0,Nres_mean_l1.0,1.0,0.0
8,8,1,1.0,5.0,Nres_mean_l2.0,1.0,0.0
8,4,1,0.5,6.0,onsite_pair_density,1.0,0.0
8,4,1,0.5,6.0,onsite_pair_variance,1.0,0.0
8,4,1,0.5,6.0,charge_fluctuation,1.0,0.124821698651078
8,4,1,0.5,6.0,fock_entropy_normalized,1.0,0.452085339719218
8,4,1,0.5,6.0,pr_normalized,1.0,0.0710438887362446
8,4,1,0.5,6.0,Nres_mean_l1.0,1.0,0.752000000001236
8,4,1,0.5,6.0,Nres_mean_l2.0,1.0,1.3862857142871672
8,4,1,0.5,6.0,fres_l1.0,1.0,0.1645
8,4,1,0.5,6.0,fres_l2.0,1.0,0.30325
8,5,1,0.625,6.0,onsite_pair_density,1.0,0.0
8,5,1,0.625,6.0,onsite_pair_variance,1.0,0.0
8,5,1,0.625,6.0,charge_fluctuation,1.0,0.11474808991593051
8,5,1,0.625,6.0,fock_entropy_normalized,1.0,0.440214576544001
8,5,1,0.625,6.0,pr_normalized,1.0,0.0778001573584514
8,5,1,0.625,6.0,Nres_mean_l1.0,1.0,0.655178571428602
8,5,1,0.625,6.0,Nres_mean_l2.0,1.0,1.287857142857228
8,5,1,0.625,6.0,fres_l1.0,1.0,0.152875
8,5,1,0.625,6.0,fres_l2.0,1.0,0.3005
8,6,1,0.75,6.0,onsite_pair_density,1.0,0.0
8,6,1,0.75,6.0,onsite_pair_variance,1.0,0.0
8,6,1,0.75,6.0,charge_fluctuation,1.0,0.0928573598775151
8,6,1,0.75,6.0,fock_entropy_normalized,1.0,0.43105632880664907
8,6,1,0.75,6.0,pr_normalized,1.0,0.1170463026936247
8,6,1,0.75,6.0,Nres_mean_l1.0,1.0,0.5365714285710199
8,6,1,0.75,6.0,Nres_mean_l2.0,1.0,1.035857142856715
