U,W,L,N,nmax,boundary,g,n_realizations_used,source
2.0,10.0,7,7,2,periodic,0.20120120120120116,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,11.0,7,7,2,periodic,0.20120120120120122,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,12.0,7,7,2,periodic,0.16616616616616617,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,13.0,7,7,2,periodic,0.17117117117117123,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,14.0,7,7,2,periodic,0.15615615615615622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,15.0,7,7,2,periodic,0.15115115115115121,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,0.5,7,7,3,periodic,1.1821821821821823,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,1.0,7,7,3,periodic,1.2522522522522523,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,2.0,7,7,3,periodic,1.1871871871871873,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,3.0,7,7,3,periodic,0.9769769769769772,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,4.0,7,7,3,periodic,0.7417417417417416,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,5.0,7,7,3,periodic,0.5015015015015014,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,6.0,7,7,3,periodic,0.3613613613613613,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,7.0,7,7,3,periodic,0.3263263263263263,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,8.0,7,7,3,periodic,0.25125125125125125,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,9.0,7,7,3,periodic,0.21121121121121122,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,10.0,7,7,3,periodic,0.1761761761761762,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,11.0,7,7,3,periodic,0.20120120120120122,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,12.0,7,7,3,periodic,0.17117117117117117,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,13.0,7,7,3,periodic,0.17617617617617626,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,14.0,7,7,3,periodic,0.14114114114114118,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,15.0,7,7,3,periodic,0.13613613613613623,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,0.5,7,7,4,periodic,1.3373373373373374,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,1.0,7,7,4,periodic,1.2372372372372373,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,2.0,7,7,4,periodic,1.0370370370370372,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,3.0,7,7,4,periodic,0.8218218218218221,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,4.0,7,7,4,periodic,0.5915915915915914,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,5.0,7,7,4,periodic,0.48148148148148134,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,6.0,7,7,4,periodic,0.3613613613613613,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,7.0,7,7,4,periodic,0.26126126126126126,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,8.0,7,7,4,periodic,0.26626626626626626,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,9.0,7,7,4,periodic,0.23123123123123127,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,10.0,7,7,4,periodic,0.21121121121121117,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,11.0,7,7,4,periodic,0.16616616616616622,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,12.0,7,7,4,periodic,0.1761761761761762,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,13.0,7,7,4,periodic,0.1461461461461462,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,14.0,7,7,4,periodic,0.15615615615615613,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
2.0,15.0,7,7,4,periodic,0.13113113113113112,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,0.5,7,7,2,periodic,0.7867867867867866,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,1.0,7,7,2,periodic,1.0720720720720722,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,2.0,7,7,2,periodic,1.0970970970970972,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,3.0,7,7,2,periodic,0.8418418418418421,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,4.0,7,7,2,periodic,0.6416416416416415,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,5.0,7,7,2,periodic,0.4564564564564564,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,6.0,7,7,2,periodic,0.3563563563563563,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,7.0,7,7,2,periodic,0.2912912912912913,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,8.0,7,7,2,periodic,0.24624624624624625,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,9.0,7,7,2,periodic,0.2362362362362363,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,10.0,7,7,2,periodic,0.1861861861861862,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,11.0,7,7,2,periodic,0.19119119119119116,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
3.0,12.0,7,7,2,periodic,0.16616616616616617,300,/home/2/kj405942/POLFED_bosons/SFF_bozony/results_multi_nmax_L7_allU/thouless_summary.csv
