model,sector,quantity,value,count,probability
boson,L8_N8_nmax3,K,11.0,80,0.020925974365681402
boson,L8_N8_nmax3,K,12.0,428,0.1119539628563955
boson,L8_N8_nmax3,K,14.0,56,0.014648182055976981
boson,L8_N8_nmax3,K,16.0,1,0.0002615746795710175
boson,L8_N8_nmax3,K_eff,10.0,56,0.014648182055976981
boson,L8_N8_nmax3,K_eff,12.0,72,0.01883337692911326
boson,L8_N8_nmax3,K_eff,14.0,40,0.010462987182840701
boson,L8_N8_nmax3,K_eff,16.0,86,0.022495422443107507
boson,L8_N8_nmax3,K_eff,18.0,168,0.04394454616793094
boson,L8_N8_nmax3,K_eff,20.0,496,0.1297410410672247
boson,L8_N8_nmax3,K_eff,22.0,392,0.10253727439183886
boson,L8_N8_nmax3,K_eff,24.0,864,0.22600052314935914
boson,L8_N8_nmax3,K_eff,26.0,416,0.10881506670154328
boson,L8_N8_nmax3,K_eff,28.0,448,0.11718545644781585
boson,L8_N8_nmax3,K_eff,30.0,224,0.058592728223907924
boson,L8_N8_nmax3,K_eff,32.0,345,0.09024326445200105
boson,L8_N8_nmax3,K_eff,34.0,96,0.025111169238817684
boson,L8_N8_nmax3,K_eff,36.0,88,0.023018571802249543
boson,L8_N8_nmax3,K_eff,38.0,16,0.00418519487313628
boson,L8_N8_nmax3,K_eff,40.0,16,0.00418519487313628
boson,L8_N8_nmax4,K,2.0,8,0.0014611872146118722
boson,L8_N8_nmax4,K,4.0,44,0.008036529680365296
boson,L8_N8_nmax4,K,5.0,240,0.043835616438356165
boson,L8_N8_nmax4,K,6.0,528,0.09643835616438357
boson,L8_N8_nmax4,K,7.0,480,0.08767123287671233
boson,L8_N8_nmax4,K,8.0,1650,0.3013698630136986
boson,L8_N8_nmax4,K,9.0,160,0.029223744292237442
boson,L8_N8_nmax4,K,10.0,1720,0.3141552511415525
boson,L8_N8_nmax4,K,12.0,588,0.1073972602739726
boson,L8_N8_nmax4,K,14.0,56,0.010228310502283105
boson,L8_N8_nmax4,K,16.0,1,0.00018264840182648402
boson,L8_N8_nmax4,K_eff,8.0,8,0.0014611872146118722
boson,L8_N8_nmax4,K_eff,16.0,274,0.05004566210045662
boson,L8_N8_nmax4,K_eff,18.0,72,0.01315068493150685
boson,L8_N8_nmax4,K_eff,19.0,160,0.029223744292237442
boson,L8_N8_nmax4,K_eff,20.0,232,0.04237442922374429
boson,L8_N8_nmax4,K_eff,21.0,96,0.017534246575342465
boson,L8_N8_nmax4,K_eff,22.0,496,0.09059360730593607
boson,L8_N8_nmax4,K_eff,23.0,240,0.043835616438356165
boson,L8_N8_nmax4,K_eff,24.0,472,0.08621004566210046
boson,L8_N8_nmax4,K_eff,25.0,160,0.029223744292237442
boson,L8_N8_nmax4,K_eff,26.0,328,0.05990867579908676
boson,L8_N8_nmax4,K_eff,27.0,32,0.005844748858447489
boson,L8_N8_nmax4,K_eff,28.0,840,0.15342465753424658
boson,L8_N8_nmax4,K_eff,29.0,16,0.0029223744292237444
boson,L8_N8_nmax4,K_eff,30.0,424,0.07744292237442922
boson,L8_N8_nmax4,K_eff,31.0,16,0.0029223744292237444
boson,L8_N8_nmax4,K_eff,32.0,665,0.12146118721461187
boson,L8_N8_nmax4,K_eff,34.0,376,0.06867579908675799
boson,L8_N8_nmax4,K_eff,36.0,272,0.049680365296803655
boson,L8_N8_nmax4,K_eff,38.0,80,0.014611872146118721
boson,L8_N8_nmax4,K_eff,40.0,144,0.0263013698630137
boson,L8_N8_nmax4,K_eff,42.0,32,0.005844748858447489
boson,L8_N8_nmax4,K_eff,44.0,16,0.0029223744292237444
boson,L8_N8_nmax4,K_eff,46.0,24,0.004383561643835616
boson,L8_N8_nmax5,K,3.0,16,0.002602895721490158
boson,L8_N8_nmax5,K,4.0,84,0.013665202537823329
boson,L8_N8_nmax5,K,5.0,160,0.026028957214901578
boson,L8_N8_nmax5,K,6.0,872,0.1418578168212136
boson,L8_N8_nmax5,K,7.0,160,0.026028957214901578
boson,L8_N8_nmax5,K,8.0,2250,0.36603221083455345
boson,L8_N8_nmax5,K,10.0,1960,0.3188547258825443
boson,L8_N8_nmax5,K,12.0,588,0.0956564177647633
boson,L8_N8_nmax5,K,14.0,56,0.009110135025215552
boson,L8_N8_nmax5,K,16.0,1,0.00016268098259313488
boson,L8_N8_nmax5,K_eff,16.0,418,0.06800065072393037
boson,L8_N8_nmax5,K_eff,18.0,120,0.019521717911176184
boson,L8_N8_nmax5,K_eff,20.0,432,0.07027818448023426
boson,L8_N8_nmax5,K_eff,22.0,448,0.07288108020172442
boson,L8_N8_nmax5,K_eff,24.0,656,0.10671872458109646
boson,L8_N8_nmax5,K_eff,26.0,352,0.05726370587278347
boson,L8_N8_nmax5,K_eff,28.0,1088,0.17699690906133073
boson,L8_N8_nmax5,K_eff,30.0,456,0.0741825280624695
boson,L8_N8_nmax5,K_eff,32.0,825,0.13421181063933627
boson,L8_N8_nmax5,K_eff,34.0,472,0.07678542378395965
boson,L8_N8_nmax5,K_eff,36.0,360,0.05856515373352855
boson,L8_N8_nmax5,K_eff,38.0,96,0.015617374328940947
boson,L8_N8_nmax5,K_eff,40.0,272,0.04424922726533268
boson,L8_N8_nmax5,K_eff,42.0,48,0.007808687164470474
boson,L8_N8_nmax5,K_eff,44.0,32,0.005205791442980316
boson,L8_N8_nmax5,K_eff,46.0,40,0.006507239303725394
boson,L8_N8_nmax5,K_eff,48.0,32,0.005205791442980316
