L,N,nmax,W,Uhalf,half_level,s_infinity_estimate,n_U
8,6,3,4.0,3.829696264803685,0.5,0.32157416577032,10
8,6,3,5.0,4.070388773963356,0.5,0.27733608651768,10
8,6,3,6.0,4.306425481884108,0.5,0.24337053807396666,10
8,6,3,7.0,4.511664258569937,0.5,0.22169999474118002,10
8,6,3,8.0,4.952425235374332,0.5,0.20520138561204998,10
8,6,3,9.0,5.130844822017473,0.5,0.19787797777708666,10
8,6,3,10.0,5.12781210652137,0.5,0.19689260517256665,10
8,6,3,11.0,5.31379334593494,0.5,0.1857461329322,10
8,6,3,12.0,5.206961890374118,0.5,0.18100079946926334,10
8,6,3,13.0,5.443619667062531,0.5,0.18063728817278,10
8,6,3,14.0,5.576392166597107,0.5,0.17526506704942668,10
8,6,3,15.0,5.636630001788167,0.5,0.17458103001636532,10
8,6,4,0.1,3.165165518739676,0.5,0.587124017225358,10
8,6,4,0.25,3.193755332004874,0.5,0.57512036634915,10
8,6,4,0.5,3.2190473772527364,0.5,0.5584707865973031,10
8,6,4,0.75,3.290733478491833,0.5,0.5365699610864709,10
8,6,4,1.0,3.3285095956488484,0.5,0.5139854823938333,10
8,6,4,2.0,3.3761775795371447,0.5,0.41638372993913,10
8,6,4,3.0,3.3919663728169027,0.5,0.34198467809527,10
8,6,4,4.0,3.582596005797874,0.5,0.28427276594901335,10
8,6,4,5.0,3.591046077032042,0.5,0.25304109064928,10
8,6,4,6.0,3.8233211926983053,0.5,0.21711394831275332,10
8,6,4,7.0,4.299426405262134,0.5,0.20386605514973333,10
8,6,4,8.0,4.2678438556186205,0.5,0.18952114937586031,10
8,6,4,9.0,4.687849803370425,0.5,0.18084336339024665,10
8,6,4,10.0,4.8716445004078155,0.5,0.17313831319071668,10
8,6,4,11.0,4.646458749304241,0.5,0.16752400096588033,10
8,6,4,12.0,4.87744376943468,0.5,0.16514332152464334,10
8,6,4,13.0,4.77551130046302,0.5,0.162113110204488,10
8,6,4,14.0,5.299772614731731,0.5,0.15843519883519064,10
8,6,4,15.0,4.760429829140575,0.5,0.15336309583691565,10
8,6,5,0.1,3.146754078482398,0.5,0.580295211182368,10
8,6,5,0.25,3.180805646549671,0.5,0.567421923172774,10
8,6,5,0.5,3.224012928388496,0.5,0.549888914487497,10
8,6,5,0.75,3.284304275196908,0.5,0.527479193671998,10
8,6,5,1.0,3.3335924514597517,0.5,0.5009860966496067,10
8,6,5,2.0,3.341438308926409,0.5,0.40347067436883666,10
8,6,5,3.0,3.35368704443378,0.5,0.33122790389267665,10
8,6,5,4.0,3.5201509499100765,0.5,0.27658117138474003,10
8,6,5,5.0,3.6767331613264425,0.5,0.2406777449996067,10
8,6,5,6.0,3.840787720056805,0.5,0.21266419240593668,10
8,6,5,7.0,3.7567276231608515,0.5,0.19891234588775666,10
8,6,5,8.0,4.198718321559085,0.5,0.17970592782365266,10
8,6,5,9.0,4.457221116938467,0.5,0.17871957319329668,10
8,6,5,10.0,4.516201362713113,0.5,0.16801619436957999,10
8,6,5,11.0,4.776567620060247,0.5,0.16151407692806,10
8,6,5,12.0,4.602770344759105,0.5,0.15981843463711368,10
8,6,5,13.0,5.004255093731771,0.5,0.15408408538049934,10
8,6,5,14.0,5.136360728348859,0.5,0.15615425650012532,10
8,6,5,15.0,4.962468156068083,0.5,0.14823193385930966,10
8,7,2,0.1,3.728684229755932,0.5,0.764857502830068,10
8,7,2,0.25,3.774124876220726,0.5,0.767933757764642,10
8,7,2,0.5,3.8182570977929324,0.5,0.76597051453491,10
8,7,2,0.75,3.8584769942092842,0.5,0.759936744006785,10
8,7,2,1.0,3.9339760900078686,0.5,0.750550262403448,10
8,7,2,2.0,4.257484223102789,0.5,0.689825394751501,10
8,7,2,3.0,4.529121874325527,0.5,0.596568928831505,10
8,7,2,4.0,4.761112927974667,0.5,0.5011866924535069,10
8,7,2,5.0,5.112740723978811,0.5,0.42949175392615,10
8,7,2,6.0,5.353162796672377,0.5,0.375666129538976,10
8,7,2,7.0,5.791791539288939,0.5,0.332816965496476,10
8,7,2,8.0,6.002525463325848,0.5,0.305204729061311,10
8,7,2,9.0,6.316746467914213,0.5,0.283703308794878,10
8,7,2,10.0,6.4406685208637935,0.5,0.271769370132271,10
8,7,2,11.0,6.872385644744303,0.5,0.259909618940824,10
8,7,2,12.0,6.726619251716324,0.5,0.252088556605858,10
8,7,2,13.0,7.05467811380918,0.5,0.245730637234507,10
8,7,2,14.0,6.419066165649163,0.5,0.23471448693801,10
8,7,2,15.0,6.783266689699172,0.5,0.227864973120456,10
8,7,3,0.1,3.5717507180820753,0.5,0.6266696598364659,10
8,7,3,0.25,3.6694632164263923,0.5,0.614355155728989,10
8,7,3,0.5,3.7522871928912593,0.5,0.5978435955429711,10
8,7,3,0.75,3.843046747778474,0.5,0.5741705807098401,10
8,7,3,1.0,3.928120422565552,0.5,0.5419919399285533,10
8,7,3,2.0,3.9931735981337924,0.5,0.4346380513300566,10
8,7,3,3.0,3.985288874524935,0.5,0.3509079988032566,10
8,7,3,4.0,4.075850630058272,0.5,0.30085465174063,10
8,7,3,5.0,4.217801231364877,0.5,0.26576514918489,10
8,7,3,6.0,4.452753449063109,0.5,0.23626117609424999,10
8,7,3,7.0,4.656268825016937,0.5,0.21848731110206998,10
8,7,3,8.0,4.860378476020737,0.5,0.20425706237407665,10
8,7,3,9.0,5.069443998321985,0.5,0.19880533482423662,10
8,7,3,10.0,5.352760041772563,0.5,0.19482906052301,10
8,7,3,11.0,5.475813422287927,0.5,0.18907013675267667,10
8,7,3,12.0,5.492134858825586,0.5,0.18569902890947998,10
8,7,3,13.0,5.772286559825341,0.5,0.18208731792962335,10
8,7,3,14.0,5.425630098884456,0.5,0.17709362402349665,10
8,7,3,15.0,5.554764926004101,0.5,0.17498901915422665,10
8,7,4,0.1,3.3583491133512067,0.5,0.565701435883152,10
8,7,4,0.25,3.427396598113412,0.5,0.547058453701714,10
8,7,4,0.5,3.493571219465118,0.5,0.5254815752800139,10
8,7,4,0.75,3.559426736909783,0.5,0.499923029175461,10
8,7,4,1.0,3.5956072784646214,0.5,0.47210781921156,10
8,7,4,2.0,3.5970795011895818,0.5,0.37383514222975334,10
8,7,4,3.0,3.5394720326820277,0.5,0.30741968107330664,10
8,7,4,4.0,3.6766923487405005,0.5,0.25508280567841335,10
8,7,4,5.0,3.755812119818752,0.5,0.22176560330156997,10
8,7,4,6.0,3.977349914997782,0.5,0.20801264332505667,10
8,7,4,7.0,4.186759547128135,0.5,0.18745219262778662,10
8,7,4,8.0,4.292637531549018,0.5,0.17886497716360333,10
8,7,4,9.0,4.403634876410374,0.5,0.17036143800843334,10
8,7,4,10.0,4.556680349126922,0.5,0.16186229530446067,10
8,7,4,11.0,4.554836747502374,0.5,0.16174800977804668,10
