L,N,nmax,W,slope_vs_U,intercept,r2,n_U,mean_positive_step_fraction,monotone_decreasing_strict
8,6,2,0.75,-0.018957861970349682,0.8905196667454324,0.9329955039650022,10,0.0,1
8,6,2,1.0,-0.020592566756719503,0.8912488343209723,0.9296913444751679,10,0.0,1
8,6,2,2.0,-0.030959106307453188,0.8936728397595799,0.9416706058983967,10,0.0,1
8,6,2,3.0,-0.0402920275810949,0.876539683181665,0.9491724519553437,10,0.0,1
8,6,2,4.0,-0.04393080648823815,0.8296960273824916,0.9535785648166188,10,0.0,1
8,6,2,5.0,-0.04249636944616764,0.7634845307625852,0.9614369874162896,10,0.0,1
8,6,2,6.0,-0.03844621822366054,0.6916414882024436,0.9701843360994674,10,0.0,1
8,6,2,7.0,-0.03399289391591325,0.6235407556659693,0.9689956973882053,10,0.1111111111111111,0
8,6,2,8.0,-0.028902594638942743,0.558827419440515,0.9662525284464805,10,0.1111111111111111,0
8,6,2,9.0,-0.024421868467767817,0.5041104878768554,0.941968978395918,10,0.1111111111111111,0
8,6,2,10.0,-0.019868077690004055,0.45310922531198494,0.9430656663260473,10,0.1111111111111111,0
8,6,2,11.0,-0.016906198430333145,0.41542527915412636,0.9533101041427348,10,0.1111111111111111,0
8,6,2,12.0,-0.014019278162399942,0.3809523896013774,0.926842784417725,10,0.1111111111111111,0
8,6,2,13.0,-0.011755227918811097,0.34823133145590435,0.9497667615830324,10,0.0,1
8,6,2,14.0,-0.01024583222342275,0.32526261197475875,0.9289562363362365,10,0.1111111111111111,0
8,6,2,15.0,-0.008417089858954735,0.2995990348957928,0.9324425104098542,10,0.1111111111111111,0
8,6,3,0.1,-0.027609800593331624,0.8697791986920114,0.8908038233944156,10,0.0,1
8,6,3,0.25,-0.028581008915466413,0.8715263413238991,0.8830168076313435,10,0.0,1
8,6,3,0.5,-0.029979404207529117,0.8717432541747786,0.8805878699955336,10,0.0,1
8,6,3,0.75,-0.032630755293970595,0.8737387642237091,0.8881404784517564,10,0.0,1
8,6,3,1.0,-0.035757069837133885,0.873811616381973,0.8853923096952885,10,0.0,1
8,6,3,2.0,-0.04734708106859154,0.8666139086128744,0.8824611056429723,10,0.0,1
8,6,3,3.0,-0.054109179767601406,0.8392726292165553,0.8788988347467432,10,0.1111111111111111,0
8,6,3,4.0,-0.05638294092802394,0.7972994586685099,0.9017716415542554,10,0.0,1
8,6,3,5.0,-0.05349990218271616,0.736476199820113,0.9270476970368228,10,0.0,1
8,6,3,6.0,-0.05014802128747307,0.6807498038767774,0.9414391491305324,10,0.0,1
8,6,3,7.0,-0.044549109115009096,0.6165042227991048,0.9664707293811136,10,0.0,1
8,6,3,8.0,-0.03793639355969018,0.5514006950668682,0.9753260138496033,10,0.0,1
8,6,3,9.0,-0.0339331494086227,0.5079947640888023,0.9818091564181838,10,0.0,1
8,6,3,10.0,-0.028805912022935747,0.46092005306459194,0.9739740943761436,10,0.1111111111111111,0
8,6,3,11.0,-0.025611930324015823,0.42437389831614186,0.9868750246173088,10,0.0,1
8,6,3,12.0,-0.02322944037496448,0.39865836581969877,0.9921746614663396,10,0.0,1
8,6,3,13.0,-0.018557284491545204,0.3571061879859295,0.981016864745113,10,0.1111111111111111,0
8,6,3,14.0,-0.016862969101476565,0.33620584919230717,0.9792169947590693,10,0.0,1
8,6,3,15.0,-0.015254323108164276,0.3181591382199859,0.975033796033145,10,0.1111111111111111,0
8,6,4,0.1,-0.031991359589484576,0.8606167769988099,0.8854359315149121,10,0.0,1
8,6,4,0.25,-0.03370960683640277,0.8625273506959324,0.88215217638971,10,0.0,1
8,6,4,0.5,-0.03570612191751235,0.8623697714672897,0.8789975314051405,10,0.0,1
8,6,4,0.75,-0.03842487775731097,0.8631569022879898,0.8816742548839244,10,0.0,1
8,6,4,1.0,-0.0411040202400908,0.8609234510940288,0.8736572425618903,10,0.0,1
8,6,4,2.0,-0.05137898307380265,0.8453165457073947,0.8664988825806182,10,0.0,1
8,6,4,3.0,-0.056500647974111036,0.8107353562542982,0.8643989778534862,10,0.0,1
8,6,4,4.0,-0.056855023550175576,0.7632776687997285,0.8920623870611031,10,0.0,1
8,6,4,5.0,-0.053937067493715914,0.7044905452738464,0.8935420977059354,10,0.0,1
8,6,4,6.0,-0.049357003678530645,0.641369700942908,0.9248580028409233,10,0.0,1
8,6,4,7.0,-0.04239924629752633,0.5748833637310663,0.9503243457619174,10,0.0,1
8,6,4,8.0,-0.03915631952256783,0.5354150787471812,0.9634733462560283,10,0.0,1
8,6,4,9.0,-0.03422045607924358,0.48686090973144575,0.9676173050543372,10,0.0,1
8,6,4,10.0,-0.02894212607335988,0.4371966541718095,0.9784454928992062,10,0.0,1
8,6,4,11.0,-0.02738264818627792,0.41660291775158936,0.97926705289495,10,0.0,1
8,6,4,12.0,-0.023799523170778946,0.3825816155577783,0.972665858006587,10,0.1111111111111111,0
8,6,4,13.0,-0.022174243074383676,0.36424961629405994,0.9835512710709837,10,0.0,1
8,6,4,14.0,-0.018860704898410432,0.3327754044287229,0.9836214096128842,10,0.1111111111111111,0
