L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
8,5,4,5.0,1.0,0.1208468703729089,0.9725264026227506,10
8,5,4,6.0,1.0,0.1412713757015764,0.9677697135350222,10
8,5,4,7.0,1.0,0.1403298940240606,0.9727158032509764,10
8,5,4,8.0,1.0,0.12747624210623554,0.9789112616864984,10
8,5,4,9.0,1.0,0.1407943728243882,0.9754874067635808,10
8,5,4,10.0,1.0,0.08427522150711172,0.9899071766836657,10
8,5,4,11.0,1.0,0.118512503522544,0.9819563686699346,10
8,5,4,12.0,1.0,0.09674059493371334,0.9883811797282973,10
8,5,4,13.0,1.0,0.052604172945722144,0.9958082179563663,10
8,5,4,14.0,1.0,0.14478406453008644,0.9732229636753111,10
8,5,4,15.0,1.0,0.13894615869104732,0.97858375542176,10
8,5,5,0.1,1.0,0.18745062500640616,0.9142288229405158,10
8,5,5,0.25,1.0,0.19272742707601687,0.9096942382084995,10
8,5,5,0.5,1.0,0.19926642889868962,0.9032015886450977,10
8,5,5,0.75,1.0,0.20224970236254433,0.8994818131547732,10
8,5,5,1.0,1.0,0.20217868719893814,0.8980034243545758,10
8,5,5,2.0,1.0,0.1949724419868752,0.9086753823232102,10
8,5,5,3.0,1.0,0.17327761055530833,0.9329707618335681,10
8,5,5,4.0,1.0,0.1560656700375815,0.9510928327620157,10
8,5,5,5.0,1.0,0.1240581173226017,0.973612366490593,10
8,5,5,6.0,1.0,0.1473093263243148,0.96786613803365,10
8,5,5,7.0,1.0,0.14748957633076154,0.9712061059919413,10
8,5,5,8.0,1.0,0.10657793288105728,0.9832785047029494,10
8,5,5,9.0,1.0,0.05669851009299286,0.9950481259799915,10
8,5,5,10.0,1.0,0.11466862716587817,0.9811357649302042,10
8,5,5,11.0,1.0,0.08711056583530606,0.9871013450648388,10
8,5,5,12.0,1.0,0.09007178867467845,0.9889759418124797,10
8,5,5,13.0,1.0,0.13323530242731965,0.9807228546540133,10
8,5,5,14.0,1.0,0.17022879837231453,0.9695405914178283,10
8,5,5,15.0,1.0,0.07151977140082301,0.9919025522541839,10
8,6,2,0.1,1.0,0.2671403857724097,0.8474209160572027,10
8,6,2,0.25,1.0,0.2725536243886128,0.8422291083556379,10
8,6,2,0.5,1.0,0.27853512781616613,0.8356504670212223,10
8,6,2,0.75,1.0,0.28505580253371415,0.8285040953378202,10
8,6,2,1.0,1.0,0.2878892477371063,0.8239154117277324,10
8,6,2,2.0,1.0,0.29497296331062073,0.8285257769182325,10
8,6,2,3.0,1.0,0.2699783971630714,0.8684651937860194,10
8,6,2,4.0,1.0,0.23495627356260956,0.9093031417883449,10
8,6,2,5.0,1.0,0.20839494971799044,0.9362202782269905,10
8,6,2,6.0,1.0,0.18121531572826668,0.9559038621150532,10
8,6,2,7.0,1.0,0.17234839637864333,0.9668101646698921,10
8,6,2,8.0,1.0,0.14366737906133545,0.9753781227621653,10
8,6,2,9.0,1.0,0.1836519354540194,0.9689964344346012,10
8,6,2,10.0,1.0,0.15910764825529822,0.9747065833000887,10
8,6,2,11.0,1.0,0.11027518807402852,0.9815837793638085,10
8,6,2,12.0,1.0,0.15202705775472186,0.9714162660159154,10
8,6,2,13.0,1.0,0.10876682737997578,0.981364831640645,10
8,6,2,14.0,1.0,0.16509813555321917,0.9734100945211883,10
8,6,2,15.0,1.0,0.1451446009532317,0.9748334300196312,10
8,6,3,0.1,1.0,0.21987393084589682,0.8879864845001009,10
8,6,3,0.25,1.0,0.21990551782269305,0.8868372668506738,10
8,6,3,0.5,1.0,0.22222831209007587,0.8845093043757464,10
8,6,3,0.75,1.0,0.23189361392686036,0.8760911205710329,10
8,6,3,1.0,1.0,0.23621128348820325,0.8701644604954862,10
8,6,3,2.0,1.0,0.22952991819690996,0.880686909423081,10
8,6,3,3.0,1.0,0.20350532556462056,0.9117579081435291,10
8,6,3,4.0,1.0,0.17851862996209103,0.9405334657495064,10
8,6,3,5.0,1.0,0.15059102971121477,0.9619430781528793,10
8,6,3,6.0,1.0,0.1363183838206732,0.9733144700084909,10
