L,nmax,U,W,N0,A,B,n_N
8,2,9.0,0.25,6.0,0.7520576426039784,-0.000831921164577798,5
8,2,9.0,0.5,6.0,0.7473855238997569,0.0009609954553256195,5
8,2,9.0,0.75,6.0,0.7383029096198408,0.0024427970758770456,5
8,2,9.0,1.0,6.0,0.7255531748836053,0.004115333763474016,5
8,2,9.0,2.0,6.0,0.6461121717488287,0.013583407574865803,5
8,2,9.0,3.0,6.0,0.5484596570782599,0.019807684053110418,5
8,2,9.0,4.0,6.0,0.4656836010949668,0.017262815561307397,5
8,2,9.0,5.0,6.0,0.40251949506577034,0.0178397693231764,5
8,2,9.0,6.0,6.0,0.3562863101259276,0.015555224676717595,5
8,2,9.0,7.0,6.0,0.32077985927623043,0.01579511248099661,5
8,2,9.0,8.0,6.0,0.29510165372479236,0.015558098614386806,5
8,2,9.0,9.0,6.0,0.277257009854584,0.016580314200559988,5
8,2,9.0,10.0,6.0,0.2670200849282192,0.014975627988656598,5
8,2,9.0,11.0,6.0,0.2553184886047168,0.015111298043620196,5
8,2,9.0,12.0,6.0,0.24825443219584722,0.01390562606537521,5
8,2,9.0,13.0,6.0,0.23901649559198762,0.013667439545351611,5
8,2,9.0,14.0,6.0,0.23000307750100002,0.011694294055168208,5
8,2,9.0,15.0,6.0,0.22235600523378682,0.01278048330589579,5
8,2,10.0,0.1,6.0,0.7490485077543904,-0.0060061451078997855,5
8,2,10.0,0.25,6.0,0.7467261005801681,-0.0018713306513500117,5
8,2,10.0,0.5,6.0,0.7419627389774424,-0.00020026218212780832,5
8,2,10.0,0.75,6.0,0.7327967453965399,0.0011171294951062062,5
8,2,10.0,1.0,6.0,0.7196643618519948,0.0031038302441338097,5
8,2,10.0,2.0,6.0,0.6380436467716535,0.01314711935897921,5
8,2,10.0,3.0,6.0,0.5378597111353816,0.01694574050352643,5
8,2,10.0,4.0,6.0,0.4524817142230032,0.015530954733886371,5
8,2,10.0,5.0,6.0,0.39197027409456436,0.015026621050286005,5
8,2,10.0,6.0,6.0,0.3433457157154113,0.014084455214112801,5
8,2,10.0,7.0,6.0,0.3054284113144372,0.013894330465830995,5
8,2,10.0,8.0,6.0,0.2811005664344596,0.01340029356417879,5
8,2,10.0,9.0,6.0,0.2597866382762732,0.011976078561564796,5
8,2,10.0,10.0,6.0,0.24627049831740838,0.012098828719707194,5
8,2,10.0,11.0,6.0,0.23537899320789918,0.013825958789491416,5
8,2,10.0,12.0,6.0,0.2306337245111692,0.011589879235559607,5
8,2,10.0,13.0,6.0,0.22236758307986043,0.0114145602344424,5
8,2,10.0,14.0,6.0,0.21314055878540322,0.013167015336504601,5
8,2,10.0,15.0,6.0,0.2096084881612997,0.01140446886585228,5
8,3,1.0,0.1,6.0,0.8824823721373241,0.013019937187009223,5
8,3,1.0,0.25,6.0,0.8845862286660979,0.012049639674115365,5
8,3,1.0,0.5,6.0,0.8853086564189032,0.011340792580468228,5
8,3,1.0,0.75,6.0,0.8849170325229313,0.011089128901150014,5
8,3,1.0,1.0,6.0,0.8837115325034599,0.011186809213200033,5
8,3,1.0,2.0,6.0,0.871432457105208,0.013970394562239297,5
8,3,1.0,3.0,6.0,0.83820602269892,0.022034087429043937,5
8,3,1.0,4.0,6.0,0.7805466286360107,0.0355957845529193,5
8,3,1.0,5.0,6.0,0.7029013323425065,0.04251493154854467,5
8,3,1.0,6.0,6.0,0.6310240288062534,0.039159313014356045,5
8,3,1.0,7.0,6.0,0.5704370014547987,0.03422388597307735,5
8,3,1.0,8.0,6.0,0.5034083468708013,0.038312761893453354,5
8,3,1.0,9.0,6.0,0.4632878151498974,0.03102663019804668,5
8,3,1.0,10.0,6.0,0.423102345492656,0.02793233433842469,5
8,3,1.0,11.0,6.0,0.3907296534484094,0.025821285644050028,5
8,3,1.0,12.0,6.0,0.3547236803840267,0.018246943578542008,5
8,3,1.0,13.0,6.0,0.32940173517649096,0.017608039086337336,5
8,3,1.0,14.0,6.0,0.3043357354581296,0.024207002418602387,5
8,3,1.0,15.0,6.0,0.29069327580083604,0.01833483173339522,5
8,3,2.0,0.1,6.0,0.8443317636374508,0.016615461315787616,5
8,3,2.0,0.25,6.0,0.8457016951119731,0.017397003580893022,5
8,3,2.0,0.5,6.0,0.8461918112812867,0.017181358727046403,5
8,3,2.0,0.75,6.0,0.845438563919938,0.017010049413108796,5
8,3,2.0,1.0,6.0,0.8432708223063013,0.017387543554329345,5
8,3,2.0,2.0,6.0,0.8258480110279146,0.02115156704718264,5
8,3,2.0,3.0,6.0,0.789703402499456,0.029931271733661967,5
8,3,2.0,4.0,6.0,0.7414944660743826,0.03529218879900069,5
8,3,2.0,5.0,6.0,0.6760037024661507,0.040671901840952665,5
8,3,2.0,6.0,6.0,0.6142886386452546,0.04533367516168535,5
8,3,2.0,7.0,6.0,0.5505138940490426,0.03778650107214867,5
8,3,2.0,8.0,6.0,0.49856089607898674,0.03713203564562405,5
8,3,2.0,9.0,6.0,0.45533286339807066,0.031450865894949984,5
8,3,2.0,10.0,6.0,0.420720066031428,0.029166243129382673,5
8,3,2.0,11.0,6.0,0.38084498936422934,0.020732155527439323,5
8,3,2.0,12.0,6.0,0.3605584544056186,0.02456756171001001,5
8,3,2.0,13.0,6.0,0.32522638886048866,0.021805816501538,5
8,3,2.0,14.0,6.0,0.3071042313854215,0.01869263637516626,5
8,3,2.0,15.0,6.0,0.2871099380662191,0.01933387044562308,5
8,3,3.0,0.1,6.0,0.7882178450297,0.01048805262303385,5
8,3,3.0,0.25,6.0,0.7864007550509372,0.01351613825215674,5
8,3,3.0,0.5,6.0,0.7836957433575324,0.015248804392391024,5
8,3,3.0,0.75,6.0,0.7806380827242959,0.016570057250808578,5
8,3,3.0,1.0,6.0,0.7757097914123348,0.018110851931006054,5
8,3,3.0,2.0,6.0,0.7435515547218213,0.025544463684166675,5
8,3,3.0,3.0,6.0,0.7022528289340999,0.03072670428705928,5
8,3,3.0,4.0,6.0,0.6539357640273347,0.03768033455112598,5
8,3,3.0,5.0,6.0,0.6045188889747747,0.038170562348484004,5
8,3,3.0,6.0,6.0,0.5516442767538172,0.03533090782608801,5
8,3,3.0,7.0,6.0,0.5082437457633453,0.03886366329808137,5
8,3,3.0,8.0,6.0,0.4594462046314226,0.033610605054332644,5
8,3,3.0,9.0,6.0,0.4273246744286453,0.030468235724934012,5
8,3,3.0,10.0,6.0,0.39379288669628265,0.027893418750330013,5
8,3,3.0,11.0,6.0,0.36556826935088405,0.025903045689533343,5
8,3,3.0,12.0,6.0,0.333689926302016,0.020519955284608003,5
8,3,3.0,13.0,6.0,0.31542691870887335,0.019809077653894003,5
8,3,3.0,14.0,6.0,0.296236637287796,0.017275799142794,5
8,3,3.0,15.0,6.0,0.2750891465502959,0.015426986795470683,5
8,3,4.0,0.1,6.0,0.7424724542151252,-9.973662593998345e-05,5
8,3,4.0,0.25,6.0,0.7378781295281523,0.001443836995185821,5
8,3,4.0,0.5,6.0,0.7306417901575184,0.0029243987075908027,5
8,3,4.0,0.75,6.0,0.7213587631400744,0.004697412008775159,5
8,3,4.0,1.0,6.0,0.7091827249573627,0.006699171175110652,5
8,3,4.0,2.0,6.0,0.6517543308405733,0.0153861608232013,5
8,3,4.0,3.0,6.0,0.5946044124650186,0.02101641012969733,5
8,3,4.0,4.0,6.0,0.5501826304622787,0.02362879646607464,5
8,3,4.0,5.0,6.0,0.5098300941641174,0.026956942490948654,5
8,3,4.0,6.0,6.0,0.47437924519189467,0.030528182592764685,5
8,3,4.0,7.0,6.0,0.44110287470053866,0.02595735706294866,5
8,3,4.0,8.0,6.0,0.4107889371866307,0.02602728826895595,5
8,3,4.0,9.0,6.0,0.3798387777825306,0.02444487951458534,5
8,3,4.0,10.0,6.0,0.3568409860353654,0.024095719869419996,5
8,3,4.0,11.0,6.0,0.33435021889477196,0.018010494711074677,5
