L,N,nmax,filling,W_over_t,realizations,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
6,6,4,1.0,0.6,200,0.11553870172243014,0.11952848169284737,0.1143020414848671,0.12522559514389303
6,6,4,1.0,0.7,200,0.13434451243403298,0.1389794528497303,0.1329028423754243,0.145644369090002
6,6,4,1.0,0.8,200,0.1529644271958626,0.15824754725150736,0.15132062264515198,0.1658206141089301
6,6,4,1.0,0.9,200,0.17138526675279875,0.1773380801985942,0.16946505912399915,0.18584402291562158
6,6,4,1.0,1.0,200,0.18959745988166068,0.19620455486475197,0.18738072658908936,0.2057007994946697
6,6,4,1.0,1.1,200,0.20759462394893013,0.21481839983138634,0.2051906627649659,0.22533794212963212
6,6,4,1.0,1.2,200,0.2253732666957109,0.2332165275795106,0.22275496986678534,0.24472287503734694
6,6,4,1.0,1.3,200,0.24293221428856115,0.25146234239673004,0.24002318932981032,0.2638408160629107
6,6,4,1.0,1.4,200,0.2602724272541286,0.2694028737321758,0.25706214667708227,0.2828219154268857
6,6,4,1.0,1.5,200,0.2773963323741866,0.28711968955299505,0.27381488823756533,0.30163536643140665
6,6,4,1.0,1.6,200,0.29430762840150004,0.30468926041137734,0.29054106854706996,0.32021231202677
6,6,4,1.0,1.7,200,0.3110108860460202,0.32204798715058824,0.3069888655734235,0.33853760496937263
6,6,4,1.0,1.8,200,0.3275113249438255,0.3391050830825182,0.3231840728175395,0.35654288175105725
6,6,4,1.0,1.9,200,0.34381459249581514,0.3560768197206837,0.3389895008045957,0.3745377701227732
6,6,4,1.0,2.0,200,0.35992651408326426,0.37278226485687127,0.3548578048060174,0.39231317037179475
6,6,4,1.0,2.1,200,0.3758530144219157,0.3892940886494899,0.37055182902608086,0.40989493208159045
6,6,4,1.0,2.2,200,0.3916000218458362,0.40580583297509587,0.38583435360884566,0.42739505017029666
6,6,4,1.0,2.3,200,0.40717333431029173,0.4219516902163159,0.4010673996921217,0.44466519049728404
6,6,4,1.0,2.4,200,0.42257862033707405,0.43786244992395473,0.41593508748565633,0.46171466116116106
6,6,4,1.0,2.5,200,0.4378213223978653,0.4537238483075,0.4307305004012356,0.4787173537621404
6,6,5,1.0,0.1,200,0.017661925641808948,0.018221698928143744,0.017448065417948362,0.01902454500212749
6,6,5,1.0,0.2,200,0.03529201210609601,0.036474465716309426,0.03494344227503796,0.03810164426306716
6,6,5,1.0,0.3,200,0.05285946556443854,0.054650417349486835,0.05236190442544218,0.057042276877086726
6,6,5,1.0,0.4,200,0.07033535636816213,0.07274260641080366,0.06967449204980153,0.07592686293581238
6,6,5,1.0,0.5,200,0.087693545627203,0.09068341429731192,0.08681130850744005,0.09469689805117933
6,6,5,1.0,0.6,200,0.10491104945540153,0.10846524963633349,0.10389375567417596,0.11329450310073626
6,6,5,1.0,0.7,200,0.12196854116398476,0.1261475071539518,0.12076616382964779,0.1317162457147508
6,6,5,1.0,0.8,200,0.1388504529621828,0.14361350211145812,0.13742040407326542,0.15003664523376892
6,6,5,1.0,0.9,200,0.1555447778537612,0.16084759070007784,0.15396414527166957,0.16813703886284684
6,6,5,1.0,1.0,200,0.17204294137703038,0.17795706616813317,0.170265750704802,0.18601303848189332
6,6,5,1.0,1.1,200,0.18833945971525665,0.19482135827762784,0.18624729476507756,0.20375910767906982
6,6,5,1.0,1.2,200,0.20443153496661012,0.21139897913996003,0.20214367920004786,0.22125366552562384
6,6,5,1.0,1.3,200,0.22031858308912,0.227908789902796,0.21779997381789262,0.23843473736546528
6,6,5,1.0,1.4,200,0.236001888202637,0.24416591076098706,0.23324666281318826,0.25549796708158856
6,6,5,1.0,1.5,200,0.2514841688975441,0.2601399537838552,0.24859425253985978,0.27236272528131966
6,6,5,1.0,1.6,200,0.2667692128585036,0.276040388800114,0.26363317036523487,0.2890357260552585
6,6,5,1.0,1.7,200,0.28186170590746157,0.29166917556947847,0.27852934535711,0.3056169081315941
6,6,5,1.0,1.8,200,0.29676679526920546,0.30712182593990367,0.29317485249002906,0.32192229828778907
6,6,5,1.0,1.9,200,0.3114900292607462,0.32245662758906724,0.3075404424933298,0.3379243056844788
6,6,5,1.0,2.0,200,0.3260371215410133,0.33742708692511597,0.32177902649603396,0.3539305177948802
6,6,5,1.0,2.1,200,0.34041386937022455,0.35245861410764256,0.33573699322810735,0.3698479612561611
6,6,5,1.0,2.2,200,0.35462603304755735,0.3671218645632453,0.3497051331090763,0.38534550072301754
6,6,5,1.0,2.3,200,0.3686792379059443,0.38167856085703167,0.36333898563526074,0.4007707078524964
6,6,5,1.0,2.4,200,0.38257901078839474,0.3961578113498856,0.3769699630304152,0.4159040683447865
6,6,5,1.0,2.5,200,0.3963306183418817,0.41040501239676236,0.3902849537478239,0.4309579413430323
6,6,6,1.0,0.1,200,0.01714290532868107,0.017684585561351517,0.016867994648427937,0.0184638868946137
6,6,6,1.0,0.2,200,0.03425493615801225,0.03541791341913407,0.03380208127531702,0.0369680845101196
6,6,6,1.0,0.3,200,0.05130630620424302,0.053076669790022096,0.050656867791849636,0.055407544273450494
6,6,6,1.0,0.4,200,0.068269018633268,0.07064453813976555,0.067413806564895,0.07377359155849683
6,6,6,1.0,0.5,200,0.08511770766592262,0.08805668582718257,0.08402205223478171,0.09200453914875442
6,6,6,1.0,0.6,200,0.10183019565021716,0.1053477287996766,0.10055354226228189,0.11002695028316789
6,6,6,1.0,0.7,200,0.11838786040307243,0.12250277045974924,0.11684991769534356,0.12798618408740808
6,6,6,1.0,0.8,200,0.13477558255164898,0.13943815602079518,0.13297863696817916,0.14576275336679528
6,6,6,1.0,0.9,200,0.15098188694559864,0.15622268468221878,0.14894798671005666,0.16326847004878212
6,6,6,1.0,1.0,200,0.1669984777282898,0.1728285210812952,0.16463828641004882,0.18063830288379687
6,6,6,1.0,1.1,200,0.1828201034561358,0.1891773921599551,0.18019512034945648,0.19782037921027687
6,6,6,1.0,1.2,200,0.19844404209476127,0.20537890264940423,0.19565748451952264,0.21471064007044136
6,6,6,1.0,1.3,200,0.21386974844857523,0.2213906830229801,0.21070968798308473,0.2314891262354267
6,6,6,1.0,1.4,200,0.22909841707790854,0.23703167328547425,0.22579376674669935,0.24807654875603932
6,6,6,1.0,1.5,200,0.2441326483026562,0.25269463709477114,0.2405906629766758,0.2643831452392552
6,6,6,1.0,1.6,200,0.25897608524564236,0.2680754839358078,0.25513542530076,0.2806829746461553
6,6,6,1.0,1.7,200,0.27363313722411314,0.28324142101699135,0.26943926909742705,0.2967968518902
6,6,6,1.0,1.8,200,0.28810873895144423,0.2982919090160431,0.28356814000711134,0.3125463425401883
6,6,6,1.0,1.9,200,0.30240820157122567,0.3130186480859981,0.29765163679378426,0.32820799938503764
6,6,6,1.0,2.0,200,0.31653696029812567,0.32776778224828773,0.31144735086404846,0.3437057213743827
6,6,6,1.0,2.1,200,0.3305005466333868,0.34225696492749097,0.32515417496732063,0.35900561970739436
6,6,6,1.0,2.2,200,0.3443044758963935,0.3565935747988619,0.3384944929076259,0.37429596948516575
6,6,6,1.0,2.3,200,0.35795411609198224,0.37075842676450127,0.3518383689060591,0.38937541837668066
6,6,6,1.0,2.4,200,0.3714547572536597,0.384711911400386,0.3648838276811241,0.4043014172860483
6,6,6,1.0,2.5,200,0.38481147870949567,0.3986932237486892,0.37789916150475705,0.41895809954560487
