L,N,nmax,filling,W_over_t,realizations,U_points,entropy_peak_method,U_S_loess_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,unresolved_reasons
6,6,4,1.0,0.4,200,41,weighted_loess_quadratic,0.16402453220171165,0.164,0.16238570725427817,0.16243583209262513,0.16402453220171165,0.16397327043543847,0.15185485389053938,0.17376827337449402,1.0,0.021913419483954644,0.012500000000000011,True,False,0.15,0.175,0.0005644744298142074,7.141582924759426e-05,7.904052025457961,-0.0737219453453915,
6,6,4,1.0,0.5,200,41,weighted_loess_quadratic,0.15692178950991287,0.157,0.15841889398395187,0.15305026492205734,0.15692178950991287,0.15698592109499532,0.14687333381094572,0.16979925213622754,1.0,0.02292591832528182,0.012500000000000011,True,False,0.15,0.175,0.00041884547281630433,6.899287018441649e-05,6.070851548815685,-0.19695388834312197,
6,6,4,1.0,0.6,200,41,weighted_loess_quadratic,0.14239191322558695,0.14200000000000002,0.137389917625187,0.1389047834239784,0.14239191322558695,0.14236045089201602,0.12335348908185075,0.15880300164874733,1.0,0.03544951256689659,0.012500000000000011,True,False,0.125,0.15,0.00030894815011544007,7.177380371192306e-05,4.304469515862062,-0.0626141882533928,
6,6,4,1.0,0.7,200,41,weighted_loess_quadratic,0.13710395033888823,0.137,0.13279790396371788,0.1359428554082906,0.13710395033888823,0.13720178801059563,0.1175086773656284,0.15881929346699636,1.0,0.041310616101367964,0.012500000000000011,True,False,0.1,0.15,0.0002388556836055661,6.416368368786826e-05,3.7225992941350983,-0.18101757008078753,
6,6,4,1.0,0.8,200,41,weighted_loess_quadratic,0.13238618430528284,0.132,0.12959981980067065,0.13206608028291877,0.13238618430528284,0.13245516806386437,0.10911599917439829,0.15703127954623441,1.0,0.04791528037183612,0.012500000000000011,True,False,0.125,0.125,0.000223211578964837,6.728581474942548e-05,3.317364585627506,-0.07104887995516934,
6,6,4,1.0,0.9,200,41,weighted_loess_quadratic,0.13586131868534645,0.136,0.13395704096293432,0.13560099088011404,0.13586131868534645,0.13591515956783545,0.1223720795611634,0.14975803472062027,1.0,0.027385955159456868,0.012500000000000011,True,False,0.125,0.15,0.00029538478607253724,7.668798587084463e-05,3.8517739476169646,-0.09484076742038405,
6,6,4,1.0,1.0,200,41,weighted_loess_quadratic,0.1476901859973261,0.148,0.14454638175559054,0.145870581340628,0.1476901859973261,0.14767649578958086,0.12953104466159385,0.1618731094790896,1.0,0.03234206481749574,0.012500000000000011,True,False,0.15,0.15,0.0004448276793703243,9.757986027553192e-05,4.558601315007873,-0.2510108810906951,
6,6,4,1.0,1.1,200,41,weighted_loess_quadratic,0.15485113080807572,0.155,0.15618967844769355,0.15190732154627182,0.15485113080807572,0.1549931816775891,0.1417553628839305,0.17104022015399228,1.0,0.029284857270061776,0.012500000000000011,True,False,0.15,0.175,0.0004940187797245493,0.00011308838327988605,4.368430827257353,-0.13856377349288607,
6,6,4,1.0,1.2,200,41,weighted_loess_quadratic,0.1515985753525818,0.151,0.15274659521971676,0.15409971261600486,0.1515985753525818,0.15218718280992194,0.13191865525327207,0.17131949239619546,1.0,0.03940083714292339,0.012500000000000011,True,False,0.125,0.15,0.0006157619896691507,0.0001448366903714169,4.251422675360093,-0.2040679438535444,
6,6,4,1.0,1.3,200,41,weighted_loess_quadratic,0.17408125299766594,0.17400000000000002,0.17133923919614782,0.17078396324106682,0.17408125299766594,0.1742510901295427,0.15534573493481768,0.19121421902259847,1.0,0.03586848408778079,0.012500000000000011,True,False,0.175,0.175,0.0008717075578100314,0.00019558471583395895,4.456930870559768,-0.3143898359342236,
