L,N,nmax,W_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,peak_resolved,unresolved_reasons
7,4,4,1.4,0.325,0.332512633753303,0.3324188993765405,0.3324188993765405,0.3323149698229879,0.3241567670922421,0.3412564372122177,True,
7,4,4,1.5,0.35,0.3374593669491517,0.3366118156208029,0.3366118156208029,0.3368538925289492,0.3256452484833224,0.3468109605430346,True,
7,4,4,1.6,0.35,0.348752074829926,0.3491365420014053,0.3491365420014053,0.3489344330705237,0.3375890386749312,0.361495054902152,True,
7,4,4,1.7,0.35,0.3472406965595653,0.3480651186267859,0.3480651186267859,0.3474583927375124,0.3331554733218331,0.3619196570949192,True,
7,4,4,1.8,0.35,0.3542318178320676,0.3543958875301108,0.3543958875301108,0.3541098639348227,0.3390737444757617,0.3701175403805021,True,
7,4,4,1.9,0.375,0.3719221502844134,0.3678203439656814,0.3678203439656814,0.3675092427628929,0.346294639523331,0.386684616057842,True,
7,4,4,2.0,0.375,0.3718974311424116,0.3707334393292747,0.3707334393292747,0.3705675178479462,0.3531438653195989,0.3891766137987456,True,
7,4,4,2.1,0.375,0.3719300546976478,0.382877925868532,0.382877925868532,,0.3589193773917101,0.4064802861531491,False,wide_plateau
7,4,4,2.2,0.375,0.3785134879748895,0.3785703965929524,0.3785703965929524,0.3783095294822724,0.358530559689389,0.3943100427111831,True,
7,4,4,2.3,0.375,0.384152483272405,0.385342920121566,0.385342920121566,0.3853155048790386,0.3585306875086769,0.4088112552964848,True,
7,4,4,2.4,0.375,0.3796109228207823,0.3802895411497313,0.3802895411497313,0.3801813073408951,0.3672170512610542,0.3952964728723935,True,
7,4,4,2.5,0.375,0.3842977255239314,0.3844855219198652,0.3844855219198652,0.3845326775893057,0.3679607460155041,0.4002334125047262,True,
7,5,5,0.1,0.275,0.2752311677365782,0.274527519227359,0.274527519227359,0.2745538797928309,0.2709023432374877,0.2779082940951056,True,
7,5,5,0.2,0.25,0.2474026735717173,0.2471576381824558,0.2471576381824558,0.2471619399889406,0.2432641519626822,0.2508823630413395,True,
7,5,5,0.3,0.225,0.2361059998192007,0.2361568274052703,0.2361568274052703,0.2362228230497011,0.2327007332455747,0.2402049684183952,True,
7,5,5,0.4,0.225,0.2357733582846985,0.2353347403139021,0.2353347403139021,0.2352930760366833,0.2320071828075354,0.2385309905472847,True,
7,5,5,0.5,0.225,0.2355404158672592,0.2358005747019474,0.2358005747019474,0.2357286434957152,0.2326992532843218,0.2388796931615434,True,
7,5,5,0.6,0.25,0.2398504236313922,0.240243417165645,0.240243417165645,0.2398098277382668,0.2367213282512582,0.2439759208307974,True,
7,5,5,0.7,0.25,0.2471401218336376,0.247118027393039,0.247118027393039,0.2471315537717632,0.2435285681643548,0.2504215211505881,True,
7,5,5,0.8,0.25,0.2520796006484531,0.2518460723250116,0.2518460723250116,0.2517797207427036,0.2482006361871066,0.2555064639328682,True,
7,5,5,0.9,0.25,0.2570610033286206,0.2571738685988564,0.2571738685988564,0.2571133240328281,0.2539341321540714,0.2605880208955094,True,
7,5,5,1.0,0.275,0.2657326763643092,0.2658876690245155,0.2658876690245155,0.2657910435717321,0.2617001856177363,0.2705714769214255,True,
7,5,5,1.1,0.275,0.2738276686271196,0.2734257933411173,0.2734257933411173,0.2733407506460634,0.2687875769188884,0.2779522222674924,True,
7,5,5,1.2,0.275,0.2828760380217284,0.2821816879770086,0.2821816879770086,0.2821428442246555,0.2773546162810592,0.2870115851940657,True,
7,5,5,1.3,0.3,0.2904942428286706,0.2901844686193943,0.2901844686193943,0.2900894231302394,0.2847608259772889,0.2958377940888502,True,
7,5,5,1.4,0.3,0.2965397883146536,0.2967164885608822,0.2967164885608822,0.2966114276979927,0.290515930018647,0.3031423884473527,True,
7,5,5,1.5,0.3,0.3034710701501765,0.3032353992933744,0.3032353992933744,0.3032345329274913,0.2966849209991015,0.3098546703395969,True,
7,5,5,1.6,0.3,0.3085217961578359,0.3084899379135215,0.3084899379135215,0.3083431455016009,0.3015043599645695,0.3158361197099389,True,
7,5,5,1.7,0.325,0.3139101118005968,0.3142762058510249,0.3142762058510249,0.3141449726560698,0.3074579862070937,0.3216945385687444,True,
7,5,5,1.8,0.325,0.3220959619263959,0.3219349254761058,0.3219349254761058,0.32175861352578,0.313449523822767,0.330290931591607,True,
7,5,5,1.9,0.325,0.3283941996981186,0.3283223656226487,0.3283223656226487,0.328331636857311,0.3205913041044839,0.3358284764476209,True,
7,5,5,2.0,0.325,0.3307783581253746,0.3311993647638498,0.3311993647638498,0.3312370789865264,0.324085931385375,0.3383722506411127,True,
7,5,5,2.1,0.325,0.3354168996982039,0.3349251641742625,0.3349251641742625,0.3349935025841555,0.3279152088870195,0.3432512680347559,True,
7,5,5,2.2,0.325,0.3381702368867706,0.3397152842561887,0.3397152842561887,0.3398668283366988,0.3311623541938328,0.3492674562787832,True,
7,5,5,2.3,0.35,0.3558012707065339,0.355793986769409,0.355793986769409,0.3558523048444686,0.3452330203619152,0.366314207158637,True,
7,5,5,2.4,0.35,0.3601912105389673,0.358422912614936,0.358422912614936,0.3586977988268907,0.3468407974795348,0.3692716989814262,True,
7,5,5,2.5,0.375,0.3640577380058672,0.3643101711413755,0.3643101711413755,0.3644068611503165,0.3540310279843096,0.3749399113064906,True,
7,6,6,0.1,0.25,0.2467488084127261,0.247742315429323,0.247742315429323,0.2477334394393024,0.2449591453156134,0.2503497356055518,True,
7,6,6,0.2,0.225,0.2204235565582433,0.2209460702059217,0.2209460702059217,0.2209022592706754,0.2164927616066032,0.2239699786454252,True,
7,6,6,0.3,0.2,0.2115154680371162,0.2112058901073993,0.2112058901073993,0.2112061085074741,0.2092632903119868,0.2131920042280816,True,
7,6,6,0.4,0.2,0.2085400499715115,0.2084953307802435,0.2084953307802435,0.2085108169787679,0.2065873871321431,0.2103003546281422,True,
7,6,6,0.5,0.2,0.2101144506640626,0.2098422275416315,0.2098422275416315,0.2098242478632409,0.2080009649783557,0.2116896564469626,True,
7,6,6,0.6,0.2,0.2131136063451576,0.2127976198627069,0.2127976198627069,0.2127918502135294,0.2109770905183222,0.2146170544086664,True,
7,6,6,0.7,0.2,0.2155046171582481,0.2153233563636638,0.2153233563636638,0.2153372224260306,0.2133822697928794,0.2182956247491843,True,
7,6,6,0.8,0.225,0.2209340286805716,0.2206641067537706,0.2206641067537706,0.2206518873185061,0.2179310580444222,0.2231179202112151,True,
7,6,6,0.9,0.225,0.2267678580926884,0.2264419889852526,0.2264419889852526,0.2264664087576827,0.2237132111165312,0.2290061910356789,True,
7,6,6,1.0,0.225,0.2321201754097089,0.2321035211096015,0.2321035211096015,0.2321015294495404,0.2291566599940812,0.2348709214185527,True,
7,6,6,1.1,0.225,0.2386195596229344,0.238492061013472,0.238492061013472,0.2385065365735102,0.2352972055956453,0.2420544723740243,True,
7,6,6,1.2,0.25,0.2455194781239643,0.2454629764133914,0.2454629764133914,0.2454763450450761,0.2411200667045312,0.2496613571262284,True,
7,6,6,1.3,0.25,0.2526554088327467,0.2527750828838213,0.2527750828838213,0.2527558658451813,0.2485015251886039,0.2570219910061479,True,
7,6,6,1.4,0.25,0.259274874352688,0.2591533807875435,0.2591533807875435,0.2591432194214844,0.2547321785433415,0.2636078928558422,True,
7,6,6,1.5,0.275,0.2655094319602149,0.2656853507230442,0.2656853507230442,0.2656288095959361,0.2605165802137167,0.2712289300767342,True,
7,6,6,1.6,0.275,0.2724240756959623,0.2723578505750664,0.2723578505750664,0.2722796324640609,0.266872382906341,0.277572193932134,True,
7,6,6,1.7,0.275,0.2786230126231873,0.2784369328750401,0.2784369328750401,0.2783979115857722,0.2729914750435026,0.2838489418091268,True,
7,6,6,1.8,0.275,0.2855678224988964,0.2858318512170812,0.2858318512170812,0.2858535387957581,0.2798678600235665,0.2923116324479953,True,
7,6,6,1.9,0.3,0.2947688363963565,0.2944646886961953,0.2944646886961953,0.2945195480385609,0.287690329048867,0.3014798385594209,True,
7,6,6,2.0,0.3,0.3010011536665907,0.3013476462726807,0.3013476462726807,0.3013246721213399,0.2936316814145029,0.3089423200785868,True,
7,6,6,2.1,0.3,0.3071483499417696,0.3070366251929191,0.3070366251929191,0.3070369683744092,0.2998141713076591,0.3149238644529902,True,
7,6,6,2.2,0.325,0.3148904520832142,0.3153283546665082,0.3153283546665082,0.3152328784984697,0.3069091718559632,0.3244332890911166,True,
7,6,6,2.3,0.325,0.3251363486856014,0.324753720868718,0.324753720868718,0.3246807811645359,0.3150567499875369,0.3347750484907801,True,
7,6,6,2.4,0.325,0.3285027392810509,0.3284895619733156,0.3284895619733156,0.3283743933535924,0.3201911505222279,0.3370299620275312,True,
7,6,6,2.5,0.325,0.3378186385245971,0.337651133237419,0.337651133237419,0.3376718939816395,0.3290745615136408,0.3466344927278779,True,
7,7,7,0.1,0.2,0.2052815575184592,0.2053670724289023,0.2053670724289023,0.2053740078545622,0.2041742624434514,0.2065559786733332,True,
7,7,7,0.2,0.175,0.1904363713508947,0.1902825813906539,0.1902825813906539,0.1902757798829077,0.1891019863253273,0.1930836300476175,True,
7,7,7,0.3,0.175,0.184852797117543,0.1845587647926989,0.1845587647926989,0.1845609239338022,0.1831681398270002,0.1859020830148437,True,
7,7,7,0.4,0.175,0.1824605394903093,0.1821715692007427,0.1821715692007427,0.1821875346785631,0.1807757363424018,0.1835683294232611,True,
7,7,7,0.5,0.175,0.1834111192873281,0.182871046004141,0.182871046004141,0.1828635056942497,0.1815377050955814,0.1842845919927412,True,
7,7,7,0.6,0.175,0.1856869724693438,0.1851503194328515,0.1851503194328515,0.1851468875192613,0.1837436479079951,0.1865983976280052,True,
7,7,7,0.7,0.175,0.188249352224576,0.18776041566286,0.18776041566286,0.187743194109387,0.1863714103661621,0.1891065243941206,True,
7,7,7,0.8,0.175,0.1910433689902531,0.1906409279900772,0.1906409279900772,0.1906318366587658,0.189142596044231,0.1933593953938809,True,
7,7,7,0.9,0.2,0.1970623020667102,0.1965345547958956,0.1965345547958956,0.1965160905120949,0.1940910072270781,0.1988196794114258,True,
7,7,7,1.0,0.2,0.2023040592127017,0.2019872111896474,0.2019872111896474,0.2019465419825955,0.1993590318478746,0.2044671921347697,True,
7,7,7,1.1,0.2,0.2075516506084439,0.207267051655001,0.207267051655001,0.2072232692996016,0.2044504251301239,0.2099980956518199,True,
7,7,7,1.2,0.2,0.2132111744941695,0.2128118952316378,0.2128118952316378,0.2127605687236352,0.2098760882340739,0.2161059760985922,True,
7,7,7,1.3,0.225,0.2193861287252782,0.2192858543566826,0.2192858543566826,0.2191961347547684,0.2149055069496329,0.2231830024013062,True,
7,7,7,1.4,0.225,0.2261974369382809,0.2260754172712958,0.2260754172712958,0.2259536722860635,0.2217737011991444,0.2301371631540634,True,
7,7,7,1.5,0.225,0.2328724515472472,0.2327806384959404,0.2327806384959404,0.2326907282389075,0.2282547937137204,0.237056951915895,True,
7,7,7,1.6,0.25,0.2390085858380493,0.2388586218339819,0.2388586218339819,0.2388173337133451,0.234313430541551,0.244074260025238,True,
7,7,7,1.7,0.25,0.2458614482999169,0.2457515854429319,0.2457515854429319,0.2457544146115854,0.2401540770584453,0.251060615699578,True,
7,7,7,1.8,0.25,0.2530693055853096,0.2529152645532496,0.2529152645532496,0.2529387727341761,0.2473009896472894,0.2584163597103399,True,
7,7,7,1.9,0.25,0.2598633410290463,0.2596475678833668,0.2596475678833668,0.259643128109487,0.2538904374908263,0.2650651089997408,True,
7,7,7,2.0,0.275,0.2661000456682449,0.2663494648336547,0.2663494648336547,0.2663122979706331,0.2602313872117954,0.2730223905777212,True,
7,7,7,2.1,0.275,0.275252843420448,0.2748892268678306,0.2748892268678306,0.2748584236307952,0.2682006835128336,0.281472048032467,True,
7,7,7,2.2,0.275,0.2827334541713189,0.2826104768282753,0.2826104768282753,0.2826368592508707,0.2755930082832323,0.2896922808117657,True,
7,7,7,2.3,0.3,0.2891951698792152,0.2896990436144997,0.2896990436144997,0.2895667776482634,0.2824277334587445,0.2974389011983466,True,
7,7,7,2.4,0.3,0.2971285468767282,0.2968905758966251,0.2968905758966251,0.2969301022891835,0.2891746447028693,0.3043824499934012,True,
7,7,7,2.5,0.3,0.304043706735371,0.3043610718098136,0.3043610718098136,0.3044629931613977,0.2969712562526507,0.3119554580116803,True,
