L,N,nmax,filling,fixed_W,observable,U_at_maximum,maximum_value,U_at_max_Wstar,delta_U_maximum_minus_Wstar
8,4,4,0.5,1.0,fock_entropy_normalized,1.0,0.8556195327070532,2.0,-1.0
8,4,4,0.5,1.0,pr_normalized,1.0,0.28555386609552,2.0,-1.0
8,4,4,0.5,1.0,Nres_mean_l1.0,1.0,2.8899797979799335,2.0,-1.0
8,4,4,0.5,1.0,Nres_mean_l2.0,1.0,4.946545454545399,2.0,-1.0
8,4,4,0.5,1.0,fres_l1.0,1.0,0.49671527777781327,2.0,-1.0
8,4,4,0.5,1.0,fres_l2.0,1.0,0.8501874999996666,2.0,-1.0
8,5,4,0.625,1.0,onsite_pair_density,1.0,0.48526253859316,1.0,0.0
8,5,4,0.625,1.0,onsite_pair_variance,1.0,4.991446177360601,1.0,0.0
8,5,4,0.625,1.0,charge_fluctuation,1.0,0.71131995799082,1.0,0.0
8,5,4,0.625,1.0,fock_entropy_normalized,1.0,0.8706528663683731,1.0,0.0
8,5,4,0.625,1.0,pr_normalized,1.0,0.2717046018035733,1.0,0.0
8,5,4,0.625,1.0,Nres_mean_l1.0,1.0,3.0746938775508,1.0,0.0
8,5,4,0.625,1.0,Nres_mean_l2.0,1.0,5.4133843537412,1.0,0.0
8,5,4,0.625,1.0,fres_l1.0,1.0,0.4593292682926533,1.0,0.0
8,5,4,0.625,1.0,fres_l2.0,1.0,0.80870680894312,1.0,0.0
8,6,4,0.75,1.0,onsite_pair_density,1.0,0.7165765139461133,1.0,0.0
8,6,4,0.75,1.0,onsite_pair_variance,1.0,7.172572704633334,1.0,0.0
8,6,4,0.75,1.0,charge_fluctuation,1.0,0.8966635927103065,1.0,0.0
8,6,4,0.75,1.0,fock_entropy_normalized,1.0,0.8827756284688998,1.0,0.0
8,6,4,0.75,1.0,pr_normalized,1.0,0.2666720935803134,1.0,0.0
8,6,4,0.75,1.0,Nres_mean_l1.0,1.0,3.322389023405867,1.0,0.0
8,6,4,0.75,1.0,Nres_mean_l2.0,1.0,5.8275060532686,1.0,0.0
8,6,4,0.75,1.0,fres_l1.0,1.0,0.4455021645022,1.0,0.0
8,6,4,0.75,1.0,fres_l2.0,1.0,0.7814155844155467,1.0,0.0
8,7,4,0.875,1.0,onsite_pair_density,1.0,0.9792546130578199,2.0,-1.0
8,7,4,0.875,1.0,onsite_pair_variance,1.0,9.2446970193668,2.0,-1.0
8,7,4,0.875,1.0,charge_fluctuation,1.0,1.0823205350092666,2.0,-1.0
8,7,4,0.875,1.0,fock_entropy_normalized,1.0,0.8925200974357733,2.0,-1.0
8,7,4,0.875,1.0,pr_normalized,1.0,0.26662252015812005,2.0,-1.0
8,7,4,0.875,1.0,Nres_mean_l1.0,1.0,3.4902459711620666,2.0,-1.0
8,7,4,0.875,1.0,Nres_mean_l2.0,1.0,6.179885496182534,2.0,-1.0
8,7,4,0.875,1.0,fres_l1.0,1.0,0.42972013366748,2.0,-1.0
8,7,4,0.875,1.0,fres_l2.0,1.0,0.7608693609022333,2.0,-1.0
8,8,4,1.0,1.0,onsite_pair_density,1.0,1.2613323068565998,2.0,-1.0
8,8,4,1.0,1.0,onsite_pair_variance,1.0,10.767731233629334,2.0,-1.0
8,8,4,1.0,1.0,charge_fluctuation,1.0,1.255887852267,2.0,-1.0
8,8,4,1.0,1.0,fock_entropy_normalized,1.0,0.9006607398015202,2.0,-1.0
8,8,4,1.0,1.0,pr_normalized,1.0,0.27117322342745337,2.0,-1.0
8,8,4,1.0,1.0,Nres_mean_l1.0,1.0,3.6501990867575995,2.0,-1.0
8,8,4,1.0,1.0,Nres_mean_l2.0,1.0,6.458871232876801,2.0,-1.0
8,8,4,1.0,1.0,fres_l1.0,1.0,0.4197085013441067,2.0,-1.0
8,8,4,1.0,1.0,fres_l2.0,1.0,0.7426562499999266,2.0,-1.0
8,4,4,0.5,2.0,onsite_pair_density,1.0,0.29148885009107334,2.0,-1.0
8,4,4,0.5,2.0,onsite_pair_variance,1.0,3.4998454183158674,2.0,-1.0
8,4,4,0.5,2.0,charge_fluctuation,1.0,0.5202735665627334,2.0,-1.0
8,4,4,0.5,2.0,fock_entropy_normalized,1.0,0.8351421867755999,2.0,-1.0
8,4,4,0.5,2.0,pr_normalized,1.0,0.24348926243118665,2.0,-1.0
8,4,4,0.5,2.0,Nres_mean_l1.0,1.0,2.232121212121266,2.0,-1.0
8,4,4,0.5,2.0,Nres_mean_l2.0,1.0,4.032888888888533,2.0,-1.0
8,4,4,0.5,2.0,fres_l1.0,1.0,0.38364583333336666,2.0,-1.0
8,4,4,0.5,2.0,fres_l2.0,1.0,0.6931527777777867,2.0,-1.0
8,5,4,0.625,2.0,onsite_pair_density,1.0,0.48830899579854664,1.0,0.0
8,5,4,0.625,2.0,onsite_pair_variance,1.0,5.908437209961133,1.0,0.0
8,5,4,0.625,2.0,charge_fluctuation,1.0,0.70319997952864,1.0,0.0
8,5,4,0.625,2.0,fock_entropy_normalized,1.0,0.8547240103040333,1.0,0.0
8,5,4,0.625,2.0,pr_normalized,1.0,0.23464500997458004,1.0,0.0
8,5,4,0.625,2.0,Nres_mean_l1.0,1.0,2.5383843537419337,1.0,0.0
8,5,4,0.625,2.0,Nres_mean_l2.0,1.0,4.582959183673466,1.0,0.0
8,5,4,0.625,2.0,fres_l1.0,1.0,0.3792098577236133,1.0,0.0
8,5,4,0.625,2.0,fres_l2.0,1.0,0.6846493902439332,1.0,0.0
8,6,4,0.75,2.0,onsite_pair_density,1.0,0.72093521607482,1.0,0.0
8,6,4,0.75,2.0,onsite_pair_variance,1.0,8.2860204314568,1.0,0.0
8,6,4,0.75,2.0,charge_fluctuation,1.0,0.8908837474161866,1.0,0.0
8,6,4,0.75,2.0,fock_entropy_normalized,1.0,0.8700468752268534,1.0,0.0
8,6,4,0.75,2.0,pr_normalized,1.0,0.23299744460441332,1.0,0.0
