L,N,nmax,filling,U,W,dim,observable,entropy_mean,entropy_stderr,pr_normalized_mean,pr_normalized_stderr,onsite_pair_density_mean,onsite_pair_density_stderr,n_realizations
9,7,2,0.7777777777777778,6.0,7.0,2304,fock_entropy_normalized,0.43139236433704337,0.003856287214389771,0.006794701156061766,0.0002344890003711369,0.44106420033372673,0.00016077712342765918,300
9,7,2,0.7777777777777778,6.0,8.0,2304,fock_entropy_normalized,0.40263365885727664,0.0036890218426642255,0.0056237227447021665,0.00016637550293905598,0.43903937517931,0.0001739241206000759,300
9,7,2,0.7777777777777778,6.0,9.0,2304,fock_entropy_normalized,0.37107859831327,0.0034112479571307423,0.004584914466053234,0.00013695486137815048,0.4371211853611,0.00018243772406222,300
9,7,2,0.7777777777777778,6.0,10.0,2304,fock_entropy_normalized,0.35043490180195,0.0036463787676542154,0.004074103592345366,0.00017917943715793638,0.4356805639454566,0.0002021894315676373,300
9,7,2,0.7777777777777778,7.0,1.0,2304,fock_entropy_normalized,0.8083217414422268,0.0004138348019491547,0.12384454345562332,0.0005320591634948377,0.44338762567147344,4.0901958212199315e-06,300
9,7,2,0.7777777777777778,7.0,2.0,2304,fock_entropy_normalized,0.74172865923985,0.002048037891327611,0.069399767227768,0.001219925485783731,0.4430539402141199,1.8581731110691817e-05,300
9,7,2,0.7777777777777778,7.0,3.0,2304,fock_entropy_normalized,0.6347712926027833,0.0039175695031481335,0.031313935276262334,0.0010064906169119558,0.44408708056852664,4.201417527415193e-05,300
9,7,2,0.7777777777777778,7.0,4.0,2304,fock_entropy_normalized,0.5334371561737633,0.0042982527073664725,0.015017046342589966,0.0006981182415405385,0.4449709209870567,3.9030792878955495e-05,300
9,7,2,0.7777777777777778,7.0,5.0,2304,fock_entropy_normalized,0.4651158840212967,0.004243153304394565,0.0090302962435869,0.0004515080611224272,0.44499551193166337,5.806076877963179e-05,300
9,7,2,0.7777777777777778,7.0,6.0,2304,fock_entropy_normalized,0.41773541245413,0.004227600913027309,0.006459040991303333,0.00030356617642517353,0.4443600256515766,8.504885100703989e-05,300
9,7,2,0.7777777777777778,7.0,7.0,2304,fock_entropy_normalized,0.37841318640017996,0.0037852788006540756,0.004813626399794933,0.0001906772705792226,0.4431050205410733,0.00012998586715399905,300
9,7,2,0.7777777777777778,7.0,8.0,2304,fock_entropy_normalized,0.3548449739823533,0.0035103327861417347,0.004065186965104167,0.00014006938366307908,0.44148205569694,0.0001578197263383143,300
9,7,2,0.7777777777777778,7.0,9.0,2304,fock_entropy_normalized,0.3364878385938434,0.0032193308323006944,0.0035967342160314994,0.0001074507015170692,0.43989408913865663,0.00017987169762682782,300
9,7,2,0.7777777777777778,7.0,10.0,2304,fock_entropy_normalized,0.31546553483058337,0.0030322829145665886,0.0030846585469013334,9.196705961433541e-05,0.43820106308875334,0.0001986321382484319,300
9,7,2,0.7777777777777778,8.0,1.0,2304,fock_entropy_normalized,0.8017341602249033,0.0004275104437184506,0.11782380940459132,0.0005167222705089822,0.44364800413589667,5.404434226477487e-07,300
9,7,2,0.7777777777777778,8.0,2.0,2304,fock_entropy_normalized,0.7321570653188132,0.0020428811223038128,0.063928311817565,0.001173637619242786,0.4435435537063167,1.0322257179576421e-05,300
9,7,2,0.7777777777777778,8.0,3.0,2304,fock_entropy_normalized,0.6260057722543233,0.004027012538866613,0.029853994043719703,0.001023735228900901,0.4441424058081533,3.67960170062252e-05,300
