L,N,nmax,U,W,gamma,kappa,S2_model_over_lnD,data_entropy,data_lnPR_over_lnD_available
9,8,2,4.0,4.0,1.0,1.402543907460171,0.859830780331754,0.7485754376501667,False
9,8,2,5.0,4.0,1.0,2.044092758584343,0.7217799173825615,0.6676819467369532,False
9,8,2,6.0,4.0,1.0,2.525820852618264,0.6146107472081991,0.6043728839704934,False
9,8,2,7.0,4.0,1.0,2.8999522237105255,0.5396849212070567,0.5474265306748566,False
9,8,2,8.0,4.0,1.0,3.207305607978536,0.48642244253000205,0.5145108323189034,False
9,8,2,9.0,4.0,1.0,3.469378710489382,0.44744973949409345,0.49715092573132336,False
9,8,2,10.0,4.0,1.0,3.698515228347667,0.41816076429973364,0.4725239617653233,False
9,8,2,1.0,5.0,1.0,-0.0,1.0,0.7671089802140467,False
9,8,2,2.0,5.0,1.0,0.20859138744682262,0.9970584469572552,0.7509370214501467,False
9,8,2,3.0,5.0,1.0,0.5247992826580158,0.9807195069713001,0.7438598441135167,False
9,8,2,4.0,5.0,1.0,0.9837813498077101,0.930569608338462,0.6953692135896367,False
9,8,2,5.0,5.0,1.0,1.6092746701692835,0.8180318474900501,0.6244940018233534,False
9,8,2,6.0,5.0,1.0,2.2060105194439945,0.6850629640759381,0.5501441124001233,False
9,8,2,7.0,5.0,1.0,2.6505751314787007,0.5885332060492519,0.48654889285930003,False
9,8,2,8.0,5.0,1.0,2.9963200971479274,0.5221225229915837,0.44856029688205334,False
9,8,2,9.0,5.0,1.0,3.281431520796725,0.47479509581526436,0.42623097940126004,False
9,8,2,10.0,5.0,1.0,3.5255731655776525,0.43986174965159813,0.40581641623061,False
9,8,2,1.0,6.0,1.0,-0.0,1.0,0.6784972044308599,False
9,8,2,2.0,6.0,1.0,0.1619272679316955,0.9982383852505873,0.6864166985489333,False
9,8,2,3.0,6.0,1.0,0.39691926822704837,0.9891075079729301,0.6678713175085433,False
9,8,2,4.0,6.0,1.0,0.7198294940657395,0.96320201976052,0.6339337179457932,False
9,8,2,5.0,6.0,1.0,1.1721301845208267,0.9013925145146728,0.5718640007148132,False
9,8,2,6.0,6.0,1.0,1.773134908060775,0.7826684606140136,0.4980029612230667,False
9,8,2,7.0,6.0,1.0,2.335344253036694,0.6560860245854766,0.4468382684930734,False
9,8,2,8.0,6.0,1.0,2.7512374130145334,0.5682533971539038,0.40312386864757666,False
9,8,2,9.0,6.0,1.0,3.0747227208310552,0.5084095399214363,0.3711635254681333,False
9,8,2,10.0,6.0,1.0,3.3420919947558114,0.4656355794499825,0.36026949826401,False
9,8,2,1.0,7.0,1.0,-0.0,1.0,0.5906958771812967,False
9,8,2,2.0,7.0,1.0,0.1315856458008709,0.9988415811720649,0.6127672930151133,False
9,8,2,3.0,7.0,1.0,0.3167759903889917,0.9931240847287448,0.58986857070873,False
9,8,2,4.0,7.0,1.0,0.5600494986713279,0.9779760961390822,0.5733028655194601,False
9,8,2,5.0,7.0,1.0,0.8835042950528664,0.9441451406308905,0.5216315372449867,False
9,8,2,6.0,7.0,1.0,1.3282531483042501,0.8738734400754751,0.4602251791769033,False
9,8,2,7.0,7.0,1.0,1.908826415552748,0.7524063471624172,0.40231328014337664,False
9,8,2,8.0,7.0,1.0,2.4434719145743626,0.6323257210586414,0.36907836382720666,False
9,8,2,9.0,7.0,1.0,2.8364412540393955,0.5516736501222859,0.33327534310936663,False
9,8,2,10.0,7.0,1.0,3.1419110782977406,0.49707703997108943,0.32197078121804334,False
9,8,2,1.0,8.0,1.0,-0.0,1.0,0.5353891052038067,False
9,8,2,2.0,8.0,1.0,0.11046006883188296,0.9991861126061511,0.5432642102243034,False
9,8,2,3.0,8.0,1.0,0.2625325849152749,0.9953081519141046,0.53935839508248,False
9,8,2,4.0,8.0,1.0,0.4559424737397623,0.9855400838871896,0.5191000740753333,False
9,8,2,5.0,8.0,1.0,0.7019020198594126,0.9650498406505343,0.47724140862033343,False
9,8,2,6.0,8.0,1.0,1.023860598724153,0.9247539100412807,0.42413181891571006,False
9,8,2,7.0,8.0,1.0,1.4613286474879803,0.8483281414547409,0.37690404467827004,False
9,8,2,8.0,8.0,1.0,2.0246350890089975,0.7261985981181225,0.3371213530378633,False
9,8,2,9.0,8.0,1.0,2.5366523108705867,0.6123086314734308,0.31046298945373335,False
9,8,2,10.0,8.0,1.0,2.910784806122532,0.5376725501454571,0.2886293568954833,False
9,8,2,1.0,9.0,1.0,-0.0,1.0,0.47246737110529335,False
9,8,2,2.0,9.0,1.0,0.09498324047552083,0.999399537480129,0.49179453475426327,False
9,8,2,3.0,9.0,1.0,0.22362533126029888,0.9966125260985655,0.47653510917664677,False
9,8,2,4.0,9.0,1.0,0.3834274971466761,0.989850139346604,0.47121390100266664,False
9,8,2,5.0,9.0,1.0,0.5801444908688477,0.9763285563605262,0.4292626822681767,False
9,8,2,6.0,9.0,1.0,0.8266687049428526,0.9512052327248398,0.4067891194809766,False
9,8,2,7.0,9.0,1.0,1.1464222595129272,0.9056450145376282,0.35817493899353,False
9,8,2,8.0,9.0,1.0,1.5771678173034926,0.8247559072332219,0.32266798107608335,False
9,8,2,9.0,9.0,1.0,2.1256692481755683,0.7032528967405398,0.2909218374026733,False
9,8,2,10.0,9.0,1.0,2.6186932004633863,0.5951029852577774,0.27094012433323666,False
9,8,2,1.0,10.0,1.0,-0.0,1.0,0.41850904313446996,False
9,8,2,2.0,10.0,1.0,0.08319478250067003,0.9995401202343595,0.4364674020582834,False
9,8,2,3.0,10.0,1.0,0.19446382667207654,0.9974481683664718,0.44137767945906337,False
9,8,2,4.0,10.0,1.0,0.33026187834080994,0.9925144270647358,0.43473444671553335,False
