L,N,nmax,filling,U,W,dim,observable,entropy_mean,entropy_stderr,pr_normalized_mean,pr_normalized_stderr,onsite_pair_density_mean,onsite_pair_density_stderr,n_realizations
6,3,2,0.5,7.0,9.0,50,fock_entropy_normalized,0.31021941060186997,0.002775669186429683,0.051838786789454,0.0006611418095367094,0.20036724238011602,0.0006379117526739202,500
6,3,2,0.5,7.0,10.0,50,fock_entropy_normalized,0.29334233791570397,0.0025931157515242196,0.049238761641498,0.00059703020427242,0.19385539663883,0.0007044115726385083,500
6,3,2,0.5,7.0,11.0,50,fock_entropy_normalized,0.29087583773105,0.002710757549659014,0.0492383924609366,0.000579198935527417,0.19037005667387602,0.0007384400389586331,500
6,3,2,0.5,7.0,12.0,50,fock_entropy_normalized,0.27787076272123395,0.0027313504569459607,0.0469015975615746,0.0005533993614453086,0.18716757217620197,0.000755863002271871,500
6,3,2,0.5,7.0,13.0,50,fock_entropy_normalized,0.2656198778644,0.002796383324416207,0.0452850573678878,0.0005601290767022275,0.18244356801472203,0.0007735659584832961,500
6,3,2,0.5,7.0,14.0,50,fock_entropy_normalized,0.2503858913395688,0.0027803121054648583,0.04295095715702141,0.0005034157830510051,0.179083965765166,0.0007344046502082155,500
6,3,2,0.5,7.0,15.0,50,fock_entropy_normalized,0.24037065904522,0.0027594884310654408,0.041511950340553196,0.0004831202194087677,0.17693466060076998,0.0007476729218403323,500
6,3,2,0.5,8.0,1.0,50,fock_entropy_normalized,0.603657223487522,0.0012072980710489203,0.161610767030424,0.0008417229712579777,0.225776715008986,3.341216453401549e-06,500
6,3,2,0.5,8.0,2.0,50,fock_entropy_normalized,0.5198915693350061,0.002170399123764185,0.11584450775725699,0.0010770835083326552,0.22567838714156602,7.452868229484071e-06,500
6,3,2,0.5,8.0,3.0,50,fock_entropy_normalized,0.44696658804944195,0.002797015793915174,0.0874259096412664,0.0010739793294532833,0.225466091101382,1.1835532668819253e-05,500
6,3,2,0.5,8.0,4.0,50,fock_entropy_normalized,0.38514882627556596,0.0031032850428940467,0.06910066931741801,0.0009319600395034945,0.225188254672276,1.955132020920818e-05,500
6,3,2,0.5,8.0,5.0,50,fock_entropy_normalized,0.34893639278640604,0.002982358445597036,0.060030842074733796,0.0008180362912729414,0.22460514578888802,8.143799508259177e-05,500
6,3,2,0.5,8.0,6.0,50,fock_entropy_normalized,0.319010353492538,0.0028537013838287255,0.0534697806277034,0.0007095780690657826,0.22186233486548798,0.0002778092020470956,500
6,3,2,0.5,8.0,7.0,50,fock_entropy_normalized,0.29872470656628003,0.0026879346671322955,0.04955420248330741,0.0006301119443074111,0.21731743697859002,0.00042568459396124955,500
6,3,2,0.5,8.0,8.0,50,fock_entropy_normalized,0.291287073109172,0.0027412845867527524,0.048335769477374196,0.0005856472944892702,0.212385580783612,0.0005486512242362194,500
6,3,2,0.5,8.0,9.0,50,fock_entropy_normalized,0.281508964770464,0.00271418566828234,0.047064632072893194,0.0005757623385185966,0.207132477216372,0.000611349264171817,500
6,3,2,0.5,8.0,10.0,50,fock_entropy_normalized,0.271610906084752,0.0025217421518074937,0.045790972141865394,0.0005271649957923323,0.200534522237736,0.0006773638081409047,500
6,3,2,0.5,8.0,11.0,50,fock_entropy_normalized,0.26032331300328404,0.0025668559482242364,0.044077292647027,0.0005265437947210996,0.196159684642086,0.000687400409588852,500
6,3,2,0.5,8.0,12.0,50,fock_entropy_normalized,0.253072402216472,0.002598565647827287,0.0432380642572528,0.0005016851632756793,0.190706691651494,0.0007378479611293419,500
6,3,2,0.5,8.0,13.0,50,fock_entropy_normalized,0.24683421402719,0.0028396283575825563,0.042800601046683796,0.0005321708259489296,0.18612811888841202,0.0007534363754757748,500
6,3,2,0.5,8.0,14.0,50,fock_entropy_normalized,0.24051805836966822,0.0028299514328933616,0.0416267756046102,0.0005399053773950509,0.185216230742636,0.0007778176000390127,500
6,3,2,0.5,8.0,15.0,50,fock_entropy_normalized,0.22943189605319758,0.002900729305289528,0.040447880832957604,0.0005180224327316176,0.181955794340298,0.0007941077820946891,500
6,3,2,0.5,9.0,1.0,50,fock_entropy_normalized,0.6025649479805979,0.0011874825804236578,0.163009924152944,0.0008222280237325411,0.225965187481344,2.585221089892024e-06,500
6,3,2,0.5,9.0,2.0,50,fock_entropy_normalized,0.518532525260426,0.002234593037491213,0.1166583038028722,0.0011179795095028887,0.225903292895138,5.096797943282285e-06,500
6,3,2,0.5,9.0,3.0,50,fock_entropy_normalized,0.437622274127896,0.0027907135101333503,0.0853529496356258,0.001026483738903407,0.22576174475726798,8.537361179055596e-06,500
6,3,2,0.5,9.0,4.0,50,fock_entropy_normalized,0.377959437642428,0.0032103508866252713,0.06835231990963041,0.0009705155792214373,0.22557069866741802,1.3268933546772986e-05,500
6,3,2,0.5,9.0,5.0,50,fock_entropy_normalized,0.33653633212237605,0.003094901995948151,0.0580310545460246,0.0008003540619755049,0.22536084994824798,2.0224310071544512e-05,500
6,3,2,0.5,9.0,6.0,50,fock_entropy_normalized,0.304856220553256,0.0030155002127476072,0.0517727968034326,0.0007037586858602054,0.224560579987148,0.00012542277164098977,500
6,3,2,0.5,9.0,7.0,50,fock_entropy_normalized,0.286955240500066,0.0027794817897456364,0.0483354425365644,0.0006267523564445261,0.22154506892228198,0.00031300683977396456,500
6,3,2,0.5,9.0,8.0,50,fock_entropy_normalized,0.26780863152260004,0.0028249312354885507,0.045121374325783795,0.0006050332643141194,0.21771754578877403,0.00044009794138039613,500
6,3,2,0.5,9.0,9.0,50,fock_entropy_normalized,0.262393838457514,0.00270489041326196,0.0442196300723884,0.0005464349859590288,0.21340100712447999,0.0005420690957639911,500
6,3,2,0.5,9.0,10.0,50,fock_entropy_normalized,0.250480461831608,0.0027332065273356896,0.042744265704462596,0.0005572924718767651,0.207705260833412,0.0006335925691167556,500
6,3,2,0.5,9.0,11.0,50,fock_entropy_normalized,0.248262812445664,0.0026551176871849225,0.04265085114374421,0.0005003617641157552,0.20347313626218197,0.0006701892538967167,500
6,3,2,0.5,9.0,12.0,50,fock_entropy_normalized,0.23747695414959202,0.0028237464520265098,0.0413970281683068,0.0005822963795734991,0.198692884277776,0.0007147220435193651,500
