L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
6,3,4,4.0,10.0,0.35180333485037,56,20,0.7442162831260293,0.4727165245197865
6,3,4,5.0,10.0,0.311453876228,56,20,0.7442162831260293,0.41849914237264396
6,3,4,6.0,10.0,0.27761982872025504,56,20,0.7442162831260293,0.3730364882022361
6,3,4,7.0,10.0,0.253822395796088,56,20,0.7442162831260293,0.341059986930042
6,3,4,8.0,10.0,0.23792181685352098,56,20,0.7442162831260293,0.3196944520672764
6,3,4,9.0,10.0,0.22271393891578278,56,20,0.7442162831260293,0.29925969636177296
6,3,4,10.0,10.0,0.22054516927401,56,20,0.7442162831260293,0.29634553055951046
6,3,4,11.0,10.0,0.21073896880153298,56,20,0.7442162831260293,0.28316898404364177
6,3,4,12.0,10.0,0.205662609629101,56,20,0.7442162831260293,0.27634790354926037
6,3,4,13.0,10.0,0.1973086703192379,56,20,0.7442162831260293,0.2651227536845289
6,3,4,14.0,10.0,0.1954782233800851,56,20,0.7442162831260293,0.2626631905432011
6,3,4,15.0,10.0,0.1915457272340872,56,20,0.7442162831260293,0.257379113541446
6,3,5,1.0,10.0,0.5846083630498771,56,20,0.7442162831260293,0.7855355711840514
6,3,5,2.0,10.0,0.49460058827184,56,20,0.7442162831260293,0.6645925377960077
6,3,5,3.0,10.0,0.413684720235711,56,20,0.7442162831260293,0.5558662577202111
6,3,5,4.0,10.0,0.352303852910401,56,20,0.7442162831260293,0.47338906833719485
6,3,5,5.0,10.0,0.31335724143049903,56,20,0.7442162831260293,0.42105668544937436
6,3,5,6.0,10.0,0.276509257252114,56,20,0.7442162831260293,0.37154421842351515
6,3,5,7.0,10.0,0.25371256707637396,56,20,0.7442162831260293,0.3409124105840197
6,3,5,8.0,10.0,0.239146095998011,56,20,0.7442162831260293,0.3213395103282265
6,3,5,9.0,10.0,0.22698179566858478,56,20,0.7442162831260293,0.30499439586992555
6,3,5,10.0,10.0,0.2183017059852857,56,20,0.7442162831260293,0.29333099924705275
6,3,5,11.0,10.0,0.21008438687515985,56,20,0.7442162831260293,0.2822894253169453
6,3,5,12.0,10.0,0.20261699986485998,56,20,0.7442162831260293,0.27225553170347366
6,3,5,13.0,10.0,0.1990909206340807,56,20,0.7442162831260293,0.2675175552432325
6,3,5,14.0,10.0,0.1941875337417736,56,20,0.7442162831260293,0.260928896806856
6,3,5,15.0,10.0,0.186196927391395,56,20,0.7442162831260293,0.25019195577028713
6,4,2,1.0,10.0,0.728561325335073,90,15,0.6018143876079656,1.2106080219033797
6,4,2,2.0,10.0,0.661896902762627,90,15,0.6018143876079656,1.0998356243915532
6,4,2,3.0,10.0,0.5675474527036231,90,15,0.6018143876079656,0.9430606253191396
6,4,2,4.0,10.0,0.48766336125353904,90,15,0.6018143876079656,0.8103218721504097
6,4,2,5.0,10.0,0.420892558854269,90,15,0.6018143876079656,0.6993727094614547
6,4,2,6.0,10.0,0.36873014839976603,90,15,0.6018143876079656,0.6126974628595362
6,4,2,7.0,10.0,0.330455375670258,90,15,0.6018143876079656,0.54909849693644
6,4,2,8.0,10.0,0.297678515313786,90,15,0.6018143876079656,0.4946350925523236
6,4,2,9.0,10.0,0.277519755185743,90,15,0.6018143876079656,0.46113845215432964
6,4,2,10.0,10.0,0.25996908251623496,90,15,0.6018143876079656,0.43197551914558785
6,4,2,11.0,10.0,0.24797199715789298,90,15,0.6018143876079656,0.412040659485574
6,4,2,12.0,10.0,0.244028221608309,90,15,0.6018143876079656,0.40548751680439066
6,4,2,13.0,10.0,0.23199961350917303,90,15,0.6018143876079656,0.38550027763760014
6,4,2,14.0,10.0,0.224522942913664,90,15,0.6018143876079656,0.37307672853431834
6,4,2,15.0,10.0,0.2178324251277599,90,15,0.6018143876079656,0.3619594838760493
6,4,3,1.0,10.0,0.54553976561148,120,15,0.5656511481581257,0.9644456081948523
6,4,3,2.0,10.0,0.481106518469542,120,15,0.5656511481581257,0.8505357410413149
6,4,3,3.0,10.0,0.41488508748959996,120,15,0.5656511481581257,0.7334645900402563
6,4,3,4.0,10.0,0.350503522595065,120,15,0.5656511481581257,0.619646090592011
6,4,3,5.0,10.0,0.311500143018567,120,15,0.5656511481581257,0.5506930270235892
6,4,3,6.0,10.0,0.277595071227035,120,15,0.5656511481581257,0.49075312961167067
6,4,3,7.0,10.0,0.257466405660255,120,15,0.5656511481581257,0.4551681836032997
6,4,3,8.0,10.0,0.23740998904668098,120,15,0.5656511481581257,0.4197109646462061
6,4,3,9.0,10.0,0.22370543168402302,120,15,0.5656511481581257,0.3954830329832319
6,4,3,10.0,10.0,0.2112672595818429,120,15,0.5656511481581257,0.37349391099049606
6,4,3,11.0,10.0,0.2056867872534629,120,15,0.5656511481581257,0.36362833863808214
6,4,3,12.0,10.0,0.200009706887806,120,15,0.5656511481581257,0.35359197544118487
6,4,3,13.0,10.0,0.1918528731611768,120,15,0.5656511481581257,0.3391717205664454
