L,N,nmax,W_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,peak_resolved,unresolved_reasons
8,7,7,0.8,0.175,0.1825967765488658,0.1817225518510421,0.1817225518510421,0.1817778810074041,0.1798868619899639,0.1834367342806879,True,
8,7,7,0.9,0.175,0.1874698040866525,0.186866639650376,0.186866639650376,0.186883133175923,0.1848295711261151,0.188748196198808,True,
8,7,7,1.0,0.2,0.1934197105826456,0.1925765416507965,0.1925765416507965,0.1925901006129637,0.1896153757585975,0.1956378863929339,True,
8,7,7,1.1,0.2,0.200459342095542,0.2000192922947849,0.2000192922947849,0.2000165573644214,0.1968575105513745,0.2032346440808352,True,
8,7,7,1.2,0.2,0.2070460175173974,0.2067884064413203,0.2067884064413203,0.2067859875539571,0.2034097374963984,0.2099664883839393,True,
8,7,7,1.3,0.2,0.2132667915693061,0.2130738915631762,0.2130738915631762,0.2130345234267069,0.2095485540071801,0.2170586374159124,True,
8,7,7,1.4,0.225,0.2215866822912144,0.2213422102185357,0.2213422102185357,0.2212704353855358,0.2164282214006751,0.2256561974407634,True,
8,7,7,1.5,0.225,0.2299053906342254,0.2298053717466225,0.2298053717466225,0.2297495861809892,0.2250083402330913,0.2340514160605142,True,
8,7,7,1.6,0.225,0.2375457861052386,0.2375077614050794,0.2375077614050794,0.237477077182646,0.2328662553839312,0.2423895985266551,True,
8,7,7,1.7,0.25,0.2466372390822973,0.2465009920491483,0.2465009920491483,0.2464132717238486,0.241141816297886,0.2514334539085591,True,
8,7,7,1.8,0.25,0.2549383799167842,0.2548490479713596,0.2548490479713596,0.2547912876258112,0.2496705402608776,0.2595531713049828,True,
8,7,7,1.9,0.25,0.2627986528437123,0.2627748007492805,0.2627748007492805,0.2627815545006872,0.2576654600731317,0.2684924879130664,True,
8,7,7,2.0,0.275,0.2729712096247366,0.2728500935876166,0.2728500935876166,0.2727472729067106,0.2666265975523864,0.2791994211294306,True,
8,7,7,2.1,0.275,0.2824814573589809,0.2823771979745326,0.2823771979745326,0.2822928387326813,0.276433967925019,0.2890387058528453,True,
8,7,7,2.2,0.3,0.2919005213196116,0.292078325057905,0.292078325057905,0.2920432805617292,0.2856352129814454,0.2999989567808858,True,
8,7,7,2.3,0.3,0.3027696425012831,0.3027083637438966,0.3027083637438966,0.3027724540741948,0.2957955183492577,0.3101638931116788,True,
8,7,7,2.4,0.3,0.3120489255983915,0.3120999477342607,0.3120999477342607,0.3122149005037959,0.3050957229462636,0.3212939399275085,True,
8,7,7,2.5,0.325,0.3233686643255757,0.3234386128134061,0.3234386128134061,0.3234730201563662,0.3152414494249306,0.3319266573385117,True,
8,8,8,0.1,0.15,0.1592953052642257,0.1589950029428853,0.1589950029428853,0.1588530938543479,0.1581607043269534,0.1596534729143454,True,
8,8,8,0.2,0.15,0.1504344180713983,0.1491616823309903,0.1491616823309903,0.1489267411632153,0.1477148180930412,0.150197757412048,True,
8,8,8,0.3,0.125,0.1420919050542517,0.1407888230455503,0.1407888230455503,0.1406902762153072,0.1401058825986307,0.1412808461218779,True,
8,8,8,0.4,0.125,0.1415925351825228,0.1399166992665449,0.1399166992665449,0.1399088535260322,0.1392982703436953,0.1405059525982956,True,
8,8,8,0.5,0.125,0.1423717789652024,0.140752106990607,0.140752106990607,0.1408145039017821,0.1402139994652703,0.1413751167719885,True,
8,8,8,0.6,0.125,0.149104826179368,0.1424605189960817,0.1424605189960817,0.1425015939221751,0.1418916348841104,0.1469624421552122,True,
8,8,8,0.7,0.15,0.1533594364989821,0.1505092404267606,0.1505092404267606,0.1506649150747237,0.1486993850978769,0.1524335786971931,True,
8,8,8,0.8,0.15,0.1575177413660528,0.1555137057585449,0.1555137057585449,0.1557035474773057,0.1538158514170685,0.1573709422942689,True,
8,8,8,0.9,0.15,0.1615934686052439,0.1602059375203171,0.1602059375203171,0.1603414600277934,0.1585493741698037,0.1619706780039031,True,
8,8,8,1.0,0.15,0.1652803120089792,0.1643104960582233,0.1643104960582233,0.1645032074351718,0.1627405061559431,0.1661132507260684,True,
