L,N,nmax,W_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
8,6,6,1.6,0.2969123590864465,0.3070089094334929,0.2959534308399916,0.3196514633459152
8,6,6,1.7,0.3137052461444443,0.3246349467828596,0.3125885235078892,0.3380231138787179
8,6,6,1.8,0.3302811939168972,0.341871932689815,0.3291605697569843,0.3563231808239886
8,6,6,1.9,0.3466454040158647,0.3589526963741934,0.3454482287735404,0.3744205890750199
8,6,6,2.0,0.3628033994057432,0.3758650178734137,0.3614405323395114,0.3922766035536019
8,6,6,2.1,0.3787609532784656,0.3926149744417971,0.3774400234430684,0.4099537519662141
8,6,6,2.2,0.3945239294744433,0.4090883145011816,0.3932421365780603,0.4275498618268373
8,6,6,2.3,0.4100981515041834,0.4255255698926409,0.4088630715087687,0.444868956683705
8,6,6,2.4,0.4254893955524361,0.4417378358847257,0.4244020567251402,0.4619252960387483
8,6,6,2.5,0.4407032609656431,0.457779163542285,0.4396517220876307,0.478973424154766
8,7,7,0.1,0.0178651716183267,0.018320258590162,0.0176352033543403,0.0189861378293382
8,7,7,0.2,0.0356984950143728,0.0366817898229862,0.0353210062793821,0.0380386998065698
8,7,7,0.3,0.0534695593655059,0.0549761205710449,0.0529331312291833,0.0569622378282898
8,7,7,0.4,0.0711494015033682,0.0731898758608032,0.0704503586071104,0.0758502934002168
8,7,7,0.5,0.0887117665420992,0.0912581871453595,0.0878084416558772,0.0946189519748511
8,7,7,0.6,0.1061335418176425,0.1091701176640179,0.1050659861619495,0.1132258610881342
8,7,7,0.7,0.123395050172017,0.1270021547347476,0.1221956757643638,0.1317214052120901
8,7,7,0.8,0.1404801970097144,0.1446512908824487,0.1391023152305231,0.1500912275584743
8,7,7,0.9,0.1573765001454686,0.1620475694962522,0.1558648215577329,0.1682559916786965
8,7,7,1.0,0.1740747946033129,0.1794070741969569,0.1724590174181537,0.1861685830596116
8,7,7,1.1,0.1905689845171644,0.1965087724529753,0.1887791387850657,0.2040273812481504
8,7,7,1.2,0.2068555698284746,0.2133227239366313,0.2049779140832096,0.2216603151636708
