L,N,nmax,W_over_t,U_over_t,bin_left,bin_right,count,probability
7,7,7,2.1,0.34,0.8549831191538455,0.9404814310692301,89,0.0178
7,7,7,2.1,0.34,0.9404814310692301,1.0259797429846147,244,0.0488
7,7,7,2.1,0.34,1.0259797429846147,1.1114780548999992,420,0.084
7,7,7,2.1,0.34,1.1114780548999992,1.1969763668153837,602,0.1204
7,7,7,2.1,0.34,1.1969763668153837,1.2824746787307684,786,0.1572
7,7,7,2.1,0.34,1.2824746787307684,1.3679729906461529,859,0.1718
7,7,7,2.1,0.34,1.3679729906461529,1.4534713025615373,683,0.1366
7,7,7,2.1,0.34,1.4534713025615373,1.538969614476922,574,0.1148
7,7,7,2.1,0.34,1.538969614476922,1.6244679263923065,378,0.0756
7,7,7,2.1,0.34,1.6244679263923065,1.709966238307691,191,0.0382
7,7,7,2.1,0.34,1.709966238307691,1.7954645502230757,76,0.0152
7,7,7,2.1,0.34,1.7954645502230757,1.8809628621384602,27,0.0054
7,7,7,2.1,0.34,1.8809628621384602,1.9664611740538447,3,0.0006
7,7,7,2.1,0.34,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,2.1,0.34,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,2.1,0.34,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,2.1,0.34,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,2.1,0.34,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,2.1,0.34,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,2.1,0.34,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,2.1,0.34500000000000003,0.0,0.08549831191538455,0,0.0
7,7,7,2.1,0.34500000000000003,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,2.1,0.34500000000000003,0.1709966238307691,0.2564949357461537,0,0.0
7,7,7,2.1,0.34500000000000003,0.2564949357461537,0.3419932476615382,0,0.0
7,7,7,2.1,0.34500000000000003,0.3419932476615382,0.42749155957692275,0,0.0
7,7,7,2.1,0.34500000000000003,0.42749155957692275,0.5129898714923073,6,0.0012
7,7,7,2.1,0.34500000000000003,0.5129898714923073,0.5984881834076918,1,0.0002
7,7,7,2.1,0.34500000000000003,0.5984881834076918,0.6839864953230764,4,0.0008
7,7,7,2.1,0.34500000000000003,0.6839864953230764,0.769484807238461,15,0.003
7,7,7,2.1,0.34500000000000003,0.769484807238461,0.8549831191538455,46,0.0092
7,7,7,2.1,0.34500000000000003,0.8549831191538455,0.9404814310692301,90,0.018
7,7,7,2.1,0.34500000000000003,0.9404814310692301,1.0259797429846147,250,0.05
7,7,7,2.1,0.34500000000000003,1.0259797429846147,1.1114780548999992,433,0.0866
7,7,7,2.1,0.34500000000000003,1.1114780548999992,1.1969763668153837,610,0.122
7,7,7,2.1,0.34500000000000003,1.1969763668153837,1.2824746787307684,794,0.1588
7,7,7,2.1,0.34500000000000003,1.2824746787307684,1.3679729906461529,839,0.1678
7,7,7,2.1,0.34500000000000003,1.3679729906461529,1.4534713025615373,671,0.1342
7,7,7,2.1,0.34500000000000003,1.4534713025615373,1.538969614476922,583,0.1166
7,7,7,2.1,0.34500000000000003,1.538969614476922,1.6244679263923065,364,0.0728
7,7,7,2.1,0.34500000000000003,1.6244679263923065,1.709966238307691,186,0.0372
7,7,7,2.1,0.34500000000000003,1.709966238307691,1.7954645502230757,80,0.016
7,7,7,2.1,0.34500000000000003,1.7954645502230757,1.8809628621384602,25,0.005
7,7,7,2.1,0.34500000000000003,1.8809628621384602,1.9664611740538447,3,0.0006
7,7,7,2.1,0.34500000000000003,1.9664611740538447,2.0519594859692294,0,0.0
7,7,7,2.1,0.34500000000000003,2.0519594859692294,2.137457797884614,0,0.0
7,7,7,2.1,0.34500000000000003,2.137457797884614,2.2229561097999984,0,0.0
7,7,7,2.1,0.34500000000000003,2.2229561097999984,2.308454421715383,0,0.0
7,7,7,2.1,0.34500000000000003,2.308454421715383,2.3939527336307673,0,0.0
7,7,7,2.1,0.34500000000000003,2.3939527336307673,2.4794510455461523,0,0.0
7,7,7,2.1,0.34500000000000003,2.4794510455461523,2.5649493574615367,0,0.0
7,7,7,2.1,0.35000000000000003,0.0,0.08549831191538455,0,0.0
7,7,7,2.1,0.35000000000000003,0.08549831191538455,0.1709966238307691,0,0.0
7,7,7,2.1,0.35000000000000003,0.1709966238307691,0.2564949357461537,0,0.0
7,7,7,2.1,0.35000000000000003,0.2564949357461537,0.3419932476615382,0,0.0
7,7,7,2.1,0.35000000000000003,0.3419932476615382,0.42749155957692275,1,0.0002
7,7,7,2.1,0.35000000000000003,0.42749155957692275,0.5129898714923073,6,0.0012
7,7,7,2.1,0.35000000000000003,0.5129898714923073,0.5984881834076918,2,0.0004
7,7,7,2.1,0.35000000000000003,0.5984881834076918,0.6839864953230764,5,0.001
7,7,7,2.1,0.35000000000000003,0.6839864953230764,0.769484807238461,16,0.0032
7,7,7,2.1,0.35000000000000003,0.769484807238461,0.8549831191538455,49,0.0098
7,7,7,2.1,0.35000000000000003,0.8549831191538455,0.9404814310692301,85,0.017
7,7,7,2.1,0.35000000000000003,0.9404814310692301,1.0259797429846147,250,0.05
7,7,7,2.1,0.35000000000000003,1.0259797429846147,1.1114780548999992,453,0.0906
7,7,7,2.1,0.35000000000000003,1.1114780548999992,1.1969763668153837,596,0.1192
7,7,7,2.1,0.35000000000000003,1.1969763668153837,1.2824746787307684,799,0.1598
7,7,7,2.1,0.35000000000000003,1.2824746787307684,1.3679729906461529,836,0.1672
7,7,7,2.1,0.35000000000000003,1.3679729906461529,1.4534713025615373,666,0.1332
